reso  sja  d_qt  d_ci  d_rf
0.1860465 0.8220446 0.476545 0.8470441 0.8995942
0.05555556 0.9721896 0.4853436 0.9415027 0.9652133
0.2727273 1 0.4360048 0.7388607 0.797845
0.1818182 0.9329263 0.4701819 0.8523646 0.9188335
0.2272727 0.9647311 0.4293752 0.7861919 0.8482693
0.35 0.865567 0.2997741 0.7107758 0.8512736
0.2307692 0.9613918 0.4567587 0.7846636 0.8745368
0.5 0.9803546 0.341502 0.4877415 0.6097649
0.2413793 0.7471588 0.4413376 0.7876242 0.8966728
0.2888889 0.9324926 0.420683 0.7264309 0.840297
0.3157895 0.9810586 0.3317221 0.6260414 0.6712332
0.5 0.8114908 0.2859907 0.5320483 0.5999905
0.3043478 0.9873381 0.3867224 0.6535558 0.7098339
0.8125 0.9054945 0.119195 0.2541676 0.3019257
0.1627907 0.965093 0.4161473 0.8236694 0.9378706
0.2608696 1 0.4466244 0.7374385 0.7924538
0.255814 0.9547426 0.4286975 0.7559623 0.8140553
0.3157895 0.9160883 0.4098428 0.6789791 0.7979734
0.8571429 0.6935484 0.3285714 0.4771492 0.65093
0.3125 0.7210526 0.4458204 0.6838509 0.8108458
0.2608696 0.8852979 0.4363614 0.7627432 0.8364219
0.3333333 0.8791433 0.2881766 0.6271224 0.8044832
0.2580645 0.9506445 0.3454481 0.7152595 0.8434198
0.1538462 0.9747024 0.459707 0.8329424 0.8879332
0.375 0.9848728 0.3997448 0.6500389 0.7258338
0.07407407 1 0.4862251 0.9126592 0.9376609
0.2941176 0.900736 0.2287834 0.5827071 0.7048527
0.2857143 0.9697673 0.4176929 0.6942667 0.8241449
0.2592593 0.9880213 0.4197227 0.7181297 0.8078652
0.2051282 0.964669 0.4191593 0.7992945 0.8861337
0.3170732 0.9864436 0.3826381 0.7145899 0.8015404
0.2702703 0.9712155 0.405958 0.7038688 0.7404367
0.3243243 0.8952806 0.4166922 0.6954525 0.7928484
0.5294118 0.9395197 0.1940144 0.4642154 0.5115525
0.2826087 0.9883532 0.430339 0.7499733 0.8155614
0.4 0.9449266 0.1989272 0.5603808 0.6250879
0.4444444 0.9492084 0.2214924 0.5876296 0.6875374
0.4545455 0.835056 0.2539921 0.5528963 0.6492296
0.5263158 0.902057 0.2087491 0.5351255 0.637378
0.4 0.9780694 0.3594628 0.5509964 0.6395348
0.1914894 0.9976436 0.334937 0.7893112 0.8365998
0.3448276 0.9307617 0.4015573 0.6754097 0.7734323
0.3404255 0.8737968 0.2824837 0.6493607 0.7629735
0.2553191 0.9976022 0.4170973 0.7273127 0.7785895
0.2432432 0.8450839 0.4565653 0.7767968 0.894398
0.1481481 1 0.4725233 0.8424163 0.8891599
0.3 0.9693962 0.2071874 0.7086225 0.7978242
0.4583333 0.9935826 0.2984046 0.4701686 0.5328873
0.2121212 0.9704043 0.428495 0.7864018 0.9020571
0.3777778 0.9054406 0.3806995 0.6756991 0.7852328
0.173913 1 0.3155518 0.7747506 0.8049677
0.2222222 1 0.3857143 0.6755789 0.6981082
0.4736842 0.8890327 0.2124402 0.4718466 0.618891
0.3333333 0.9539116 0.4061339 0.6508172 0.7415481
0.34375 0.9962972 0.2593774 0.5950713 0.6631353
0.4285714 0.6915455 0.3515071 0.5982734 0.7826656
0.1428571 0.9940619 0.4765462 0.8670148 0.9166075
0.3636364 0.8050227 0.3780632 0.7161217 0.8128503
0.3 1 0.420271 0.6472092 0.7147362
0.3513514 0.9546392 0.3288051 0.6355982 0.7352683
0.5555556 0.9806644 0.1760234 0.3786061 0.4079562
0.2 1 0.4020541 0.7672998 0.8052557
0.32 0.9827371 0.3675214 0.6616346 0.7373098
0.2444444 0.8880187 0.4615531 0.8222824 0.8972256
0.1860465 0.9823765 0.4726599 0.8215744 0.8744196
0.25 0.9959794 0.3460619 0.6503484 0.6832348
0.3529412 0.9194814 0.2462332 0.6373879 0.6874404
0.09090909 1 0.4800395 0.8911211 0.9215918
0.1923077 1 0.4127616 0.7645699 0.8020984
0.1538462 1 0.4705697 0.836062 0.8846013
0.35 0.9489526 0.3596791 0.6535418 0.7191624
0.1481481 1 0.4603175 0.8163992 0.8544307
0.275 0.9465697 0.4313265 0.7352058 0.8315332
0.1304348 0.9655311 0.4223077 0.8211919 0.8639816
0.2307692 1 0.3825944 0.7089719 0.7456714
0.3333333 0.915493 0.265873 0.5919196 0.6906104
0.07692308 1 0.4895604 0.9154734 0.9410358
0.1333333 1 0.4294118 0.8136435 0.8418159
0.2926829 0.9278381 0.4257096 0.7519465 0.8475479
0.1052632 1 0.4636364 0.8472849 0.8682383
0.2631579 0.9956221 0.4575195 0.7375365 0.814717
0.25 0.9780767 0.4111177 0.739312 0.8213567
0.1794872 1 0.3089565 0.7433956 0.7596657
0.2857143 0.9551528 0.4067805 0.6852107 0.7602446
0.2105263 1 0.4166097 0.7321754 0.7746274
0.3684211 0.8683563 0.4127432 0.6640983 0.8185436
0.2333333 0.9772443 0.2478372 0.6956369 0.7944192
0.25 1 0.3545455 0.6889493 0.7360442
0.4230769 0.9442931 0.3488906 0.6204686 0.7423624
0.375 0.8966719 0.4286895 0.6491221 0.7605075
0.2325581 0.9756149 0.4163342 0.7587752 0.8124239
0.2 0.892 0.4707918 0.8065692 0.8644586
0.2608696 0.9588357 0.4540203 0.7478505 0.8556586
0.5 0.9926538 0.2231682 0.4301147 0.4750924
0.125 0.9034396 0.4792804 0.8855741 0.925553
0.2173913 0.9145305 0.4207744 0.7713298 0.8149283
0.6 0.9803332 0.137109 0.3761657 0.4333278
0.4285714 0.9813301 0.2886064 0.5547887 0.6172669
0.3684211 0.8366738 0.3729436 0.6309342 0.7694034
0.09677419 1 0.4839896 0.8935887 0.9255775
