reso  sja  d_qt  d_ci  d_rf
0.3953488 0.8991346 0.247057 0.6013305 0.8117421
0.3333333 0.8565848 0.4311984 0.703923 0.8782384
0.4090909 0.8593504 0.4091274 0.6424763 0.734044
0.4318182 0.9459733 0.2089928 0.590782 0.7483351
0.2954545 0.949751 0.4118829 0.7186513 0.8036925
0.45 0.8525398 0.2899492 0.6305574 0.7596814
0.4102564 0.8972798 0.4014875 0.6416957 0.7892661
0.5909091 0.8504637 0.3566008 0.4961662 0.6319332
0.4827586 0.8574915 0.2718854 0.6170343 0.7595169
0.5333333 0.8422098 0.2583462 0.5273255 0.8201068
0.3684211 0.9817742 0.3248543 0.5781292 0.6274572
0.5625 0.8284933 0.251935 0.477221 0.5460769
0.6086957 0.9514506 0.2449833 0.3716738 0.4168403
0.875 0.8832272 0.127451 0.2594371 0.3222074
0.4883721 0.9182124 0.269124 0.5722688 0.768294
0.4782609 0.9042069 0.3050487 0.5297759 0.6648938
0.3953488 0.8344172 0.3708031 0.6632923 0.8059175
0.6315789 0.8971616 0.2513329 0.442288 0.6340418
1 0.6142857 0.3857143 0.4964865 0.6789474
0.4375 0.8344788 0.3493292 0.5568719 0.7260226
0.326087 0.8334082 0.4123992 0.7072645 0.8109628
0.625 0.7926406 0.2503134 0.4540737 0.7351468
0.3548387 0.8895308 0.322613 0.6453715 0.8178062
0.3461538 0.8761905 0.4168456 0.6993807 0.8450685
0.375 0.9906458 0.3988453 0.6392035 0.7113904
0.3333333 0.8560536 0.358566 0.6502431 0.8197329
0.4705882 0.8561113 0.2431221 0.5386702 0.7251802
0.4 0.9505864 0.3240872 0.5643102 0.8002032
0.4074074 0.9904051 0.3992885 0.5907242 0.6826282
0.4102564 0.9589937 0.2981953 0.6396056 0.7814819
0.3902439 0.8686143 0.2906829 0.6366322 0.785264
0.3783784 0.9242197 0.3918864 0.6549153 0.7528951
0.5675676 0.8335625 0.3061878 0.5599974 0.7638872
0.7647059 0.9295375 0.09360165 0.3036109 0.3831836
0.4130435 0.8384119 0.3878802 0.6635676 0.7902768
0.7 0.8964053 0.1836815 0.4306139 0.5983572
0.4814815 0.9494405 0.2200693 0.5677067 0.6611962
0.4545455 0.9441562 0.2158103 0.5372848 0.6221724
0.6842105 0.8552931 0.2224197 0.5148038 0.669826
0.48 0.8296639 0.3084005 0.5199576 0.6631222
0.2553191 0.9637646 0.3198849 0.714792 0.8136738
0.4137931 0.8968045 0.3615267 0.6203867 0.7638058
0.4468085 0.6937166 0.4011246 0.6034167 0.7374673
0.4255319 0.9236116 0.3790729 0.6101987 0.7718391
0.3243243 0.8424062 0.3335814 0.6983903 0.8727544
0.3333333 0.9619133 0.3305054 0.6674112 0.7921251
0.425 0.8932841 0.2806296 0.6893229 0.8838468
0.5416667 0.9956616 0.2005413 0.3534741 0.3903588
0.2727273 0.9416017 0.4211782 0.758667 0.9046092
0.4666667 0.893073 0.3599316 0.6342876 0.7636296
0.2173913 0.976534 0.3166221 0.7686927 0.8076937
0.4444444 0.8129159 0.366416 0.5052758 0.6017853
0.5789474 0.8187055 0.2428571 0.439629 0.6541717
0.4333333 0.8896693 0.3698436 0.582763 0.6875117
0.40625 0.9876274 0.2395626 0.5400505 0.6323159
0.5142857 0.7086286 0.3269186 0.5319571 0.7224367
0.3809524 0.8702566 0.4429612 0.7291119 0.8898247
0.5 0.8423617 0.3111462 0.5915391 0.7240704
0.35 0.8808989 0.4234331 0.6374769 0.7246601
0.5675676 0.95998 0.2385327 0.4806612 0.617013
0.6666667 0.9712304 0.1141186 0.3176892 0.3506634
0.4 0.9848597 0.234276 0.5545516 0.6688618
0.48 0.972108 0.3206105 0.5221584 0.6020893
0.3111111 0.8949112 0.4528189 0.7761415 0.8648836
0.2790698 0.9507699 0.4318258 0.735165 0.8576811
0.4 0.9821572 0.3348999 0.5590058 0.6343713
0.5294118 0.8562664 0.2482972 0.5291798 0.6814711
0.1363636 1 0.4057312 0.8030244 0.8248862
0.3076923 0.843644 0.4104248 0.647812 0.7092739
0.1923077 1 0.4632647 0.7991925 0.8578028
0.4 0.9480744 0.3595252 0.625704 0.7011265
0.4814815 0.9329152 0.2355592 0.525812 0.7315133
0.475 0.9063325 0.2903573 0.5720952 0.7693192
0.3043478 0.9878077 0.2136455 0.5821303 0.6526471
0.3846154 0.7248962 0.3699634 0.6325427 0.7209253
0.6666667 0.8125 0.2619048 0.4795256 0.5276005
0.1282051 0.9873817 0.4737738 0.8531747 0.9098707
0.4666667 0.78125 0.3205882 0.58494 0.7768243
0.4390244 0.926067 0.2774676 0.644197 0.7779279
0.3684211 0.8451429 0.4174299 0.6465127 0.7296677
0.3947368 0.8745544 0.3132517 0.6391157 0.7702209
0.3409091 0.9300473 0.4016315 0.6766919 0.8076907
0.2051282 1 0.3087823 0.7237441 0.7463693
0.4 0.9564845 0.3846034 0.5881743 0.6866669
0.3684211 0.9898178 0.3750513 0.5965556 0.6689423
0.3947368 0.8685645 0.4125555 0.6494338 0.8041353
0.4 0.9269078 0.2312317 0.5592843 0.7536014
0.45 0.8721513 0.3155844 0.5769984 0.6560387
0.4230769 0.9442931 0.3488906 0.6204686 0.7423624
0.5 0.8390745 0.2778917 0.5528883 0.7889924
0.3255814 0.9774193 0.3933695 0.6711787 0.756575
0.3428571 0.7775184 0.448459 0.7158891 0.8387302
0.3478261 0.87319 0.4337041 0.6861431 0.8629526
0.625 0.939893 0.2243292 0.4260117 0.5069064
0.325 0.8935811 0.3809051 0.7213432 0.8083497
0.2391304 0.9095073 0.4206753 0.7331439 0.805613
0.7 0.9548854 0.1372923 0.3291339 0.4181264
0.4285714 0.9661598 0.2924837 0.5411483 0.6474962
0.4210526 0.8385324 0.3649748 0.6049938 0.7489715
0.2580645 0.9457844 0.4083362 0.7290505 0.8088039
