reso  sja  d_qt  d_ci  d_rf
0.3953488 0.9197041 0.2726445 0.5021933 0.58049
0.25 0.9901396 0.3821534 0.7078574 0.7488819
0.4090909 0.8946997 0.2555126 0.6426051 0.7691054
0.25 0.8456651 0.3032714 0.7326076 0.8512163
0.2272727 0.9893211 0.3949289 0.7345069 0.7822623
0.2 1 0.3075663 0.7296634 0.7615107
0.5384615 0.9363904 0.3210265 0.4041248 0.4845467
0.4545455 1 0.1017391 0.392617 0.4020339
0.5517241 0.9562321 0.2028782 0.460132 0.5726774
0.3777778 0.9686744 0.2571025 0.5547754 0.6585298
0.4210526 0.9758555 0.2952651 0.5292791 0.6119721
0.75 0.9024733 0.130547 0.2151649 0.3181706
0.6521739 0.872378 0.2458863 0.4409047 0.5674986
0.625 0.9630577 0.07959236 0.3127434 0.3172671
0.2790698 0.9460741 0.4290836 0.7309447 0.8139646
0.4130435 0.9912458 0.2902382 0.5789968 0.6613552
0.4651163 0.9877403 0.1486871 0.5210895 0.5740601
0.5789474 0.9592101 0.1121668 0.3154686 0.3736182
0.4285714 1 0.2047619 0.4052481 0.4096011
0.5625 0.9679026 0.2818627 0.4138939 0.5506874
0.4347826 0.8674924 0.2966664 0.5568379 0.7103945
0.2916667 0.973025 0.430057 0.7141897 0.8214887
0.4193548 0.9466095 0.2575794 0.5765433 0.6691155
0.5769231 0.8606828 0.2193171 0.4431704 0.603207
0.475 0.988008 0.3549105 0.5227894 0.6134474
0.3703704 0.9122623 0.2278964 0.523142 0.638229
0.2058824 0.9257886 0.242683 0.6837095 0.854092
0.2571429 0.9049908 0.3447741 0.6833276 0.793038
0.4074074 0.9971624 0.3273855 0.554222 0.6193622
0.4615385 0.897464 0.2469803 0.5426324 0.6271214
0.3414634 0.9920957 0.2651914 0.6386475 0.6898234
0.2162162 0.8416541 0.3312179 0.7389848 0.8257593
0.5675676 0.9745103 0.1392548 0.4294436 0.5422708
0.5294118 0.9150725 0.2044376 0.466944 0.561927
0.5217391 0.9723979 0.1488654 0.3945293 0.4164745
0.75 0.9746988 0.05505364 0.1346849 0.1887037
0.4814815 0.934125 0.1905127 0.5765108 0.7308323
0.4545455 0.9527164 0.1291304 0.4382532 0.5385808
0.4210526 0.9968333 0.0924812 0.447935 0.4459268
0.52 0.9737157 0.1910379 0.3581879 0.444356
0.3617021 0.9749616 0.2262093 0.5910764 0.6698129
0.6206897 0.9262167 0.1286012 0.3993708 0.5604733
0.2765957 0.9988654 0.2422579 0.6494155 0.682895
0.2978723 0.982059 0.2446092 0.6334213 0.7252176
0.2162162 1 0.4457873 0.7683167 0.8199337
0.4074074 0.8591205 0.3125707 0.5992781 0.7903925
0.575 0.9770759 0.08583583 0.3653382 0.4112509
0.5 0.9849057 0.2949858 0.4337799 0.5482462
0.4242424 0.9613463 0.09394788 0.4019708 0.523531
0.5333333 0.968114 0.1902816 0.4773067 0.5643481
0.3913043 0.9906047 0.1472241 0.5056101 0.5219018
0.4444444 1 0.3216374 0.467066 0.5203135
