reso  sja  d_qt  d_ci  d_rf
0.5581395 0.906104 0.2171768 0.3751016 0.5644434
0.3888889 0.8910989 0.3037349 0.5885087 0.6886345
0.4772727 0.9055653 0.1952934 0.5486412 0.7172418
0.5 0.8606206 0.2017604 0.4953315 0.687894
0.3636364 0.9926285 0.2092507 0.6042316 0.6999716
0.4 0.9425247 0.2165443 0.5576146 0.6334319
0.5641026 0.9316471 0.3222237 0.3993032 0.5057204
0.5909091 0.9633503 0.1042292 0.2979887 0.376812
0.6206897 0.939802 0.204797 0.4297378 0.5414273
0.4444444 0.9584079 0.2576832 0.5288672 0.6019304
0.5526316 0.9488772 0.2609608 0.4608613 0.5865522
0.625 0.990569 0.09739422 0.3032552 0.3214268
0.6956522 0.8660118 0.2507692 0.3985368 0.5432164
0.5625 0.9617872 0.09468524 0.3595974 0.3615784
0.372093 0.9436297 0.4264056 0.6772434 0.7917776
0.4347826 0.9977488 0.4060795 0.5761201 0.6528793
0.5116279 0.987361 0.1299599 0.4857624 0.5431775
0.7894737 0.9553571 0.09562543 0.2426495 0.3012928
0.5714286 0.9465649 0.2214286 0.3816175 0.4494092
0.6875 0.9856115 0.1342879 0.2598746 0.3101746
0.5652174 0.9295788 0.2425216 0.4388247 0.5516134
0.5 0.9238516 0.2266097 0.5422502 0.6304667
0.5806452 0.936048 0.2118337 0.4395728 0.5293157
0.5 0.9275507 0.1938866 0.4628269 0.567285
0.5 0.9839318 0.3555263 0.5157495 0.6178559
0.4074074 0.909597 0.2288633 0.5169155 0.6423732
0.3529412 0.8960752 0.2127413 0.5584453 0.7445537
0.4857143 0.7801133 0.2876922 0.5372411 0.7441255
0.4444444 0.9843958 0.2349389 0.5208028 0.6094703
0.6410256 0.8963324 0.1588135 0.3785212 0.5353115
0.4878049 0.9694477 0.1905437 0.5066074 0.6387166
0.4324324 0.8251626 0.308037 0.5865128 0.8515194
0.6216216 0.9768778 0.1003337 0.3662705 0.4647228
0.5882353 0.8983488 0.1813209 0.4503118 0.6356588
0.5652174 0.973444 0.1162189 0.3783422 0.407557
0.75 0.9746988 0.05505364 0.1346849 0.1887037
0.6296296 0.868088 0.2070608 0.482174 0.730582
0.5 0.9562148 0.09640316 0.3819702 0.4722618
0.5263158 0.9838127 0.07915243 0.3971914 0.3958316
0.6 0.9453811 0.133602 0.343262 0.3650755
0.4468085 0.9608003 0.2249805 0.5478839 0.6733907
0.6896552 0.9270501 0.1236235 0.3623932 0.5093244
0.4255319 0.9711724 0.1856014 0.502413 0.5870145
0.4468085 0.9680857 0.2253843 0.5542751 0.6710867
0.4054054 0.9000916 0.4092078 0.6308795 0.8124362
0.4814815 0.9328918 0.2853311 0.5260173 0.6882332
0.6 0.944487 0.1234989 0.4220844 0.5072898
0.75 0.9572534 0.1733048 0.2747118 0.4741265
0.5151515 0.951069 0.09420253 0.3791426 0.5239881
0.5777778 0.9589563 0.163524 0.4261949 0.562635
0.4782609 0.9221381 0.1830435 0.5246536 0.6931343
0.4444444 1 0.3216374 0.467066 0.5203135
0.5789474 0.8759539 0.2103896 0.425225 0.6031329
0.4666667 0.8143542 0.3109726 0.5575241 0.6828127
0.53125 0.9393327 0.3340336 0.5211643 0.7242597
0.5142857 0.927929 0.2054325 0.5043567 0.5877845
0.5 0.9870336 0.2214336 0.4262074 0.4782862
0.5454545 0.8613873 0.2615415 0.5490199 0.7384161
0.65 0.9843397 0.1367589 0.2580375 0.3044175
0.6216216 0.8035977 0.2806051 0.5088369 0.64298
0.7222222 0.9965721 0.06432749 0.2222768 0.246949
0.575 0.9828495 0.09826189 0.3989512 0.4874941
0.52 0.9764635 0.3457631 0.4937162 0.5718523
0.4222222 0.9264941 0.3668286 0.6291036 0.7929944
0.4651163 0.9732388 0.1736005 0.4417101 0.5987971
0.55 0.7326524 0.3746739 0.5891718 0.7643958
0.7058824 0.9546742 0.1024768 0.3147899 0.3364994
0.7272727 0.8769479 0.1672727 0.3061238 0.4285494
0.5384615 0.9346049 0.2380952 0.429944 0.5151994
0.7692308 0.8716539 0.1925182 0.3710447 0.5396334
0.6 0.7899367 0.2543068 0.4777409 0.658779
0.4444444 0.8861254 0.3158913 0.5129541 0.7016342
0.575 0.9860199 0.1340653 0.4302224 0.5145294
0.3478261 0.8320472 0.3042809 0.5855487 0.7402022
0.4615385 0.903104 0.3157341 0.5302406 0.6141813
0.3333333 1 0.297619 0.5213134 0.5438935
0.3076923 0.9354871 0.4222014 0.720726 0.8428222
0.6 0.9205811 0.2161765 0.4905713 0.6001117
0.3658537 0.9137705 0.4022991 0.6570178 0.7733085
0.4736842 0.9258903 0.2580314 0.4996934 0.5903807
0.5 0.8696672 0.3178385 0.5211311 0.6843604
0.2727273 0.8628134 0.4322541 0.767845 0.8864473
0.3846154 0.8901536 0.1873403 0.5526943 0.6842977
0.3428571 0.9948294 0.2342207 0.5938886 0.6652529
0.7368421 0.8397129 0.2476418 0.3990511 0.5306592
0.4473684 0.9178675 0.4246914 0.629295 0.7582403
0.5666667 0.8924211 0.1591153 0.4107175 0.5002876
0.85 0.8215421 0.1915302 0.3316046 0.7318794
0.6923077 0.9652598 0.09852217 0.2542913 0.3799643
0.4583333 0.6921402 0.3591738 0.552583 0.7745931
0.2790698 0.9853758 0.3950516 0.6623072 0.6898116
0.6571429 0.9430181 0.2187767 0.4156132 0.6367051
0.3913043 0.964227 0.3987568 0.5979083 0.6928349
0.6875 0.8230034 0.2297472 0.3601728 0.4679659
0.45 0.9538616 0.3606677 0.5988344 0.7027356
0.5652174 0.9334019 0.3370273 0.4772827 0.5729608
0.5 0.821053 0.263502 0.5703861 0.6745023
0.5 0.967341 0.1821071 0.389611 0.4603724
0.3947368 0.8739601 0.3317715 0.6059224 0.7943269
0.5483871 0.8580863 0.3538576 0.516542 0.6314456
