reso  sja  d_qt  d_ci  d_rf
0.5813953 0.8324855 0.2492846 0.4456586 0.6313325
0.3055556 0.972026 0.3756793 0.6926138 0.7722535
0.5454545 0.9753298 0.2107168 0.4086467 0.4890747
0.5454545 0.900078 0.2094581 0.6025857 0.7226751
0.2954545 0.9730535 0.3051215 0.6790885 0.7519008
0.5 0.9023421 0.1682665 0.424848 0.7095226
0.6153846 0.8566916 0.3153891 0.4549577 0.5940882
0.5909091 0.9959648 0.2862451 0.3908156 0.4587702
0.4827586 0.6825252 0.4220106 0.6143751 0.7828951
0.4222222 0.952272 0.3882336 0.6508126 0.7467868
0.7105263 0.7954979 0.3377111 0.4511625 0.6219638
0.625 0.9401052 0.2194272 0.4241285 0.4732924
0.6086957 0.943936 0.1917391 0.3473092 0.522984
0.8125 0.9901478 0.08926729 0.2033035 0.2352447
0.372093 0.9192107 0.3767197 0.651861 0.8142042
0.4782609 0.9335879 0.1896416 0.486226 0.638093
0.4186047 0.8572991 0.4259215 0.6815548 0.78301
0.5789474 0.9618017 0.2140807 0.4321161 0.5158358
0.8571429 0.8306011 0.2119048 0.286576 0.4148324
0.5625 0.7195767 0.3286894 0.4727874 0.6045734
0.4565217 0.9398631 0.2033878 0.5558153 0.7215927
0.7083333 0.9230006 0.1112251 0.2564134 0.3321305
0.5483871 0.9941115 0.1960281 0.4063039 0.4658997
0.4230769 0.9585656 0.2194855 0.5546791 0.6752294
0.525 0.9249368 0.1609148 0.3865915 0.4656471
0.4444444 0.8406494 0.3085751 0.5736814 0.7537617
0.1764706 0.9605589 0.3762359 0.7827948 0.826096
0.5428571 0.903111 0.2330014 0.5776986 0.8423937
0.7037037 0.9448361 0.1960409 0.3491553 0.502218
0.4615385 0.9275621 0.1548066 0.5270866 0.7196656
0.3414634 0.9704632 0.2098364 0.6002553 0.6465746
0.3783784 0.781387 0.3187657 0.6447544 0.8268548
0.4594595 0.8948251 0.3300252 0.5838503 0.694119
0.3529412 0.9366197 0.2184727 0.5784802 0.6088322
0.326087 0.9908091 0.3397011 0.6368823 0.6853839
0.6 0.945084 0.1201581 0.3324071 0.4408542
0.7037037 0.9421545 0.08469257 0.290682 0.4337172
0.5909091 0.9036975 0.1573518 0.4927508 0.597581
0.3684211 0.9808623 0.201162 0.5638006 0.6433178
0.36 0.9595207 0.2771184 0.5643063 0.7020817
0.3617021 0.995387 0.1530721 0.5888717 0.6317255
0.4827586 0.9605095 0.2999166 0.5273728 0.6009066
0.4468085 0.8372872 0.3159683 0.5731785 0.7902338
0.3191489 0.9691293 0.3882197 0.6778975 0.7565311
0.5405405 0.9624801 0.1918098 0.4623413 0.5873767
0.7407407 0.8589882 0.1592593 0.3180086 0.5385332
0.575 0.9529851 0.07934527 0.2988026 0.4875224
0.4583333 0.9854646 0.1993162 0.4618624 0.5818505
0.2727273 0.9821761 0.2138868 0.6828139 0.7708108
0.5555556 0.9620644 0.1781864 0.4593146 0.5479494
