reso  sja  d_qt  d_ci  d_rf
0.4186047 0.9934019 0.1439409 0.4585731 0.4944236
0.4444444 0.9600523 0.1750252 0.4808516 0.5622453
0.4772727 0.9427015 0.2349003 0.4591573 0.5619167
0.6136364 0.9323507 0.1459143 0.3914496 0.522689
0.25 0.9876723 0.3043843 0.6840119 0.7602784
0.45 0.86924 0.2212874 0.4838748 0.7011596
0.3846154 0.8489726 0.3824131 0.5852289 0.7298091
0.5454545 0.9575751 0.1879447 0.4137038 0.4833359
0.2758621 0.9301872 0.3466352 0.6937724 0.7465292
0.3333333 0.9700437 0.2762231 0.6162628 0.6502657
0.5263158 0.9944685 0.06041276 0.3379823 0.3971258
0.6875 0.9755932 0.1380289 0.3021185 0.3448574
0.4782609 0.9514532 0.2163545 0.414705 0.4759918
0.625 0.9169675 0.1722136 0.3982555 0.5029903
0.3953488 0.9326498 0.2476269 0.5170835 0.6825121
0.4130435 1 0.09985322 0.45341 0.4675497
0.5348837 0.9607461 0.09540399 0.387304 0.4693085
0.7368421 0.9728046 0.0745728 0.228244 0.3270843
0.7142857 0.9580838 0.1357143 0.2481055 0.2900079
0.75 0.6795515 0.3430083 0.3657438 0.4818375
0.3695652 0.9806833 0.2714465 0.5267718 0.5716101
0.4583333 0.9750163 0.16849 0.4504983 0.566978
0.4193548 0.9642291 0.1588753 0.4489539 0.5127215
0.4230769 0.9574211 0.3882784 0.6212991 0.7608278
0.575 0.970356 0.1808889 0.3307776 0.4496799
0.4814815 0.8125055 0.2384784 0.4833933 0.643787
0.4411765 0.9992814 0.1423121 0.4159822 0.4323123
0.6 0.9867287 0.1541895 0.3242181 0.3938965
0.6296296 0.9586536 0.09724503 0.3035665 0.3561066
0.5128205 0.9624957 0.1063477 0.4258618 0.5964037
0.4634146 0.9434148 0.2049672 0.5228559 0.6218136
0.4054054 0.9491042 0.1897746 0.5093751 0.5642093
0.3783784 0.9913107 0.2506675 0.5334917 0.6169192
0.6470588 0.9857011 0.06532508 0.2542755 0.2881211
0.6304348 0.9436482 0.09137656 0.2994622 0.4652913
0.65 0.9841844 0.0920384 0.3083432 0.3185405
0.6666667 0.9802437 0.1088305 0.3328723 0.371206
0.4545455 0.6644991 0.3720158 0.6300761 0.7340167
0.5789474 0.9118617 0.1416268 0.3521144 0.5110945
0.52 0.873693 0.2364347 0.4528394 0.5116447
0.3829787 0.8041145 0.2545441 0.5551661 0.7421983
0.7586207 0.9388857 0.1157675 0.2953682 0.4021702
0.212766 0.9703627 0.4366001 0.7723233 0.8400629
0.2765957 0.9712749 0.3455536 0.6844609 0.7494516
0.4594595 0.9854177 0.186388 0.4592406 0.5570371
0.7037037 0.9317386 0.09034848 0.2524176 0.3620504
0.325 0.9862833 0.09782433 0.4826418 0.5752521
0.7083333 0.8015298 0.248433 0.3787568 0.5297763
0.4848485 0.9096349 0.2582803 0.4969239 0.6968135
0.6222222 0.9736516 0.07908829 0.3016448 0.4207912
0.5217391 0.9780755 0.07993311 0.3590861 0.401948
0.6111111 1 0.07919799 0.2425561 0.2436009
0.5263158 0.9965417 0.1270677 0.3397661 0.34142
0.4666667 1 0.1262341 0.3822686 0.3908979
0.4375 0.9894044 0.1877196 0.4817715 0.5547596
0.4571429 0.995641 0.2042403 0.465859 0.5184335
0.5952381 0.8768189 0.1659552 0.3388173 0.4166977
0.7272727 0.9413097 0.1302767 0.31017 0.3600346
