reso  sja  d_qt  d_ci  d_rf
0.4186047 0.9894449 0.255339 0.5413454 0.5913246
0.25 0.9042294 0.4353929 0.7460259 0.8132586
0.5454545 0.9474263 0.1626636 0.3669858 0.5216481
0.3863636 0.981441 0.2318112 0.5517131 0.6323274
0.3863636 0.9892789 0.3449472 0.5803481 0.6266782
0 NaN 0.5 1 1
0.5128205 0.945814 0.2461851 0.4679659 0.5553733
0.5 0.9942497 0.2146245 0.4279524 0.5078432
0.2758621 0.9886394 0.1961902 0.6385269 0.6980711
0.3333333 0.9451772 0.4058099 0.695484 0.7599982
0.4736842 0.9915877 0.227639 0.466479 0.5029719
0.5 0.8288182 0.2839267 0.5614022 0.6422935
0.3478261 0.9623591 0.3710033 0.6130926 0.6624421
0.625 1 0.06166151 0.2303341 0.2294261
0.372093 0.9661267 0.2520789 0.554139 0.6528684
0.3695652 0.9759778 0.2415186 0.5887249 0.7300805
0.4186047 0.9536031 0.2172197 0.5370029 0.6372886
0.4736842 0.9910847 0.2289132 0.4511086 0.5206365
0.7142857 0.9542484 0.1690476 0.2798249 0.3578549
0.8125 0.9834569 0.0626935 0.1813262 0.2217573
0.3695652 0.9821874 0.3404232 0.6195714 0.663696
0.5 0.8840724 0.2147578 0.5100342 0.647269
0.4193548 0.9985492 0.2702907 0.5402701 0.6080018
0.5769231 0.9097728 0.1756979 0.3963282 0.4797594
0.5 0.765064 0.2904424 0.5102881 0.683307
0.4814815 0.9621298 0.2608831 0.4689459 0.5198693
0.2941176 0.9984662 0.3326974 0.6388403 0.6773396
0.4857143 0.8904989 0.1984353 0.4391871 0.5346194
0.4814815 0.7959506 0.3293195 0.5443592 0.7528132
0.4102564 0.980787 0.1615161 0.5343005 0.5692075
0.3658537 0.9919912 0.2800716 0.6309429 0.6921096
0.5675676 0.9256233 0.1796531 0.3304901 0.4634167
0.5135135 0.9714888 0.1203687 0.4227858 0.4572739
0.8235294 0.9770318 0.05417957 0.1729604 0.1910683
0.4565217 0.939381 0.2673049 0.5079408 0.6040885
0.5 0.8981481 0.2377753 0.4436378 0.4968872
0.6296296 0.939228 0.1487137 0.386313 0.5943081
0.6363636 0.838321 0.2247431 0.4916506 0.6248085
0.7368421 0.9754895 0.06507177 0.2763351 0.3194582
0.4 0.9825594 0.1756777 0.4328284 0.4622614
0.3191489 0.8371281 0.2676465 0.6513273 0.7200069
0.4137931 1 0.2600528 0.4853439 0.5124536
0.5531915 0.9038858 0.1943183 0.4660933 0.5614992
0.2553191 0.9786654 0.4489514 0.7567733 0.8237293
0.4054054 0.9186186 0.3429642 0.6162623 0.8257856
0.4814815 0.9786565 0.1669403 0.4904977 0.5633601
0.225 0.9981838 0.2399441 0.7288012 0.7560417
0.2083333 0.9771144 0.4453561 0.7632009 0.8316411
0.2727273 0.8843373 0.445845 0.7353163 0.8086457
0.6 0.7768177 0.2744372 0.4233773 0.5598454
0.173913 1 0.2996656 0.7330923 0.7451686
0.6111111 0.6668758 0.3666667 0.4273795 0.5903183
0.2631579 0.9402757 0.3427888 0.6662049 0.7280505
0.5666667 0.7982317 0.2889785 0.5036514 0.7200841
0.46875 0.8823855 0.209406 0.423423 0.4926898
0.5428571 0.907098 0.2609971 0.5389806 0.6803805
0.4047619 0.9863652 0.2234807 0.5061954 0.5574722
0.6363636 0.9423912 0.2019368 0.409356 0.4706164
0.3 1 0.2468097 0.5876126 0.6174468
0.5405405 0.9475753 0.1474395 0.4288826 0.5229766
0.7222222 1 0.0726817 0.1678811 0.1708363
0.5 0.98135 0.2149461 0.4870595 0.5705034
0.4 0.7126426 0.3862271 0.6215642 0.7197125
0.4444444 0.9782867 0.2969113 0.5396827 0.6680596
0.3488372 0.9956062 0.2767381 0.6038848 0.6595244
0.275 1 0.4327161 0.7049915 0.7632506
0.5882353 0.9751282 0.1175439 0.3360429 0.3962303
0.3181818 0.906001 0.2422134 0.5759173 0.6783311
0.6153846 0.9823911 0.1274473 0.2782224 0.358231
0.4615385 0.7577653 0.3958781 0.6324677 0.7720036
0.65 0.8614291 0.205506 0.3365351 0.4677875
0.4074074 0.8952183 0.2918993 0.5190669 0.6759677
0.525 0.9755609 0.1726602 0.429383 0.5375642
0.4347826 0.9530082 0.1756522 0.4448136 0.5670444
0.5 0.98808 0.2586417 0.4441084 0.485358
0.6666667 0.7916667 0.2777778 0.4929847 0.5276005
0.4358974 0.9695174 0.1539087 0.463364 0.5511348
0.5333333 0.6179002 0.4104575 0.5638967 0.7232033
0.3170732 0.9836336 0.4329545 0.7008499 0.8082094
0.2631579 1 0.415311 0.6650474 0.7133347
