reso  sja  d_qt  d_ci  d_rf
0.627907 0.7992749 0.24251 0.3889406 0.5423842
0.4166667 0.9502619 0.2356324 0.63238 0.8361365
0.6590909 0.9748654 0.06741233 0.2415603 0.3511283
0.5 0.9967237 0.1531943 0.4072363 0.4543071
0.4318182 0.9527713 0.3005943 0.5401114 0.6472654
0.6 0.8517595 0.1974591 0.4496808 0.5624637
0.6153846 0.8365344 0.3719468 0.4924061 0.6279714
0.6363636 0.8849486 0.1979447 0.3778411 0.550519
0.4137931 0.9560995 0.1813265 0.5331413 0.6549281
0.6888889 0.9718436 0.08962124 0.2809943 0.4207744
0.6842105 0.9556313 0.06984299 0.2659102 0.3551166
0.625 0.9823995 0.07572239 0.264895 0.2506556
0.5652174 0.9564887 0.2185953 0.426366 0.4938109
0.875 0.9330357 0.0745614 0.1609167 0.2485941
0.372093 0.8605104 0.2833226 0.5785092 0.7142883
0.5652174 0.9397912 0.1700051 0.4074219 0.5550859
0.6511628 0.9216509 0.125753 0.3524291 0.5119241
0.6842105 0.9625319 0.1034176 0.295868 0.4258389
1 0.8857143 0.1142857 0.1579827 0.1756864
0.5625 0.9911455 0.2710268 0.3910252 0.4548287
0.5 0.9827791 0.1292525 0.4506205 0.5725658
0.4583333 0.9128753 0.2202564 0.4840675 0.5828378
0.5806452 0.9134171 0.1358353 0.3263811 0.5895584
0.3461538 0.8828897 0.2650204 0.6333674 0.7215769
0.5 0.9520518 0.2684466 0.4759975 0.608469
0.3703704 0.8768588 0.2826856 0.5769135 0.7453362
0.4411765 0.9286935 0.2189038 0.5095512 0.5710133
0.5142857 0.9576952 0.140466 0.3976219 0.5734285
0.5925926 0.9266076 0.1523627 0.3906094 0.4700051
0.3076923 0.99666 0.2289824 0.6397889 0.6772853
0.3902439 0.8679454 0.3308521 0.6441568 0.7548212
0.4864865 0.8190415 0.2777601 0.4927242 0.5748592
0.5405405 0.9613927 0.1630102 0.4278852 0.6013811
0.7058824 0.9573406 0.08400413 0.2401716 0.2575585
0.4565217 0.9718475 0.3099903 0.5401382 0.6317235
0.7 0.9395101 0.09875776 0.2335321 0.3700317
0.4074074 1 0.136289 0.4323624 0.4358343
0.3636364 0.9210632 0.1694071 0.5238303 0.6127397
0.6315789 0.958679 0.09179768 0.3500301 0.3865828
0.56 0.8941335 0.1994383 0.3947512 0.521167
0.4042553 0.9271156 0.2908098 0.642959 0.7728008
0.6551724 0.8410092 0.2244994 0.4560931 0.6581242
0.7446809 0.8981264 0.1131155 0.268621 0.4322801
0.4255319 0.9416054 0.195762 0.5590555 0.7015983
0.4864865 0.9523036 0.2043768 0.4698765 0.6035976
0.4444444 0.9648426 0.1497354 0.4915286 0.5714801
0.55 0.9302514 0.1003727 0.3614418 0.6275494
0.625 0.9629495 0.0642735 0.3652691 0.4418865
0.3636364 0.9167834 0.2323402 0.5799925 0.841432
0.7555556 0.9843694 0.04308768 0.2233125 0.3162829
0.7826087 0.8799335 0.1329766 0.3435673 0.4923252
0.7777778 0.7983917 0.239599 0.2858056 0.4012985
0.6842105 0.9318443 0.1405332 0.3002246 0.4116532
0.7 0.9224552 0.2100318 0.3250239 0.4520019
0.46875 0.9043899 0.2172746 0.4410833 0.4948814
0.5142857 0.985249 0.2259229 0.4285784 0.4943433
0.4047619 0.9413903 0.3427028 0.5822766 0.6664478
0.7272727 0.8911565 0.1727273 0.3229905 0.4927632
