reso  sja  d_qt  d_ci  d_rf
0.5116279 0.983279 0.205457 0.3830314 0.4940701
0.4166667 0.9155901 0.2324896 0.5322904 0.7194457
0.4772727 0.9075132 0.3624282 0.6033663 0.7646951
0.5 0.9011215 0.2122446 0.480656 0.6518134
0.3409091 0.9855237 0.3655538 0.6331488 0.7294804
0.5 0.9061879 0.1997741 0.5046431 0.5796757
0.6410256 0.9728279 0.2277808 0.3351755 0.4324301
0.5909091 0.9565579 0.1959289 0.3608714 0.4403738
0.3448276 1 0.2408788 0.5777732 0.6137131
0.4666667 0.9321558 0.25618 0.5589026 0.7028502
0.4210526 0.987825 0.3132517 0.5577886 0.6121887
0.8125 0.6460883 0.3583591 0.5108444 0.7047333
0.5217391 0.9960972 0.1258863 0.3663973 0.3981313
0.5 0.9112789 0.2751548 0.5289092 0.6187852
0.3023256 0.9420431 0.2971995 0.660456 0.8207148
0.326087 0.9369496 0.2927585 0.6662933 0.789409
0.4186047 0.9822134 0.1710482 0.5173848 0.5914199
0.5789474 0.9822878 0.1426521 0.3503609 0.3826583
0.5714286 1 0.1190476 0.2589403 0.2446809
0.75 0.8768592 0.2189112 0.2857782 0.4508388
0.4347826 0.9314477 0.274007 0.5289299 0.6071396
0.625 0.742419 0.3009402 0.4867704 0.6747919
0.4193548 1 0.1943893 0.4687166 0.4956968
0.5384615 0.938336 0.1674877 0.4332529 0.4986749
0.375 0.9919971 0.2295033 0.5704732 0.6200333
0.4444444 0.94456 0.2738186 0.5641426 0.6552866
0.2058824 0.9176186 0.3378151 0.752532 0.854382
0.5428571 0.9325696 0.1639301 0.3776035 0.5479257
0.4074074 0.9860317 0.3387521 0.5624158 0.6631205
0.5641026 0.9669487 0.1735906 0.3993312 0.5399284
0.4146341 0.9912779 0.2157811 0.5743483 0.621178
0.4594595 0.9954385 0.2135792 0.4430038 0.4698393
0.5675676 0.9967856 0.09244447 0.3474152 0.4080818
0.5882353 0.9580653 0.1031992 0.325458 0.3875659
0.5434783 0.9786132 0.1628523 0.4611528 0.5378608
0.5 0.8925423 0.1831733 0.4074854 0.6821665
0.5925926 0.9769759 0.1069148 0.3275133 0.3391939
0.6363636 0.6754961 0.3371146 0.5525258 0.7170324
0.3157895 0.8940853 0.3041695 0.6433116 0.7042305
0.48 0.8965264 0.3416606 0.5591637 0.7185335
0.4042553 0.9341961 0.1658142 0.5461359 0.6794689
0.5172414 0.9772574 0.2245551 0.4894525 0.5849742
0.4042553 0.9901894 0.3023513 0.5271465 0.6322724
0.1914894 1 0.4583087 0.7986838 0.8409431
0.4324324 0.9066684 0.3634041 0.5486008 0.7379922
0.5185185 0.9351827 0.1462324 0.3926765 0.4876325
0.5 0.8977019 0.1515234 0.5052114 0.5829414
0.5 0.7362687 0.3196011 0.4880496 0.6712985
0.3636364 0.930649 0.3652746 0.6446938 0.7572852
0.5333333 0.9900784 0.1103325 0.4311484 0.5052286
0.4782609 0.9442338 0.1472575 0.4484605 0.4866051
0.5555556 0.8710813 0.3061821 0.4282013 0.5611645
0.3684211 0.8721905 0.3483254 0.5812299 0.6526274
0.3666667 0.9463629 0.3783847 0.6385183 0.7385417
0.34375 0.9650413 0.2245989 0.556046 0.6169038
0.6285714 0.971219 0.09010364 0.3137215 0.4220562
0.2619048 0.8886979 0.463576 0.7719659 0.8450234
0.4090909 0.8956779 0.2568379 0.5443658 0.716065
0.35 0.9852542 0.3587804 0.6044695 0.6864621
0.6486486 0.9456968 0.1328646 0.3471695 0.4692875
0.6666667 0.7739698 0.2756057 0.4443338 0.5438842
0.45 0.961969 0.2659347 0.5427878 0.7059832
0.64 0.8487749 0.2330403 0.4599829 0.5920023
0.5555556 0.9720387 0.3046151 0.4916362 0.5868783
0.2790698 0.9972433 0.3596195 0.687451 0.7471598
0.375 0.9414183 0.3233612 0.5610906 0.7038792
0.4705882 0.8809061 0.2570691 0.5314017 0.6587957
0.5 0.7007457 0.3680632 0.5539053 0.7665259
0.5769231 0.978707 0.08161762 0.2962415 0.4237915
0.3846154 0.9905886 0.2410214 0.5817803 0.6495912
0.55 0.9608712 0.1310267 0.3987283 0.4910344
0.3333333 1 0.4044335 0.6035248 0.6568127
0.4 0.9969858 0.3423466 0.5991685 0.6724247
0.3043478 0.9403653 0.2629097 0.5725325 0.6546184
0.3846154 0.9900483 0.2097385 0.5301571 0.5597682
0.5 0.7391304 0.3690476 0.6246163 0.7487212
0.2820513 0.9848668 0.4570624 0.7230588 0.8114851
0.8666667 0.6096579 0.3931373 0.4691202 0.733089
0.3414634 0.8762109 0.4210393 0.6615339 0.7454647
0.4736842 0.9811709 0.2764183 0.4324463 0.5089444
0.4210526 0.969065 0.1981485 0.4187398 0.4548899
0.2954545 0.9818067 0.4441735 0.6993254 0.7765084
0.4358974 0.9814138 0.1961583 0.4846702 0.5750748
0.4857143 0.9742142 0.1063537 0.383468 0.5479269
0.4210526 0.799511 0.4162679 0.6300404 0.7590416
0.3947368 0.973814 0.334013 0.5712339 0.7241496
0.4666667 0.9816781 0.1851906 0.4868348 0.5492857
0.35 1 0.3014116 0.5511884 0.5855262
0.5384615 0.9821901 0.131805 0.3711971 0.4922247
0.4583333 0.9874178 0.2042165 0.4573801 0.5479227
0.3255814 0.9993801 0.2877195 0.5873566 0.6196022
0.3714286 1 0.3368489 0.5821965 0.637461
0.4130435 0.9986989 0.4167839 0.582369 0.6646878
0.75 0.8379655 0.1862745 0.3408253 0.4403335
0.35 0.9817651 0.4130824 0.6878863 0.7582412
0.5 0.9611274 0.331812 0.5104713 0.6284963
0.6666667 0.9892207 0.03638807 0.210627 0.2445109
0.3571429 0.8636078 0.3345304 0.6254085 0.7081244
0.3157895 1 0.4128913 0.6464592 0.7045287
0.6129032 0.9832618 0.2839723 0.3858117 0.4784988
