reso  sja  d_qt  d_ci  d_rf
0.5116279 0.983279 0.205457 0.3830314 0.4940701
0.4166667 0.9155901 0.2324896 0.5322904 0.7194457
0.5227273 0.9393696 0.2635831 0.5510767 0.7121189
0.5454545 0.9000148 0.2118633 0.4798305 0.6594775
0.4545455 0.9388661 0.2777927 0.5217827 0.6888336
0.5 0.9061879 0.1997741 0.5046431 0.5796757
0.6923077 0.9731964 0.2238229 0.3034011 0.4021449
0.5454545 0.9925159 0.1878656 0.3707948 0.4196457
0.3793103 1 0.2361096 0.5548931 0.5976007
0.4888889 0.9310618 0.2565115 0.5560718 0.7044484
0.4473684 0.9878934 0.3121704 0.5355693 0.59154
0.8125 0.6460883 0.3583591 0.5108444 0.7047333
0.5652174 0.973057 0.1335786 0.3755772 0.4118415
0.5 0.9112789 0.2751548 0.5289092 0.6187852
0.4418605 0.8253723 0.3078592 0.5438413 0.768334
0.3478261 0.926147 0.290762 0.6523317 0.7923591
0.4651163 0.9833312 0.1332506 0.4621061 0.5384985
0.6315789 0.9833651 0.1186603 0.2866434 0.3062916
0.5714286 1 0.1190476 0.2589403 0.2446809
0.75 0.8768592 0.2189112 0.2857782 0.4508388
0.4565217 0.9315033 0.2737946 0.5123262 0.5918409
0.625 0.7424547 0.3008832 0.4918871 0.7036886
0.516129 0.9384712 0.1385846 0.3653532 0.4416182
0.5384615 0.938336 0.1674877 0.4332529 0.4986749
0.375 0.9892859 0.2990641 0.5948908 0.6544548
0.4444444 0.94456 0.2738186 0.5641426 0.6552866
0.2352941 0.9260517 0.3156711 0.6883998 0.7775966
0.5428571 0.9325696 0.1639301 0.3776035 0.5479257
0.4444444 0.9861111 0.3378033 0.5275069 0.6282746
0.6410256 0.9572894 0.1443536 0.3604116 0.4988062
0.3902439 0.9943572 0.2160389 0.5779867 0.6188981
0.5135135 0.9850318 0.213508 0.428547 0.4844466
0.5675676 0.9967856 0.09244447 0.3474152 0.4080818
0.5882353 0.9580653 0.1031992 0.325458 0.3875659
0.5652174 0.964117 0.1670553 0.4403406 0.5506037
0.5 0.8925423 0.1831733 0.4074854 0.6821665
0.6296296 0.977174 0.1033388 0.2859802 0.2909597
0.6363636 0.6754961 0.3371146 0.5525258 0.7170324
0.3157895 0.8940853 0.3041695 0.6433116 0.7042305
0.48 0.8965264 0.3416606 0.5591637 0.7185335
0.4042553 0.9168289 0.1625858 0.5341608 0.6866751
0.5172414 0.9772574 0.2245551 0.4894525 0.5849742
0.4255319 0.9743795 0.2326769 0.4904837 0.6444463
0.2978723 0.9868696 0.2821602 0.6191747 0.6585735
0.4324324 0.9066684 0.3634041 0.5486008 0.7379922
0.5555556 0.9359645 0.1412698 0.3729938 0.4730339
0.575 0.9018648 0.132939 0.446955 0.5250869
0.4583333 0.727483 0.3319088 0.533413 0.7245086
0.4545455 0.9503786 0.3030812 0.5385511 0.6376409
0.5777778 0.9879352 0.1057149 0.4020892 0.4732514
0.5217391 0.938146 0.1455853 0.4331635 0.4960396
0.5 0.8761261 0.3046784 0.4355461 0.5521698
0.5263158 0.8429809 0.22946 0.4638831 0.6618594
0.4 0.9461051 0.3778226 0.6226271 0.7432303
0.34375 0.9692137 0.2252196 0.5332626 0.5855147
0.6 0.9630395 0.1356093 0.3511763 0.5023017
0.3333333 0.9343993 0.4290681 0.7043764 0.7920706
0.5454545 0.9151319 0.1864032 0.3806913 0.4991792
0.4 0.9713033 0.3664596 0.5652473 0.6573965
0.6486486 0.9456968 0.1328646 0.3471695 0.4692875
0.7222222 0.7865125 0.2515455 0.4029204 0.5021315
0.475 0.9627553 0.2605867 0.5131081 0.6642668
0.64 0.8487749 0.2330403 0.4599829 0.5920023
0.5777778 0.9494972 0.3260895 0.5012087 0.6030726
0.3255814 0.9973399 0.3544934 0.6438955 0.7079642
0.425 0.9376722 0.2914594 0.5135852 0.7046877
0.5294118 0.8815578 0.2553148 0.4912263 0.6271022
0.4545455 0.6877902 0.3816996 0.5983463 0.8269321
0.5769231 0.978707 0.08161762 0.2962415 0.4237915
0.4615385 0.8707734 0.2460738 0.5169191 0.6139948
0.6 0.9605341 0.1198849 0.3739349 0.4593521
0.4814815 0.9623946 0.3438606 0.5036048 0.5841099
0.4 0.9958991 0.3843773 0.6257761 0.6971306
0.3043478 0.9403653 0.2629097 0.5725325 0.6546184
0.3846154 0.9900483 0.2097385 0.5301571 0.5597682
0.5 0.7391304 0.3690476 0.6246163 0.7487212
0.3846154 0.9517009 0.4364156 0.6602377 0.7918093
1 0.5941176 0.4058824 0.4903649 0.7512758
0.3658537 0.887417 0.4105937 0.6310445 0.7126861
0.5263158 0.9757168 0.277717 0.4253186 0.517877
0.4210526 0.9946141 0.1898637 0.4346232 0.4423771
0.3181818 0.9826208 0.4414599 0.6823451 0.7641972
0.4871795 0.9815985 0.1929912 0.4572803 0.555542
0.4571429 0.9856009 0.1070853 0.3953723 0.540128
0.4736842 0.7581285 0.4110048 0.6163553 0.7664851
0.3684211 0.9748582 0.3338254 0.5810406 0.7220126
0.5 0.9321259 0.2020528 0.4482017 0.5718629
0.45 0.9589478 0.1591191 0.4237987 0.5172339
0.5384615 0.9821901 0.131805 0.3711971 0.4922247
0.4583333 0.9874178 0.2042165 0.4573801 0.5479227
0.3488372 0.9994438 0.2633821 0.5509392 0.5791271
0.4857143 0.8552272 0.3557339 0.5233998 0.609444
0.4347826 0.9993987 0.3196988 0.5325833 0.6008804
0.75 0.8379655 0.1862745 0.3408253 0.4403335
0.325 0.9810934 0.4162872 0.7055802 0.7707991
0.5217391 0.9754884 0.2249665 0.4662283 0.5721191
0.6666667 0.9891561 0.03921065 0.2141465 0.2494942
0.3928571 0.8621476 0.333434 0.6150296 0.7154337
0.3947368 0.9848573 0.1869853 0.4983852 0.6032997
0.6129032 0.9832618 0.2839723 0.3858117 0.4784988
