reso  sja  d_qt  d_ci  d_rf
0.4883721 0.9665284 0.1967001 0.4708609 0.5686839
0.25 0.9799286 0.4264507 0.7248921 0.7708751
0.3409091 0.9634583 0.2612228 0.636048 0.7057751
0.2954545 0.999411 0.2908194 0.6413978 0.680292
0.25 0.9964538 0.3681384 0.6789024 0.7144816
0.45 0.9086508 0.2807453 0.5580835 0.6742738
0.3846154 0.9174795 0.3512508 0.6252381 0.7271204
0.4545455 0.9680109 0.2293676 0.4963548 0.5883141
0.3448276 0.9983701 0.2534066 0.6168634 0.6766442
0.3777778 0.9357839 0.3374422 0.6457841 0.768967
0.2894737 0.9645215 0.2936556 0.6592499 0.7703663
0.9375 0.9194537 0.1117131 0.295465 0.3524584
0.5652174 0.939233 0.2234448 0.4396753 0.618876
0.875 0.9184783 0.1026832 0.2709995 0.3090781
0.3488372 0.9709169 0.2399301 0.5821562 0.646408
0.4347826 0.9992636 0.2119919 0.5076325 0.5626218
0.5581395 0.9709322 0.1639336 0.4403744 0.5081869
0.4736842 1 0.254067 0.4171494 0.450434
0.7142857 0.7964072 0.2642857 0.3577783 0.5099613
0.5625 0.9745434 0.2787668 0.3982809 0.5284856
0.3695652 0.9734615 0.2015849 0.5722946 0.6354685
0.5416667 0.99103 0.1506553 0.3861478 0.4486413
0.4516129 0.9939027 0.2065616 0.4743093 0.5463749
0.3461538 1 0.3149552 0.5883086 0.6408617
0.475 0.9859908 0.276805 0.5054311 0.5995724
0.1851852 0.9964219 0.3633096 0.7386467 0.7757717
0.2058824 0.9451919 0.4118177 0.7301009 0.7767134
0.4857143 0.8232687 0.2519745 0.5156848 0.7065201
0.3333333 1 0.2000182 0.5325405 0.5465329
0.5384615 0.9907308 0.1145091 0.3866538 0.4741754
0.5121951 0.8719644 0.1916376 0.4841884 0.6767022
0.3513514 0.7880501 0.2903655 0.5699065 0.7143817
0.5405405 0.8076582 0.3481672 0.5318218 0.7454597
0.5882353 0.9576108 0.1078431 0.3140681 0.4049235
0.6304348 0.9418708 0.1226071 0.3176538 0.4636453
0.5 0.9654443 0.1273292 0.3689712 0.4768065
0.6296296 0.937042 0.1691845 0.4420417 0.5809311
0.4090909 0.9620733 0.1532806 0.5517787 0.5832002
0.4736842 0.925282 0.1856459 0.486969 0.5149815
0.36 0.9777178 0.3617827 0.5993719 0.6935007
0.4893617 0.9776661 0.2351411 0.4813455 0.606769
0.5862069 0.9709654 0.2058954 0.4295321 0.5135443
0.6382979 0.8980924 0.1803126 0.3319777 0.4614692
0.3191489 0.9373615 0.2729766 0.664318 0.7753638
0.3243243 0.9927043 0.4224095 0.6718532 0.7430365
0.4814815 0.9351071 0.2064039 0.5377368 0.6533999
0.35 0.9024406 0.2537517 0.6474702 0.7668807
0.5 1 0.2309972 0.4028004 0.4424518
0.4242424 0.9643593 0.1863594 0.465362 0.5113504
0.5555556 0.9836126 0.1087008 0.3794739 0.4456201
0.4782609 0.9222959 0.2357191 0.6049261 0.7120068
0.5555556 0.9640599 0.2670008 0.4117792 0.5395517
0.6842105 0.8360358 0.1968558 0.4328266 0.5835012
0.5 0.9089013 0.346652 0.5209288 0.6058523
0.34375 0.938532 0.2585561 0.5688201 0.657964
0.6285714 0.9045728 0.1604416 0.3328567 0.5088351
0.3809524 0.9739138 0.3235645 0.6193879 0.7111578
0.7727273 0.9361005 0.1104743 0.2445236 0.4129334
0.4 0.8250834 0.3568605 0.5966405 0.7540485
0.5945946 0.9790685 0.1028067 0.3931421 0.4724244
0.8333333 0.8441446 0.1675856 0.4171997 0.4928482
0.375 0.9487248 0.2020258 0.6057321 0.7216039
0.64 0.9682183 0.2150672 0.3685833 0.4716223
0.4 0.9992684 0.1913737 0.4789144 0.509237
0.3255814 0.9903156 0.3116739 0.6599067 0.7125299
0.3 0.9893617 0.3456851 0.6369592 0.7179377
0.6470588 0.8185616 0.2796698 0.4432229 0.6775029
0.4090909 0.9507216 0.1963241 0.4631058 0.5549782
0.3846154 0.9738806 0.2326428 0.5936232 0.7502145
0.6538462 0.8862959 0.2051914 0.3910246 0.5926718
0.35 0.9612736 0.3171015 0.6243055 0.7387697
0.2222222 0.9651002 0.4508849 0.7519553 0.8094395
0.45 0.9948651 0.3531886 0.5201067 0.5766772
0.3043478 0.9184827 0.2276923 0.6238011 0.696119
0.3846154 0.9909246 0.2813566 0.5303605 0.5853062
0.5 0.9259259 0.2261905 0.4678391 0.490482
0.3333333 0.9768853 0.3525418 0.6571605 0.8369669
0.3333333 0.9230321 0.2629085 0.5852478 0.6330269
0.2682927 1 0.3611355 0.6902815 0.7307783
0.2631579 1 0.415311 0.6650474 0.7133347
0.3684211 0.9932295 0.3489335 0.5819186 0.6377913
0.4090909 0.992602 0.3327559 0.5483297 0.6274393
0.4615385 0.9808081 0.191794 0.4662753 0.5394838
0.4 0.9881799 0.2683601 0.5751654 0.6299527
0.3684211 0.9527333 0.349419 0.6115157 0.711305
0.5 0.9957184 0.09299398 0.4107728 0.4684193
0.4666667 0.9834174 0.1509164 0.4265872 0.5257683
0.45 0.8813839 0.2124224 0.5448384 0.6447263
0.6153846 0.9236923 0.1231527 0.2784094 0.4041866
0.5 0.9433456 0.2458405 0.4807757 0.5962725
0.4651163 0.9902122 0.2345191 0.4851325 0.5469747
0.4 0.9558376 0.3316399 0.5777432 0.6879324
0.3043478 0.9702071 0.4088995 0.6646056 0.7596874
0.6875 1 0.1498968 0.2159848 0.2356241
0.35 1 0.1755368 0.525561 0.5406936
0.5434783 0.9742995 0.2015872 0.4468714 0.5242053
0.5 0.8073452 0.2603128 0.4995143 0.591054
0.6785714 0.9885245 0.09952328 0.2802796 0.341355
0.3684211 0.9186102 0.413153 0.6102601 0.7103282
0.516129 0.993858 0.2954114 0.4764181 0.5532038
