reso  sja  d_qt  d_ci  d_rf
0.6976744 0.9226494 0.1561204 0.3844154 0.5414655
0.4444444 0.9540437 0.2554376 0.5702744 0.7470553
0.5681818 0.9821322 0.09517002 0.4256045 0.545959
0.4772727 0.903651 0.1393154 0.4356035 0.4853398
0.5227273 0.974582 0.2983881 0.5172393 0.6328091
0.6 0.8544627 0.2802372 0.5229243 0.7339222
0.5128205 0.6774059 0.3977218 0.5771348 0.7740895
0.6363636 0.9590793 0.2020158 0.4063558 0.5404199
0.4482759 0.976324 0.2543938 0.5812108 0.6543151
0.6222222 0.8865811 0.3380563 0.5202808 0.6685091
0.6052632 0.9378621 0.2626543 0.5007079 0.6686758
0.9375 0.9194537 0.1117131 0.295465 0.3524584
0.6521739 0.9046053 0.2202676 0.4161604 0.6414349
0.9375 0.8911917 0.1104231 0.2603409 0.3292733
0.6046512 0.9063986 0.221828 0.4230437 0.5510037
0.6086957 0.9463563 0.1659933 0.4188707 0.5704601
0.744186 0.9294268 0.1191776 0.3405384 0.5196255
0.5263158 1 0.2427888 0.3825681 0.4239658
0.7142857 0.7964072 0.2642857 0.3577783 0.5099613
0.625 0.7711294 0.3129515 0.4341785 0.6529869
0.4782609 0.9734073 0.1812216 0.4841936 0.5659473
0.8333333 0.8591608 0.1537322 0.2895187 0.4976089
0.6129032 0.9573831 0.1440724 0.3307154 0.4996217
0.6153846 0.7501999 0.2759884 0.4287864 0.6179823
0.6 0.9779889 0.2700146 0.4551414 0.5603616
0.6296296 0.8791416 0.1621967 0.365012 0.4635324
0.4411765 0.9741884 0.2365811 0.4848188 0.5758349
0.7142857 0.7941591 0.2285917 0.4085846 0.679508
0.7777778 0.8764746 0.1343368 0.2850398 0.4735488
0.6410256 0.9610267 0.1251362 0.3982019 0.5715787
0.6341463 0.901006 0.1564519 0.3837953 0.4832326
0.6756757 0.8393999 0.2207517 0.3946895 0.5394506
0.7567568 0.7966439 0.3305504 0.4696848 0.7405248
0.6470588 0.9415094 0.1136223 0.32437 0.4144712
0.6304348 0.958497 0.1010214 0.3527532 0.5400622
0.55 0.9103372 0.2059289 0.4464949 0.5742464
0.6666667 0.9377977 0.1645868 0.4244447 0.5679535
0.5909091 0.7880342 0.2335968 0.5536363 0.6705453
0.7368421 0.8595695 0.1643199 0.375518 0.4829169
0.44 0.9126484 0.3048107 0.52687 0.6369529
0.5744681 0.9758492 0.2133912 0.4363771 0.5971364
0.6896552 0.8880605 0.1931452 0.397735 0.5543005
0.7234043 0.8926163 0.1814199 0.2988324 0.4676911
0.5106383 0.8860474 0.2403626 0.4940372 0.68282
0.5945946 0.893798 0.2045847 0.4480988 0.6511376
0.6666667 0.943075 0.1182813 0.3728194 0.4823466
0.55 0.8447489 0.2355482 0.4999546 0.7663207
0.625 0.9893338 0.1706268 0.2981081 0.3575543
0.6363636 0.9474485 0.1207113 0.3233929 0.4092308
0.7777778 0.8707959 0.1490492 0.3491276 0.5034692
0.5217391 0.8707865 0.2527759 0.5842653 0.7223428
0.5555556 0.9640599 0.2670008 0.4117792 0.5395517
0.6842105 0.7972692 0.2261791 0.4799008 0.6845802
0.6333333 0.804062 0.2717009 0.4043112 0.5538599
0.46875 0.9391402 0.2305863 0.4713536 0.6338902
0.7142857 0.9061186 0.1572241 0.3184832 0.4495876
0.5 0.9598595 0.2082016 0.4893493 0.6658855
0.8181818 0.936761 0.1058103 0.2247755 0.3970226
0.45 0.825855 0.3482778 0.5655724 0.7660545
0.6216216 0.9875984 0.1029106 0.3858937 0.4418634
0.8888889 0.8465338 0.1600668 0.3802159 0.4561549
0.65 0.951117 0.08781703 0.3691325 0.5214293
0.68 0.7013752 0.3698413 0.4946451 0.6804862
0.6 0.963075 0.1843817 0.4380172 0.5634004
0.4883721 0.9702905 0.1831847 0.4866133 0.6146012
0.475 0.9810636 0.276651 0.4757554 0.5898385
0.6470588 0.8134885 0.2831785 0.4685191 0.7131391
0.5454545 0.9330497 0.1942292 0.4331993 0.5737011
0.4230769 0.9575824 0.2370216 0.5946567 0.7530779
0.6923077 0.8879795 0.2325586 0.4559722 0.6485131
0.375 0.9702498 0.3145369 0.6212199 0.7240706
0.3703704 0.8503383 0.3564131 0.6234117 0.8045106
0.525 0.9873086 0.1907341 0.4648812 0.5903246
0.4347826 0.9394239 0.1724749 0.4999759 0.5939525
0.4615385 0.9705846 0.17534 0.4820025 0.547349
0.5 0.9259259 0.2261905 0.4678391 0.490482
0.4871795 0.9532439 0.1945412 0.5433693 0.7661016
0.5333333 0.8132411 0.2928105 0.5475302 0.6724583
0.3902439 0.9814594 0.3452461 0.6104938 0.7116511
0.4736842 0.7233846 0.4007519 0.6072139 0.7540046
0.5789474 0.9329357 0.2677743 0.4593511 0.6142464
0.5227273 0.9389343 0.184299 0.4304025 0.5564923
0.6410256 0.9710464 0.1614804 0.3940276 0.5005794
0.5714286 0.9411325 0.1723972 0.4549432 0.5516681
0.5263158 0.9783956 0.1518797 0.4130633 0.4827013
0.6578947 0.9618483 0.130868 0.3732674 0.491003
0.5333333 0.980975 0.1429008 0.3968763 0.5379671
0.6 0.861416 0.2025409 0.4864266 0.6210298
0.6538462 0.9153771 0.1259315 0.2721743 0.4206815
0.5833333 0.9442287 0.2458405 0.4967062 0.6066071
0.6046512 0.9307868 0.2393817 0.4882913 0.6233339
0.6285714 0.8673997 0.2229831 0.4469781 0.7027794
0.5434783 0.8057999 0.3754767 0.5508911 0.7651562
0.6875 1 0.1498968 0.2159848 0.2356241
0.575 0.8882794 0.1414999 0.379805 0.4548833
0.6304348 0.9119876 0.1793171 0.3923683 0.5578371
0.6 0.7767613 0.2722874 0.4314113 0.5766639
0.6428571 0.9729751 0.1112029 0.3421249 0.4140082
0.5526316 0.8810247 0.2893848 0.4587263 0.7164119
0.6451613 0.8130593 0.3325211 0.4293956 0.5669338
