reso  sja  d_qt  d_ci  d_rf
0.4651163 0.9235563 0.1455894 0.4018188 0.5736799
0.5 0.9954854 0.1157068 0.3632554 0.3924401
0.6818182 0.964911 0.07822162 0.2510603 0.3939841
0.4318182 0.9218726 0.19272 0.5459244 0.6747807
0.4545455 0.9049825 0.1716228 0.4285783 0.551666
0.7 0.9503185 0.1007905 0.2387551 0.3708786
0.5384615 0.9611863 0.2061601 0.3964272 0.4568854
0.5909091 0.985944 0.139249 0.2976802 0.3990824
0.4482759 0.8830851 0.2868743 0.5307885 0.7339472
0.5555556 0.9611767 0.2283328 0.5030399 0.6230066
0.6578947 0.9861955 0.1303051 0.2882826 0.3786827
0.875 0.9588173 0.05159959 0.1828099 0.204232
0.6521739 0.8955548 0.1714381 0.3556994 0.4946263
0.8125 0.9690189 0.07817337 0.2272499 0.2366422
0.6511628 0.9724522 0.05859301 0.3058701 0.3912093
0.5217391 0.951679 0.1828381 0.4852908 0.6349964
0.6976744 0.9163475 0.1528817 0.361121 0.4754972
0.6315789 0.9896574 0.08578264 0.2626346 0.3391674
0.8571429 0.8410256 0.1833333 0.2733587 0.3635474
0.875 0.9401166 0.07146543 0.1213311 0.2188335
0.5434783 0.9918911 0.0980314 0.3240787 0.3565735
0.75 0.903537 0.1352991 0.2407118 0.3519399
0.7741935 0.9450421 0.09681732 0.2178608 0.3291055
0.5 0.9946288 0.1277841 0.3920515 0.405276
0.75 0.9919342 0.07992464 0.2079109 0.2601002
0.4074074 0.97644 0.2328772 0.5689539 0.6577358
0.4411765 0.9963308 0.1231433 0.4294869 0.4492612
0.6 0.9911833 0.1052767 0.2890382 0.3273213
0.5925926 0.9974194 0.1342638 0.296327 0.3092248
0.4871795 0.9707985 0.185272 0.4724584 0.6068891
0.6097561 0.9853975 0.08348373 0.3576345 0.392946
0.4594595 0.9785426 0.2430353 0.4452635 0.5131686
0.6486486 0.9534415 0.2536164 0.3628597 0.4859795
0.7647059 1 0.04035088 0.1425023 0.1474504
0.5869565 0.9680019 0.2064816 0.3745387 0.4721718
0.55 0.9716041 0.1098814 0.3677116 0.4285686
0.4814815 1 0.1551724 0.3470681 0.3455105
0.4545455 0.9852927 0.1139526 0.4660455 0.4941059
0.7894737 0.9500722 0.07361586 0.263241 0.3031169
0.48 1 0.1123565 0.3550386 0.3550454
0.4468085 0.9820481 0.1656014 0.5055689 0.5816073
0.6206897 0.9990617 0.07105117 0.287585 0.3046514
0.5744681 0.993937 0.1236127 0.3506138 0.4439997
0.5744681 0.954537 0.1194442 0.3608033 0.5536933
0.5945946 0.882758 0.1946438 0.3530127 0.5125586
0.6296296 0.9493467 0.09213647 0.2775193 0.3123715
0.6 0.9772908 0.1004619 0.3541063 0.4290114
0.7083333 0.9808558 0.1650997 0.2946013 0.3693294
0.6060606 0.983621 0.0724217 0.3385772 0.3698898
0.8222222 0.9894844 0.0196346 0.1306908 0.1687358
0.5652174 0.9764724 0.09632107 0.3845711 0.4152048
0.5555556 0.8923375 0.2972431 0.3951543 0.4736313
0.6842105 0.9844463 0.1082707 0.2870802 0.3097401
0.7 0.9386689 0.1738392 0.2964548 0.3938885
0.59375 0.99527 0.1560351 0.3296216 0.3486276
0.6285714 0.9638392 0.1039694 0.3283077 0.4273764
0.4285714 0.990208 0.2480016 0.5376542 0.5831344
0.6818182 0.979171 0.1326482 0.2310556 0.3271977
0.45 0.990883 0.1716544 0.4102047 0.4784796
0.7297297 0.8795132 0.1495514 0.3267088 0.4356657
0.9444444 0.9095023 0.09172932 0.1188792 0.1726649
0.5 0.98044 0.160453 0.4719309 0.5208716
0.6 0.958156 0.1529426 0.3275723 0.387855
0.5555556 0.9992053 0.07065474 0.3257642 0.3557732
0.5813953 0.9724765 0.1154058 0.3315263 0.4323094
0.575 0.9579107 0.1235678 0.3125093 0.4613263
0.5294118 1 0.1515996 0.3164366 0.3200765
0.6363636 0.956221 0.1194071 0.2800352 0.3794017
0.5384615 0.8775643 0.1815081 0.4075913 0.4966063
0.7692308 0.8127667 0.2006652 0.3435383 0.5192299
0.525 0.9649933 0.09185641 0.324874 0.3801188
0.4814815 1 0.3261814 0.4501767 0.501729
0.625 0.990484 0.08735516 0.3085396 0.4033413
0.6086957 0.9311493 0.1188294 0.3189087 0.4927892
0.7307692 0.8746997 0.1585407 0.2661957 0.3295447
0.8333333 1 0.02380952 0.07695838 0.06262106
0.4102564 0.9951962 0.1702895 0.4660939 0.5536574
0.4666667 1 0.1011438 0.3360697 0.3206557
0.6097561 0.9952019 0.1191041 0.2951639 0.3414354
0.5263158 1 0.1220779 0.3369799 0.3524546
0.5 0.9483798 0.1401007 0.3612924 0.4156971
0.5 0.9960508 0.1929583 0.4111317 0.453457
0.6666667 0.9964176 0.04565353 0.2166161 0.2387578
0.5142857 0.9993399 0.1413331 0.3796548 0.4029716
0.3157895 1 0.2033493 0.5556326 0.5738212
0.6315789 0.8887363 0.1478918 0.3209748 0.4386386
0.3666667 1 0.1263319 0.4893304 0.5018214
0.65 0.9609893 0.09164314 0.3192197 0.3340939
0.5769231 0.9904057 0.09540651 0.307104 0.3954347
0.5 0.9881458 0.185584 0.4311708 0.4771128
0.4651163 0.9912399 0.1484573 0.3792391 0.4273369
0.5714286 0.9746946 0.1188038 0.3200855 0.3510163
0.4347826 0.9985533 0.2852966 0.4498004 0.4930048
0.625 0.7817552 0.248194 0.3373928 0.431661
0.4 0.9163923 0.1731181 0.4992384 0.5836468
0.4347826 0.9456036 0.2965933 0.5425568 0.6859371
0.6333333 0.9770648 0.06792522 0.2384366 0.3219377
0.75 0.963274 0.07745114 0.1793776 0.2147827
0.5789474 0.8080175 0.2442332 0.4102599 0.6298145
0.516129 0.9676446 0.2394558 0.4285773 0.567961
