reso  sja  d_qt  d_ci  d_rf
0.5116279 0.9444228 0.150023 0.4275488 0.54173
0.6388889 0.9869271 0.05621208 0.2771453 0.3178154
0.8181818 0.9158261 0.1031368 0.2853531 0.4288726
0.7045455 0.9392155 0.08014184 0.3421946 0.4937337
0.5909091 0.9072169 0.1511311 0.3485354 0.4684239
0.8 0.9113814 0.1256917 0.299727 0.4587408
0.6410256 0.931747 0.1623247 0.3483617 0.4195096
0.7272727 0.9084289 0.1763241 0.3086585 0.4136988
0.6206897 0.8860988 0.1793103 0.4058756 0.6482652
0.7333333 0.8790593 0.1911168 0.4248409 0.6733421
0.7368421 0.9802804 0.1313123 0.2828049 0.4018746
0.9375 0.9364548 0.09597523 0.2194282 0.2623502
0.6521739 0.9209467 0.1573579 0.3216653 0.4055354
0.9375 0.954323 0.06888545 0.1966375 0.237275
0.5813953 0.9691753 0.06292245 0.3381094 0.425564
0.673913 0.8869811 0.1748169 0.4022605 0.5746877
0.8139535 0.9172046 0.1415571 0.3465181 0.4901929
0.7368421 0.9756987 0.07183869 0.1863455 0.2945805
0.8571429 0.8410256 0.1833333 0.2733587 0.3635474
0.875 0.9401166 0.07146543 0.1213311 0.2188335
0.7173913 0.9719688 0.05418735 0.1888124 0.2235129
0.8333333 0.8709956 0.1568661 0.2923627 0.4568306
0.9032258 0.9476435 0.08629464 0.1858163 0.3166576
0.5769231 0.9268889 0.1543514 0.383019 0.4358895
0.725 0.9896974 0.09173892 0.243444 0.329925
0.7407407 0.826063 0.2408867 0.4459837 0.6241887
0.6470588 0.9658482 0.09870543 0.3018453 0.3459372
0.6571429 0.9404403 0.1056831 0.2974494 0.4034836
0.7037037 0.9602384 0.1392994 0.2805816 0.3325307
0.7179487 0.9178476 0.1546458 0.3724463 0.5341974
0.7317073 0.8911773 0.1213951 0.3400756 0.4333043
0.7027027 0.9837618 0.08534851 0.2869131 0.3344196
0.8378378 0.8703763 0.1350421 0.2631142 0.3705852
0.8235294 1 0.0254902 0.111587 0.119151
0.6521739 0.9825689 0.1870622 0.3911574 0.4437216
0.65 0.8990687 0.1418972 0.3714069 0.4668822
0.5555556 0.9985809 0.1538588 0.3321307 0.3399692
0.5454545 0.9562541 0.1133202 0.4658861 0.5096099
0.8947368 0.9511713 0.06295284 0.2098847 0.2569856
0.52 0.9984299 0.112381 0.3418446 0.3622474
0.6170213 0.9576833 0.1010465 0.3655533 0.5408701
0.7931034 0.9801316 0.07394327 0.2418723 0.2765044
0.6595745 0.9890991 0.1179505 0.2888641 0.4077021
0.7234043 0.945967 0.101548 0.2879597 0.4797366
0.6486486 0.8927355 0.2136284 0.3683385 0.4890112
0.7407407 0.9294576 0.1021346 0.2886419 0.3429812
0.675 0.982354 0.07915485 0.2838858 0.3646842
0.5833333 0.9921506 0.1677493 0.3383111 0.3808694
0.7575758 0.9713263 0.0663526 0.3221079 0.3939295
0.8222222 0.9341579 0.097546 0.2921861 0.4054244
0.6956522 0.8694311 0.1555518 0.3804941 0.4827625
0.6111111 1 0.23868 0.3117059 0.3562932
0.8421053 0.9469129 0.07648667 0.2773209 0.3442434
