reso  sja  d_qt  d_ci  d_rf
0.6511628 0.9354348 0.1314367 0.3759673 0.5134686
0.3888889 0.9643039 0.3116558 0.5769656 0.653261
0.6136364 0.9853374 0.1191966 0.3664466 0.4601806
0.7045455 0.9207839 0.1277997 0.3192299 0.484228
0.5227273 0.9361112 0.1967454 0.4971669 0.6887036
0.35 0.9599259 0.1915302 0.5615784 0.686578
0.5897436 0.9754542 0.2376485 0.3796206 0.4796866
0.6818182 0.8972628 0.2441502 0.3673224 0.4879216
0.4137931 0.9861327 0.2387375 0.5502826 0.590772
0.6666667 0.7044916 0.3368229 0.4528834 0.6491386
0.4736842 0.9873003 0.1991557 0.4787402 0.5726899
0.9375 0.9693188 0.03431373 0.1451757 0.1687577
0.7391304 0.9342402 0.1007023 0.2327972 0.3016524
0.875 0.9642857 0.04385965 0.172914 0.1825498
0.5813953 0.9394682 0.2218035 0.4462762 0.6174253
0.6956522 0.9735985 0.1095287 0.3065719 0.4599993
0.6046512 0.9803797 0.1112541 0.3215852 0.425094
0.5789474 0.973146 0.1362953 0.3848825 0.442067
0.4285714 0.9435484 0.2380952 0.5010017 0.5542023
0.625 0.9929855 0.2098813 0.3093925 0.3441972
0.6304348 0.881401 0.1553951 0.4142395 0.540214
0.5416667 0.9051201 0.229943 0.4916001 0.6685388
0.7741935 0.8936144 0.149765 0.3179434 0.4853725
0.6153846 0.8968507 0.2532946 0.4518913 0.5664224
0.525 0.9912591 0.1976055 0.4184722 0.4923207
0.6666667 0.9361277 0.1172961 0.2635986 0.3712717
0.5 0.9237681 0.3243395 0.5624867 0.702991
0.4857143 0.9203196 0.1892772 0.4322939 0.495164
0.7777778 0.8046543 0.2224594 0.3351832 0.507156
0.6410256 0.9723615 0.09430001 0.3020188 0.3784543
0.6341463 0.9732856 0.0930785 0.3486794 0.4176993
0.5675676 0.9531572 0.1246416 0.3757395 0.4967569
0.8108108 0.9303141 0.1091859 0.2632347 0.3597026
0.8823529 0.927012 0.08823529 0.194266 0.335887
0.7173913 0.9182351 0.1394165 0.3427606 0.4753636
0.65 0.9648712 0.09649915 0.2691642 0.3012279
0.6296296 0.964653 0.1076263 0.3395255 0.4349051
0.6818182 0.9655629 0.1109881 0.3128845 0.3609206
0.8421053 0.9774382 0.0429255 0.2014153 0.2419815
0.44 0.9226519 0.2347253 0.5093716 0.6079307
0.5106383 0.8393419 0.2452063 0.5421213 0.7260562
0.7241379 0.9142145 0.1625695 0.3663525 0.5254969
0.6170213 0.9816977 0.08344551 0.3418692 0.4473071
