reso  sja  d_qt  d_ci  d_rf
0.5116279 0.9840457 0.1441462 0.396694 0.4497472
0.4722222 0.9805854 0.1081567 0.3763382 0.4255247
0.6818182 0.9831261 0.06931853 0.2495187 0.3263774
0.5909091 0.9744212 0.07012306 0.3157231 0.4325964
0.4545455 0.9850275 0.1182351 0.3937945 0.4330832
0.65 0.9008351 0.1530774 0.3339022 0.6379076
0.7435897 0.9935231 0.1058385 0.2207119 0.253267
0.7727273 0.906931 0.1073518 0.2219121 0.3465707
0.5517241 0.9910752 0.1159344 0.3767838 0.4001468
0.5555556 0.9925315 0.1163403 0.4102141 0.4661502
0.5 0.9800796 0.2189493 0.4228007 0.5035151
0.75 0.9631696 0.07172343 0.171119 0.2354056
0.7391304 0.9913254 0.07946488 0.1965026 0.2346021
0.9375 0.9586732 0.06475748 0.1591438 0.2026714
0.6046512 0.9907414 0.07612526 0.3558936 0.3934287
0.7173913 0.9534368 0.06961855 0.2477943 0.3144727
0.6744186 0.9901125 0.1060238 0.3198779 0.3864577
0.8421053 0.985208 0.0695147 0.1227111 0.2163304
1 0.7809524 0.2190476 0.2784905 0.4206618
0.5625 0.8783611 0.2712848 0.3961523 0.490536
0.5869565 0.9188669 0.1766057 0.3804718 0.5953493
0.7916667 0.9840516 0.04689459 0.1548549 0.2500629
0.8064516 0.986037 0.0383927 0.1367347 0.1953351
0.6153846 0.9352684 0.1432782 0.3236611 0.3562586
0.775 0.9912542 0.1076574 0.2062044 0.2620588
0.6296296 0.9779763 0.168181 0.3587946 0.4572567
0.4705882 0.9813345 0.1548414 0.4677229 0.5515662
0.7142857 0.8995578 0.1535867 0.2892266 0.390323
0.5555556 0.789762 0.2471812 0.4316269 0.5694778
0.7948718 0.9701796 0.0395113 0.1994105 0.2915654
0.7560976 0.9474633 0.09588511 0.2266979 0.3356122
0.6216216 0.8974578 0.1335595 0.2748376 0.3122094
0.8108108 0.983715 0.07260641 0.2403989 0.3688845
0.9411765 0.993318 0.0123839 0.05866962 0.04944835
0.7173913 0.9279051 0.09364204 0.234018 0.3044241
0.9 0.9401281 0.07329193 0.1912616 0.266346
0.6666667 0.9626164 0.09766466 0.3236491 0.4380299
0.6363636 0.9661807 0.07284585 0.2702641 0.3819436
0.7894737 0.9788352 0.0391661 0.1596117 0.1716222
0.68 0.9784017 0.09973138 0.2584936 0.3096493
0.6808511 0.9843341 0.04034737 0.2210302 0.3071587
0.7586207 0.9689975 0.06038654 0.21274 0.3189403
0.6170213 0.9882718 0.07445723 0.3070752 0.3735477
0.4893617 0.9903695 0.1015871 0.4038349 0.4731292
0.5405405 0.9972881 0.1528832 0.4059891 0.4880864
0.8148148 0.9915077 0.02904579 0.1799274 0.1943324
0.575 0.9664064 0.09679524 0.3827069 0.501829
0.6666667 0.8202335 0.2420798 0.3165648 0.3955268
0.6363636 0.9891721 0.04903658 0.2558995 0.3254141
0.8 0.9941556 0.04199558 0.1455198 0.2223566
0.9130435 0.9539677 0.05802676 0.1863214 0.3326726
0.8333333 1 0.02305764 0.09025254 0.08885297
0.6315789 0.8949617 0.1334928 0.3303103 0.4143434
0.8 0.9805408 0.07393695 0.2100842 0.3006389
0.75 0.8509445 0.1749809 0.2659594 0.3912533
0.6571429 0.9680183 0.0729662 0.2724125 0.3784319
0.4761905 0.9351567 0.190748 0.4448188 0.5736752
0.9545455 0.888499 0.1149407 0.1771387 0.2801966
0.75 0.9634161 0.05940147 0.1766966 0.171458
0.6216216 0.9572911 0.09791006 0.2710387 0.3256381
0.8888889 0.9008 0.1233083 0.2123101 0.2527571
0.5 0.9620257 0.1507009 0.4206799 0.5098652
0.6 0.9791085 0.1897436 0.3612055 0.3961325
0.4888889 0.9974808 0.1214436 0.3887123 0.4404315
0.6744186 0.9369047 0.09412323 0.2740648 0.4840754
0.7 0.9543531 0.1240661 0.2379646 0.3524473
0.9411765 0.8728444 0.1296182 0.2381904 0.3310448
0.7727273 0.926674 0.1025692 0.2415003 0.3563564
0.7307692 0.9679722 0.05829228 0.2429555 0.32146
0.7307692 0.8814253 0.1466465 0.2840394 0.4038028
0.575 0.9819751 0.1479094 0.3707374 0.4209617
0.5925926 0.9955953 0.09354132 0.2932374 0.2985881
0.525 0.9258239 0.1429787 0.4301579 0.5137009
0.6521739 0.9778025 0.09829431 0.2918949 0.3054186
0.6538462 0.9659185 0.1442887 0.2775315 0.3087007
0.8333333 0.9482759 0.08730159 0.2191784 0.2267777
0.5384615 0.9636206 0.1172117 0.336919 0.4060825
0.7333333 0.98 0.07647059 0.2057704 0.2120665
0.6341463 0.9909304 0.1534943 0.3200743 0.3966036
0.3684211 1 0.2412167 0.4992315 0.5198587
0.5526316 0.9925588 0.167952 0.3573121 0.4504976
0.6363636 0.9976958 0.1245956 0.275729 0.3194113
0.5384615 0.9901196 0.07410435 0.3574459 0.4069613
0.8571429 0.9364681 0.08062047 0.2022339 0.3450804
0.7368421 0.9970289 0.06548189 0.1977385 0.201818
0.7105263 0.968324 0.07661696 0.2406017 0.3153779
0.6 0.9705065 0.07817693 0.3434313 0.4395573
0.6 0.9808245 0.1035573 0.33682 0.4183704
0.6538462 0.9731241 0.09382763 0.2877327 0.4151734
0.625 0.9543052 0.1130769 0.3432473 0.4238403
0.5581395 0.9201573 0.1587891 0.4004529 0.5455004
0.5142857 1 0.134241 0.384319 0.4108116
0.4782609 0.9219091 0.2730772 0.4710664 0.6112297
0.8125 1 0.05933953 0.1033588 0.1031583
0.7 0.928895 0.1110404 0.2322838 0.3769049
0.6304348 0.8845043 0.1482376 0.3844676 0.635049
0.8 0.9464907 0.06749756 0.2237226 0.3507878
0.7142857 0.9743672 0.07770539 0.2585175 0.4098012
0.5526316 0.9097738 0.1746371 0.385903 0.4739289
0.7419355 0.9857271 0.1250216 0.2368218 0.2886986
