reso  sja  d_qt  d_ci  d_rf
0.6046512 0.9426071 0.1376689 0.4084912 0.6365701
0.1944444 0.9890762 0.4618971 0.7900208 0.8594509
0.5227273 0.9784207 0.1297172 0.4372805 0.6071255
0.5681818 0.9713854 0.1257618 0.4256879 0.5615422
0.4545455 0.9974681 0.1122502 0.4245105 0.4424772
0.55 0.9567936 0.1370412 0.3875669 0.5306152
0.6923077 0.9894182 0.1392656 0.2884331 0.3715847
0.5909091 0.9975914 0.1407115 0.3234242 0.3605766
0.5862069 0.8808041 0.1870968 0.4370667 0.6352261
0.5111111 0.9611406 0.2573928 0.5360359 0.6749723
0.6315789 0.9213342 0.1384023 0.3339594 0.4547389
0.875 0.9446494 0.06475748 0.2104156 0.2656859
0.7391304 0.9982278 0.06749164 0.1846311 0.2129514
0.9375 0.9958549 0.00619195 0.05845675 0.04903922
0.6046512 0.98315 0.1264363 0.387703 0.491721
0.7608696 0.9729603 0.06345221 0.2408424 0.3061582
0.5813953 0.9745946 0.1306983 0.440562 0.549116
0.7894737 0.9249467 0.09131921 0.2199367 0.3568264
0.8571429 0.8306011 0.2119048 0.286576 0.4148324
0.6875 0.7524258 0.2785088 0.4225513 0.5708513
0.5652174 0.9786479 0.09774113 0.3426466 0.4331414
0.625 0.9845156 0.08279202 0.2756383 0.3712009
0.5806452 0.9968656 0.103491 0.2745309 0.2792182
0.6538462 0.9496549 0.1269631 0.2641416 0.3503824
0.475 0.9814141 0.2307147 0.4912437 0.5357696
0.4074074 0.9635715 0.2343915 0.4772714 0.5278497
0.6470588 0.9545031 0.08616095 0.2990046 0.4222495
0.6285714 0.9962731 0.06163381 0.232384 0.2488167
0.5555556 0.9563147 0.1363802 0.3823729 0.5247255
0.7435897 0.9589895 0.06203877 0.249208 0.3736926
0.5609756 0.9303713 0.1371592 0.3849245 0.4544747
0.4054054 0.991947 0.2292811 0.5340449 0.5701707
0.7837838 0.9757698 0.04859394 0.2088 0.3011623
0.7647059 0.9901489 0.0378741 0.1712542 0.1798231
0.6521739 0.9629709 0.1245162 0.2913721 0.353209
0.75 0.9208991 0.1088086 0.2326876 0.3493765
0.6296296 0.9696777 0.1218756 0.3628048 0.405591
0.3636364 1 0.1257708 0.46868 0.4695441
0.5789474 0.9630147 0.1371839 0.3674602 0.4942522
0.44 0.9876786 0.1481807 0.4587603 0.5325354
0.4042553 0.9723427 0.103185 0.4499685 0.6473807
0.6551724 0.9589145 0.1285039 0.3535523 0.5005595
0.5531915 0.9145509 0.1933673 0.4204922 0.5407175
0.5106383 0.9387309 0.1183956 0.4353452 0.5890232
0.6216216 0.9645181 0.1296969 0.3053097 0.3913605
0.5555556 0.9398306 0.1135012 0.364463 0.5724622
0.6 0.9645975 0.07868487 0.3140723 0.4091835
0.7083333 0.9307237 0.151396 0.2933338 0.405456
0.6666667 0.9740493 0.0974705 0.2890162 0.4073355
0.7555556 0.9880986 0.02829427 0.1837977 0.3076951
0.6521739 0.9628638 0.1298328 0.3859595 0.460392
0.5555556 0.9789203 0.1887218 0.4069595 0.4816737
0.7368421 0.9803124 0.09644566 0.215165 0.2503919
0.6333333 0.9703489 0.2387219 0.4366388 0.5322259
0.625 0.8624206 0.187118 0.3877414 0.4869979
0.8 0.9379071 0.1447741 0.2652891 0.4219427
0.6666667 0.9834928 0.1656129 0.3519219 0.4220536
0.5909091 0.9836724 0.2049407 0.3827065 0.431676
0.45 1 0.1960474 0.4116131 0.4314742
0.7567568 0.8955969 0.1394956 0.2721441 0.4221694
0.8888889 0.9356322 0.08838764 0.2139179 0.2696599
0.575 0.9726662 0.08425978 0.337479 0.4168883
0.68 0.9814609 0.1194872 0.2491234 0.2680627
0.6444444 0.9845103 0.08798695 0.3381918 0.4375124
0.627907 0.9844698 0.1560928 0.2902333 0.3832324
0.4 0.984644 0.1163925 0.4286554 0.477846
0.5294118 0.9824065 0.1830753 0.3738292 0.4275787
0.5454545 0.9889503 0.1432016 0.3614668 0.4055917
0.6153846 0.9616563 0.08128079 0.3053151 0.4288368
0.5769231 0.9986501 0.09561703 0.335692 0.3637604
