reso  sja  d_qt  d_ci  d_rf
0.6976744 0.9756937 0.107709 0.3022827 0.3676052
0.5 0.9266977 0.1594449 0.3926988 0.4892967
0.7272727 0.9666862 0.06724413 0.219036 0.3423262
0.8181818 0.9733646 0.04893617 0.2408809 0.362083
0.7272727 0.9941063 0.07885796 0.2436276 0.3079833
0.65 0.9158311 0.1909091 0.4286251 0.5397936
0.8717949 0.9460822 0.08888144 0.2050532 0.3774316
0.7727273 0.9806658 0.08335968 0.2054472 0.2769626
0.7586207 0.9864733 0.06995273 0.2378733 0.2859346
0.6222222 0.8234123 0.2371133 0.3961338 0.4868138
0.6315789 0.9786163 0.1412906 0.3283403 0.4137301
0.8125 0.9438356 0.08204334 0.18603 0.2486893
0.8695652 0.9604844 0.05491639 0.1702506 0.2016116
0.9375 0.9827856 0.02244582 0.0644919 0.1003879
0.5813953 0.9674088 0.0872905 0.3487555 0.4297844
0.7826087 0.9424785 0.0748551 0.2414029 0.4015515
0.744186 0.970046 0.08486687 0.2919658 0.403355
0.8421053 0.8901642 0.1328776 0.2605818 0.4040808
0.5714286 1 0.1880952 0.2934798 0.3145578
0.625 0.9860697 0.121904 0.2904121 0.320246
0.7173913 0.9756788 0.06799024 0.239732 0.3231293
0.8333333 0.9607189 0.07495726 0.2100836 0.2698968
0.8709677 0.9783992 0.04440875 0.1466666 0.2656101
0.7307692 0.9507654 0.1045009 0.2153404 0.3125503
0.75 0.9874781 0.08486346 0.2358611 0.3168216
0.7037037 0.9709544 0.1521073 0.2645064 0.354758
0.5882353 0.9648095 0.09161935 0.3441959 0.4067863
0.6285714 0.9690353 0.1158504 0.2885543 0.3822603
0.8148148 0.9671126 0.04391534 0.1481457 0.2117015
0.7948718 0.9859924 0.02760654 0.2028021 0.2501556
0.7804878 0.9783372 0.05041215 0.2611384 0.3721962
0.8378378 0.863571 0.1401685 0.2269255 0.3754187
0.7837838 0.9547302 0.06903381 0.2532636 0.3376953
0.6470588 0.9835616 0.0628483 0.2472723 0.2480506
0.673913 0.9906333 0.08812702 0.336359 0.3996876
0.7 0.9352463 0.1128741 0.312928 0.3536296
0.7407407 0.9679519 0.0908046 0.2656822 0.3157036
0.7727273 0.9157814 0.1132411 0.3077772 0.4757949
0.7368421 0.9296816 0.1107314 0.3360847 0.4033469
0.64 0.9849737 0.121685 0.2740608 0.3279287
0.787234 0.982614 0.06873209 0.2423863 0.4011815
0.862069 0.9413355 0.06861791 0.2013256 0.3762483
0.5744681 0.9021217 0.1270343 0.318554 0.4240106
0.6595745 0.9660992 0.1034129 0.3253202 0.41773
0.6216216 0.9453789 0.1497155 0.3233079 0.4169522
0.6666667 0.9869204 0.0612297 0.2610647 0.3212331
0.725 0.9618527 0.07442266 0.2629992 0.4144282
0.75 0.9835845 0.03 0.2225852 0.2652378
0.5454545 0.9631766 0.1278075 0.3465429 0.431139
0.8 0.9889216 0.02143077 0.1543738 0.2370597
0.826087 0.834394 0.1766555 0.3322109 0.4295315
0.8888889 0.9417323 0.07819549 0.158498 0.2227089
0.6842105 0.9447064 0.07450444 0.2265401 0.3230533
0.6666667 0.9748977 0.1171921 0.3052471 0.3762244
0.90625 0.8691571 0.1349885 0.1757804 0.2276165
0.7142857 0.9670377 0.06292759 0.2108806 0.2334547
0.452381 0.9940385 0.1540421 0.4251008 0.4530053
