reso  sja  d_qt  d_ci  d_rf
0.5116279 0.9987927 0.1885927 0.408856 0.4500977
0.5833333 0.9883162 0.1183937 0.3670874 0.4426895
0.6590909 0.9758282 0.119903 0.3023307 0.4154364
0.6590909 0.9606326 0.09570263 0.2371055 0.3410652
0.4090909 0.9985599 0.2476803 0.4832087 0.5233326
0.6 0.8800377 0.1815923 0.3466376 0.4540053
0.8717949 0.9278413 0.1705664 0.1860198 0.3055234
0.7727273 0.8969415 0.1224506 0.2244578 0.3289171
0.7241379 0.9662506 0.09699666 0.2332079 0.3462083
0.5555556 0.9921897 0.1311157 0.3989886 0.4747248
0.7105263 0.9961118 0.1018564 0.2096938 0.2624327
0.5625 1 0.1822755 0.3504752 0.391593
0.6086957 0.9031612 0.176689 0.3744528 0.6330788
0.8125 0.9477848 0.0619195 0.150665 0.1737835
0.5581395 0.9878322 0.1241015 0.3778858 0.537593
0.7173913 0.9980893 0.07182739 0.1983432 0.2256913
0.7906977 0.9140315 0.1076539 0.2055313 0.3257542
0.8421053 0.899697 0.1393712 0.3253986 0.5329627
0.5714286 0.8579882 0.2119048 0.3653253 0.4688027
0.625 0.9855322 0.1363519 0.2935402 0.335826
0.7173913 0.9613986 0.1150272 0.2545799 0.3660742
0.625 0.9904166 0.08011396 0.2627653 0.3436935
0.6129032 0.9810953 0.0851518 0.2950799 0.3304001
0.6538462 0.916775 0.1356574 0.2754208 0.3245935
0.725 0.8058557 0.2270075 0.325142 0.430844
0.4444444 0.8597291 0.2092501 0.4274168 0.5252716
0.5882353 0.974324 0.1047695 0.3372238 0.5078277
0.5714286 0.976961 0.06752693 0.3297416 0.3817998
0.5555556 0.9596002 0.1795293 0.3973206 0.4766796
0.6666667 0.9919361 0.06507192 0.3216446 0.3805689
0.5121951 0.984191 0.08554265 0.3917301 0.4271313
0.6216216 0.8526404 0.2105756 0.3610995 0.4387907
0.6216216 0.9296282 0.1085349 0.3266012 0.3705711
0.6470588 0.9831342 0.07430341 0.2426909 0.2295744
0.7173913 0.9099495 0.1236454 0.2501988 0.3348786
0.65 0.9809572 0.07216262 0.1987663 0.2069741
0.7037037 0.8971672 0.1321657 0.3931374 0.4857329
0.7272727 0.9243065 0.1033992 0.3007289 0.3726199
0.6315789 1 0.05830485 0.2626432 0.2815917
0.48 0.9428775 0.1963126 0.4564466 0.5820516
0.5319149 0.9778681 0.1271363 0.4579807 0.5641946
0.6206897 0.9942899 0.08355117 0.3128715 0.3851638
0.5106383 0.9165696 0.2065545 0.4237916 0.5392794
0.6382979 0.9749742 0.08983717 0.3314836 0.4435719
0.6216216 0.9880789 0.1545957 0.3853114 0.4641317
0.7037037 0.9720109 0.06985951 0.2346981 0.3366245
0.575 0.9939314 0.05482133 0.2502959 0.2789369
