reso  sja  d_qt  d_ci  d_rf
0.5581395 0.9938202 0.1165793 0.3668009 0.40529
0.6388889 0.973998 0.1061628 0.3449669 0.4521611
0.7272727 0.9716743 0.1205926 0.2699965 0.4332715
0.6363636 0.9603683 0.09862922 0.2606767 0.3687528
0.5454545 0.9866306 0.08594455 0.3415537 0.3794614
0.6 0.8800377 0.1815923 0.3466376 0.4540053
0.8205128 0.9391902 0.1761458 0.2040156 0.2935856
0.7727273 0.8969415 0.1224506 0.2244578 0.3289171
0.7586207 0.9677924 0.07630701 0.1999404 0.3061285
0.6222222 0.9926608 0.09153818 0.338781 0.4108513
0.7368421 0.9952057 0.1022218 0.2066146 0.2666208
0.5625 1 0.1822755 0.3504752 0.391593
0.6086957 0.9031612 0.176689 0.3744528 0.6330788
0.8125 0.9477848 0.0619195 0.150665 0.1737835
0.5581395 0.9852021 0.1220517 0.384149 0.5594998
0.7391304 0.9840846 0.07794417 0.1948449 0.2482578
0.8139535 0.9148906 0.102871 0.1860986 0.3028432
0.8421053 0.899697 0.1393712 0.3253986 0.5329627
0.5714286 0.8579882 0.2119048 0.3653253 0.4688027
0.625 0.9855322 0.1363519 0.2935402 0.335826
0.7391304 0.9616096 0.1127334 0.2413799 0.3523991
0.6666667 0.9659643 0.09045584 0.26655 0.359883
0.7096774 0.9818358 0.04984259 0.2320938 0.2604647
0.6923077 0.8960599 0.1457623 0.2873734 0.3453932
0.8 0.8033096 0.2247873 0.3095197 0.4260232
0.5555556 0.8660198 0.1902755 0.3589326 0.4680923
0.6764706 0.9675129 0.08622152 0.2768423 0.4456429
0.6 0.9769847 0.06705954 0.3164612 0.3723974
0.5925926 0.956996 0.180478 0.3947562 0.4822283
0.6923077 0.9849727 0.06808273 0.3235414 0.386218
0.5365854 0.9843201 0.0820215 0.3771525 0.414444
0.6756757 0.8602341 0.1686508 0.3247352 0.4022563
0.6756757 0.9264059 0.1010942 0.2848585 0.4016277
0.6470588 0.9831342 0.07430341 0.2426909 0.2295744
0.7391304 0.9093348 0.1248395 0.2643882 0.3523306
0.65 0.9809572 0.07216262 0.1987663 0.2069741
0.8148148 0.867056 0.1467798 0.3787095 0.5141507
0.7272727 0.9243065 0.1033992 0.3007289 0.3726199
0.6315789 1 0.05830485 0.2626432 0.2815917
0.48 0.9428775 0.1963126 0.4564466 0.5820516
0.6170213 0.9055966 0.1422015 0.4076321 0.5191401
0.6896552 0.9944751 0.06942436 0.2724934 0.3475533
0.4680851 0.9246601 0.2039752 0.4708082 0.5538942
0.6808511 0.970993 0.08493921 0.2887064 0.4147047
0.6486486 0.9823861 0.1299103 0.3547997 0.4528045
0.7777778 0.9592191 0.07513228 0.2140717 0.37142
0.6 0.9940328 0.04716393 0.2212275 0.2465206
0.6666667 0.9864235 0.09578348 0.2457205 0.3147276
0.5757576 0.9572777 0.1709278 0.4063689 0.5525292
0.7333333 0.9917983 0.03528626 0.2152383 0.2733609
0.8695652 0.975214 0.03959866 0.1285647 0.1986949
0.7777778 1 0.05839599 0.1203472 0.1174318
0.7368421 1 0.05919344 0.1488252 0.1472805
0.7 0.992157 0.0476173 0.211581 0.2515944
0.78125 0.9694976 0.1184301 0.201211 0.3153262
0.7142857 0.8088645 0.2310371 0.3814016 0.4729523
0.5 0.9697688 0.1525991 0.4398128 0.5505894
0.8636364 0.9314395 0.09059289 0.2213655 0.3640833
0.6 0.8750397 0.233258 0.4153787 0.5373618
0.6756757 0.9750474 0.08586826 0.3265875 0.3902125
0.6666667 1 0.07176274 0.2048633 0.2070264
0.575 0.9639256 0.08462847 0.3247056 0.4651681
0.84 0.9374837 0.08952381 0.212159 0.3118831
0.6444444 0.9843391 0.07356357 0.333464 0.3826654
0.627907 0.9822183 0.1102981 0.3097195 0.4220306
0.55 0.9956054 0.1216717 0.2984184 0.3339694
0.5294118 0.9674452 0.2273478 0.434465 0.530725
0.5454545 0.9327982 0.1334387 0.3195582 0.3435172
0.7692308 1 0.05825018 0.1679027 0.1823873
0.7692308 0.9103826 0.1278894 0.2741565 0.5439982
0.675 0.9568017 0.07293979 0.3158039 0.4085906
0.5925926 0.9987116 0.1186462 0.2925842 0.3010975
0.7 0.9943234 0.06957297 0.2115022 0.2795297
0.3043478 1 0.2353512 0.5373352 0.5391294
0.5384615 0.9981814 0.2001179 0.3467207 0.3591073
0.5 0.9259259 0.2261905 0.4678391 0.490482
0.6666667 0.9751862 0.05875994 0.2741122 0.4208318
0.8 0.8868564 0.1267974 0.2088294 0.2850606
0.6829268 0.9724012 0.1920907 0.3606321 0.4640826
0.6842105 0.9817629 0.1533151 0.2464485 0.2808487
0.7631579 0.9485866 0.1023008 0.2163985 0.3135647
0.7954545 0.9743828 0.07069773 0.1859455 0.2407517
0.5897436 0.9731394 0.06408023 0.3205748 0.3555757
0.5428571 0.9531401 0.2524013 0.4328162 0.493917
0.8421053 0.9746925 0.04101162 0.2054816 0.242493
0.6578947 0.9751848 0.05450775 0.2472787 0.3220602
0.5333333 0.9876614 0.08274682 0.3534814 0.3646203
0.7 0.9782942 0.07696217 0.2135987 0.2320403
0.6538462 0.9779823 0.07589154 0.2021605 0.2643614
0.75 0.8070977 0.2204274 0.3468255 0.4853348
0.5348837 0.9984845 0.1694243 0.3644942 0.3788358
0.6857143 0.9948429 0.1256249 0.2631036 0.2878212
0.5 0.9967658 0.2796164 0.3958343 0.4680136
0.5625 0.8182435 0.2578689 0.413549 0.5140736
0.675 0.9865352 0.09886962 0.279735 0.3433285
0.5 0.9989263 0.2982263 0.4639006 0.5218375
0.8333333 0.9694714 0.04527126 0.161207 0.2064625
0.7142857 0.967145 0.1317178 0.2493471 0.3342581
0.5263158 0.9417158 0.1584477 0.3774066 0.5929957
0.483871 0.9845985 0.2150466 0.4421651 0.5603012
