reso  sja  d_qt  d_ci  d_rf
0.7209302 0.8637058 0.1820848 0.3266636 0.4608204
0.5555556 0.9994592 0.09581039 0.3507902 0.3772569
0.7045455 0.9382059 0.1017072 0.3060757 0.5562737
0.5909091 0.987534 0.07199563 0.2584861 0.2921652
0.6818182 0.9958213 0.100199 0.2619109 0.2830984
0.7 0.9604882 0.08673066 0.2629012 0.3766597
0.8205128 0.9610869 0.1481149 0.2193907 0.3183376
0.6818182 0.9394825 0.0958498 0.2126926 0.2796953
0.5172414 0.9249103 0.2035317 0.4554912 0.5860784
0.6444444 0.991875 0.1310078 0.3676148 0.4291854
0.7105263 0.9464655 0.1394638 0.2732922 0.3702544
0.8125 0.9558824 0.08410733 0.2412952 0.2880793
0.6521739 0.9393916 0.1261204 0.3411209 0.4377335
0.875 0.962306 0.06965944 0.1956186 0.2298806
0.5581395 0.9733066 0.2210773 0.4374722 0.4933293
0.7173913 0.9578206 0.08771168 0.2615628 0.3626993
0.7674419 0.9559256 0.07864081 0.2133754 0.2991985
0.6842105 0.9939343 0.09924812 0.2411892 0.28415
0.7142857 0.9542484 0.1690476 0.2798249 0.3578549
0.6875 0.9571046 0.1920795 0.2897822 0.4229297
0.7173913 0.8823016 0.1444878 0.2876051 0.3597222
0.75 0.9721118 0.07364672 0.2152283 0.2988626
0.6774194 0.9206316 0.1513391 0.3137548 0.406511
0.6538462 0.9301456 0.1219949 0.2694449 0.3095879
0.675 0.9897797 0.2507009 0.3335674 0.4037318
0.4814815 0.9558559 0.2045795 0.444881 0.501962
0.5588235 0.9903081 0.0633886 0.2700222 0.3273536
0.6 0.9857041 0.1483506 0.3093478 0.371582
0.7777778 0.9891556 0.1148513 0.208212 0.2633968
0.6153846 0.9837683 0.1277495 0.4072421 0.4595492
0.7317073 0.8123824 0.2041421 0.3942327 0.6265478
0.5675676 0.865916 0.196701 0.381701 0.459066
0.7027027 0.7744695 0.2690119 0.4309232 0.6639541
0.7647059 0.9891784 0.04282766 0.1718178 0.1961695
0.9130435 0.9804008 0.03817799 0.1112117 0.2264012
0.85 0.9393903 0.08819876 0.1994839 0.3131437
0.6666667 0.9760391 0.06285349 0.2449773 0.2846136
0.8181818 0.913003 0.113834 0.3146838 0.4060681
0.6315789 0.9266462 0.1191388 0.3618947 0.4481723
0.84 0.9913977 0.06197802 0.1457067 0.1642067
0.5957447 0.9686462 0.08780504 0.3439038 0.452783
0.7241379 0.9654585 0.08179922 0.2186718 0.3310669
0.787234 0.884376 0.1629592 0.2793364 0.4447014
0.7021277 0.9373541 0.137957 0.3384856 0.6042293
0.5945946 0.9883648 0.09859394 0.3185594 0.3377465
0.7407407 0.975633 0.04415253 0.1633166 0.2184233
0.65 0.9957118 0.04663317 0.2966203 0.3106513
0.75 0.9730238 0.1562963 0.3161859 0.3946505
0.6969697 0.9474566 0.1327901 0.3243432 0.4385123
0.8888889 0.974285 0.03013414 0.1328925 0.1584913
0.7826087 0.9813151 0.05200669 0.2146591 0.2714431
0.7777778 1 0.01854637 0.1057407 0.09477375
0.6842105 0.8178929 0.2265208 0.3802977 0.49451
0.5666667 0.9812057 0.240958 0.4218124 0.5046078
0.78125 0.9572873 0.125 0.2129902 0.2588743
0.7142857 0.8106529 0.2349929 0.3779029 0.4670038
0.6190476 0.9105852 0.2171717 0.4455304 0.701195
0.9545455 0.948926 0.05391304 0.1337401 0.2054893
0.65 0.8093774 0.3181818 0.4173876 0.6527282
0.8378378 0.9617628 0.05217748 0.1937193 0.264092
0.7777778 0.945642 0.1027569 0.2873678 0.3476887
0.675 0.9742539 0.1456527 0.316713 0.4389528
0.8 0.9605417 0.09641026 0.2370345 0.3303743
0.7111111 0.9676683 0.06839346 0.2799621 0.3375857
0.627907 0.9610666 0.1202378 0.3747333 0.4578419
0.55 1 0.08538206 0.3061012 0.3133154
0.7058824 0.8947625 0.1655315 0.3365028 0.4496041
0.5454545 1 0.1258498 0.3318352 0.3518944
0.5384615 0.9297365 0.1971706 0.3746054 0.4910324
0.5 0.9766575 0.1285841 0.3776627 0.4721615
0.75 0.9616266 0.07236042 0.2333943 0.3407819
0.6296296 0.8850968 0.2080825 0.3801991 0.5063967
0.725 0.9968437 0.05355725 0.2347308 0.2574189
0.826087 0.8383682 0.1793311 0.3165384 0.4690387
0.6538462 0.9761315 0.1926024 0.3253393 0.3722248
0.6666667 0.8846154 0.1825397 0.3567205 0.3819001
0.6410256 0.9843131 0.1003216 0.318138 0.4064083
0.8 0.9019674 0.1127451 0.2699396 0.3566837
0.7804878 0.969194 0.103502 0.2597282 0.3321956
0.6315789 1 0.07368421 0.1969434 0.1804311
0.5526316 0.9935101 0.1816234 0.3940981 0.4600688
0.6136364 0.9977063 0.1228688 0.3375472 0.376478
0.6666667 0.9693144 0.05167962 0.2597502 0.3460818
0.7428571 0.9090762 0.1242363 0.3164887 0.4922717
0.6842105 0.9796712 0.1290499 0.2702948 0.3289025
0.8684211 0.9822399 0.03453639 0.1227945 0.1704285
0.7 0.8503655 0.1825391 0.3475998 0.5471882
0.75 0.9930929 0.06465274 0.1688663 0.1815156
0.6538462 0.9259895 0.1030483 0.2432886 0.2786141
0.625 0.9878513 0.1567806 0.3486032 0.4037795
0.7906977 0.9841935 0.04309832 0.1751017 0.2134359
0.6 0.9707694 0.1727223 0.3134569 0.366375
0.5434783 0.9740321 0.3064056 0.4494453 0.6601406
0.6875 0.7827307 0.2659959 0.3658907 0.4601644
0.675 0.9944777 0.09368366 0.2408447 0.2868411
0.7826087 0.9228118 0.1236808 0.2667738 0.3752032
0.9 0.9594815 0.04606549 0.1664327 0.2415549
0.75 0.9553342 0.1063563 0.205425 0.2740597
0.7368421 0.9201879 0.1149847 0.2771968 0.4042308
0.483871 0.9862578 0.2558435 0.4772602 0.5387103
