reso  sja  d_qt  d_ci  d_rf
0.8139535 0.819377 0.2043631 0.3303618 0.4909383
0.75 0.9689936 0.08751869 0.2653626 0.3207636
0.8409091 0.9751748 0.05873069 0.229506 0.2832599
0.7727273 0.9331498 0.07824685 0.2664362 0.4158742
1 0.9111148 0.08888515 0.1729544 0.2916465
0.8 0.9288384 0.1501976 0.3042947 0.4875653
0.6666667 0.9371378 0.2877111 0.3896846 0.5180345
0.7727273 0.9348012 0.0972332 0.1962462 0.2918267
0.6551724 0.8381286 0.2212319 0.3680366 0.5461442
0.8666667 0.9289716 0.1037028 0.2544719 0.4503158
0.8684211 0.8204099 0.2304532 0.3211376 0.4408884
1 0.9334365 0.06656347 0.2077945 0.2511353
0.9565217 0.9146907 0.08705686 0.2120866 0.277306
1 0.9091847 0.09081527 0.1593225 0.2051772
0.7209302 0.9584582 0.1972914 0.3403259 0.4427623
0.8478261 0.9505912 0.07138373 0.1941847 0.352134
0.9534884 0.9052937 0.1245672 0.2673127 0.3743963
0.8947368 0.8925669 0.1368421 0.2341878 0.3170058
0.7142857 0.8169935 0.2690476 0.4122969 0.4841881
0.875 0.7523659 0.252322 0.3181141 0.6257711
0.8478261 0.8728916 0.1550388 0.3205809 0.4612252
0.9583333 0.9205031 0.08467236 0.1731349 0.3216511
0.9032258 0.8644349 0.1443742 0.2575521 0.4703341
0.8461538 0.9202713 0.09296451 0.1723379 0.2841087
0.925 0.9396184 0.07287092 0.1497653 0.2415384
0.8888889 0.8847986 0.1315453 0.2583808 0.4581756
0.7352941 0.9655376 0.04674843 0.1907834 0.3123027
0.8857143 0.8984419 0.1577118 0.3107836 0.5140681
0.8518519 0.9856563 0.1157635 0.1990409 0.2634065
0.8717949 0.8078346 0.193755 0.3393452 0.5838821
0.804878 0.8350689 0.1740834 0.323038 0.5552253
0.7837838 0.7838441 0.2229018 0.326038 0.4773248
0.972973 0.7570373 0.2472152 0.3941171 0.660044
0.8823529 0.874708 0.1358101 0.3107798 0.3966355
0.9565217 0.9460796 0.0547962 0.1138544 0.2791391
0.9 0.9383993 0.08368154 0.1981499 0.2928164
0.7407407 0.901866 0.1298668 0.3612083 0.4218167
0.7727273 0.8605745 0.1606324 0.3727334 0.4823005
0.8947368 0.8162871 0.1867396 0.3799624 0.5280857
