reso  sja  d_qt  d_ci  d_rf
0.8139535 0.9742881 0.03450685 0.1461439 0.2066025
0.7777778 0.9954864 0.02220034 0.1499563 0.1631713
0.8181818 0.9663141 0.03899308 0.1199249 0.1744302
0.6818182 0.9961396 0.03812687 0.21195 0.2363915
0.8181818 0.914064 0.1081406 0.2009117 0.3162588
0.8 1 0.04607566 0.1248811 0.1317049
0.8974359 0.9345842 0.0822121 0.1265595 0.1836117
0.9090909 0.9306753 0.08158103 0.1710496 0.2709988
0.5862069 0.9691424 0.1072303 0.3152239 0.4191102
0.8 0.8160379 0.2137013 0.35987 0.5028465
0.8157895 0.9808714 0.03629407 0.1307938 0.2437573
0.8125 0.8629793 0.2020124 0.3185639 0.402926
0.7826087 0.9625505 0.06377926 0.2367003 0.2731381
0.875 1 0.02760578 0.06632062 0.06598935
0.8139535 0.9629651 0.05354659 0.2052758 0.3035215
0.8913043 0.9774723 0.02743822 0.1411975 0.172969
0.8372093 0.9549295 0.07233814 0.1749482 0.2268021
0.9473684 0.9776505 0.03253589 0.09579851 0.1557537
1 0.852381 0.147619 0.1952529 0.2939403
0.9375 1 0.02708978 0.04146077 0.04667437
0.6304348 0.9978464 0.07448932 0.2541611 0.288092
0.875 0.9881897 0.04777778 0.1271725 0.1671971
0.9354839 0.9807959 0.0281719 0.103441 0.1191783
0.7692308 1 0.06279736 0.1621913 0.1773363
0.925 0.99077 0.03123329 0.1026859 0.142703
0.7037037 0.9827984 0.1333516 0.326539 0.386254
0.8235294 0.9795632 0.04024529 0.1418469 0.2088212
0.8285714 0.9788768 0.0509788 0.1664384 0.2218981
0.8518519 0.9787311 0.06387521 0.1218121 0.1684883
0.7948718 0.9982459 0.02544001 0.1499 0.1650919
0.804878 0.977934 0.04464056 0.2085543 0.2536779
0.7567568 0.9840852 0.08562753 0.2016954 0.2500536
0.8918919 0.768073 0.2532608 0.3176432 0.453565
0.8823529 0.9693095 0.04551084 0.09061979 0.124847
0.9130435 1 0.003615322 0.04246705 0.0415832
0.95 0.9594793 0.04155844 0.1157364 0.1329382
0.8148148 0.9720723 0.07564313 0.1810898 0.2465611
0.8636364 0.9739458 0.03264822 0.1007864 0.1505451
0.8947368 0.9531477 0.07293233 0.1959648 0.2567154
0.84 0.9716728 0.07956044 0.1432955 0.2139689
0.787234 0.9638475 0.0712462 0.2007025 0.3098599
0.9655172 0.9866066 0.01907675 0.04650256 0.08985498
0.8510638 0.9464706 0.07713634 0.1356372 0.1789657
0.7234043 0.9690744 0.07644594 0.2128435 0.2977935
0.8378378 0.9799577 0.05087537 0.1444338 0.1845059
0.8148148 0.9474805 0.07841635 0.1608663 0.2277438
0.875 1 0.02247387 0.07954513 0.08345232
0.8333333 0.8446746 0.1813675 0.2027855 0.2956256
0.7878788 0.9881263 0.03659282 0.1737491 0.2076896
0.8 0.99528 0.01573132 0.1186712 0.1706118
0.6956522 0.8820115 0.1478595 0.2738566 0.4871181
0.8888889 0.9780889 0.1062657 0.1751632 0.2150052
0.8947368 0.9832846 0.02570062 0.1215559 0.1448576
0.7666667 1 0.0526393 0.1609811 0.1726182
0.8125 0.9808255 0.1235676 0.189691 0.2363234
0.9142857 0.988762 0.01685294 0.1021996 0.116373
0.8095238 0.9774731 0.03737709 0.1982906 0.2362288
0.9545455 0.9256931 0.08245059 0.09998921 0.2513276
0.85 0.9598908 0.06233766 0.147741 0.1821967
0.8108108 0.9866478 0.06450378 0.1489376 0.170908
1 0.9231412 0.07685881 0.1184541 0.2018394
0.825 0.9874271 0.03884207 0.1130152 0.1754157
0.84 0.9849839 0.1024908 0.1500729 0.2126265
0.8666667 0.9680933 0.03510381 0.1211342 0.1365646
0.7674419 0.9866451 0.03731961 0.1552187 0.262326
0.825 0.9451201 0.09252087 0.194247 0.2894399
0.7647059 0.8370933 0.2070175 0.2816207 0.332826
0.8636364 0.9616375 0.06051383 0.1344015 0.1876681
0.8076923 1 0.0217254 0.08656587 0.07867039
0.6923077 0.9740615 0.1060166 0.2588337 0.2898295
0.675 0.9638445 0.05974799 0.2322043 0.2747488
0.7407407 1 0.03638022 0.1392828 0.1354154
0.775 0.9775477 0.04293412 0.1598673 0.2280008
