reso  sja  d_qt  d_ci  d_rf
0.8372093 0.9660403 0.04158777 0.1770301 0.2411744
0.8611111 0.9689607 0.03747067 0.1445343 0.1990662
0.8863636 0.9513118 0.05790093 0.1715347 0.2378912
0.75 0.9622546 0.04986124 0.228316 0.2951229
0.8863636 0.9107287 0.1138508 0.2259149 0.3387599
0.85 1 0.02060982 0.07527987 0.07351317
0.9487179 0.9363706 0.06871706 0.1020295 0.1422574
1 0.9136759 0.08632411 0.1800627 0.2726883
0.7586207 0.9454437 0.105381 0.2604534 0.4263696
0.8444444 0.8244567 0.1970603 0.3656627 0.5401527
0.8157895 0.9308585 0.1147971 0.2534584 0.3639314
0.9375 0.7863688 0.2420021 0.3105345 0.4514872
0.9565217 0.9143298 0.08688963 0.2242962 0.274826
0.9375 0.9958549 0.00619195 0.05845675 0.04903922
0.7906977 0.9526669 0.06526948 0.2388605 0.3366873
0.8478261 0.9775618 0.05178265 0.1833951 0.2205492
0.8837209 0.9403899 0.07755921 0.1629779 0.2516316
0.8947368 0.9768753 0.04894053 0.1415002 0.2123973
1 0.852381 0.147619 0.2074311 0.2798246
0.9375 0.9353963 0.08617131 0.1154331 0.1394761
0.8043478 0.9538857 0.06931885 0.1702007 0.1993022
0.9166667 0.9595537 0.04940171 0.09103745 0.1580552
0.9354839 0.9817868 0.01915862 0.08152484 0.09525187
0.8846154 0.9264835 0.1111532 0.2233025 0.3182579
0.925 0.9911229 0.01224779 0.09558081 0.1302387
0.8518519 0.9520832 0.1095968 0.2306065 0.308999
0.9117647 0.9798515 0.03338633 0.1019192 0.1547834
0.8571429 0.9636693 0.05634356 0.1642717 0.2460711
0.962963 0.894891 0.1065499 0.1408015 0.2212536
0.8974359 0.9837108 0.02484589 0.134504 0.1891857
0.902439 0.9237604 0.08404358 0.2347223 0.2861186
0.9189189 0.9536414 0.1386257 0.2514678 0.3909226
0.9459459 0.913538 0.08901412 0.1881527 0.2289005
0.8823529 0.9694721 0.04293086 0.09061979 0.124847
0.9347826 0.9810225 0.02111612 0.1078786 0.1279285
1 0.9595709 0.04042914 0.1121373 0.1207109
0.8888889 0.9710342 0.04428024 0.1366763 0.1815477
0.9090909 0.9728539 0.03320158 0.110313 0.1563339
0.8421053 0.9671916 0.0619959 0.1499186 0.1942065
0.92 0.9659172 0.05267399 0.1406975 0.1977727
0.787234 0.979253 0.06398176 0.2098364 0.2785754
1 0.9883204 0.01167964 0.03876408 0.04073291
0.9361702 0.9367016 0.07544941 0.09608312 0.2208701
0.8085106 0.955457 0.07061659 0.1936877 0.2749038
0.8378378 0.996024 0.0440639 0.1259399 0.1520619
0.8518519 0.9866328 0.05896734 0.159509 0.2158759
0.85 1 0.02263593 0.08631596 0.08782928
0.8333333 0.8793248 0.1389174 0.1568702 0.2092964
0.9090909 0.9747282 0.03153383 0.1731225 0.198803
0.8666667 0.9960986 0.007914482 0.09072093 0.1220288
0.826087 1 0.01698997 0.08815994 0.08557689
1 0.9448622 0.05513784 0.1153028 0.1510228
0.9473684 0.9347316 0.06930964 0.1615137 0.2160177
0.8 1 0.0516129 0.1483107 0.1637531
0.875 0.962872 0.1042781 0.1640186 0.2138795
0.9142857 1 0.01769288 0.0453349 0.04536979
0.9047619 0.9737321 0.0301151 0.1578837 0.1934296
0.9090909 0.9342959 0.07675889 0.1032235 0.1992937
0.95 0.9564356 0.05748165 0.1306669 0.1901529
0.9189189 0.942446 0.06124302 0.1884289 0.2651722
1 0.9231412 0.07685881 0.1184541 0.2018394
0.95 0.9377041 0.0633174 0.1148329 0.2198564
0.92 0.9868927 0.0428083 0.08286164 0.1221397
0.9333333 0.9619172 0.03977541 0.1480724 0.1903993
0.9302326 0.9619006 0.03975243 0.1384564 0.2705243
0.9 0.9429131 0.07501013 0.162815 0.2780945
1 0.9488132 0.05118679 0.1594853 0.1744351
0.8636364 0.9390609 0.083083 0.1813918 0.2425479
0.9615385 0.9961222 0.004420866 0.0397463 0.03479717
0.8846154 0.9677604 0.05161888 0.1326044 0.2435473
0.85 0.9452151 0.06696783 0.1978447 0.264087
0.9259259 0.9555278 0.04699872 0.1016686 0.1514616
0.9 0.9407916 0.080739 0.1741879 0.2939021
0.8695652 0.980629 0.03695652 0.1323188 0.154214
0.7692308 0.9377024 0.1414677 0.2260058 0.2418606
0.8333333 1 0.02380952 0.07695838 0.06262106
0.7948718 0.986031 0.03030465 0.205034 0.2318131
0.8 1 0.01176471 0.07967507 0.06279211
0.8536585 1 0.07280609 0.1133974 0.124124
1 0.9170198 0.08298018 0.1558753 0.2683334
0.8947368 0.9507133 0.06854449 0.1551353 0.2553667
0.9545455 0.9398837 0.06178342 0.1092026 0.230528
0.8974359 0.9843333 0.0318458 0.1066665 0.1643779
0.8857143 0.9744086 0.03865745 0.1362007 0.1698047
0.9473684 0.9910801 0.01831852 0.08034612 0.08634418
0.9210526 0.9918778 0.01920608 0.06426724 0.09580421
0.7333333 0.9596781 0.07430352 0.2630912 0.3523141
0.8 0.9540146 0.0785432 0.2512309 0.2749906
0.9230769 0.9721507 0.02888299 0.1256993 0.1429747
0.9166667 0.9961007 0.02153846 0.08825122 0.1014219
0.8604651 0.9978304 0.04161228 0.1293946 0.1489304
0.9428571 0.9665163 0.03491838 0.1190524 0.1897527
0.9565217 0.9776378 0.05825105 0.09988462 0.1437799
1 0.9009288 0.09907121 0.1787672 0.2029842
0.95 0.946768 0.06080545 0.1952426 0.3522419
0.8478261 0.8137162 0.192969 0.2660381 0.4569429
0.9666667 0.9767852 0.02419355 0.1130181 0.1279584
0.9285714 0.9623915 0.04477991 0.07678043 0.1126317
0.9473684 0.9285915 0.07861163 0.173234 0.2475755
0.7741935 0.8221272 0.2287174 0.3063262 0.4076763
