reso  sja  d_qt  d_ci  d_rf
0.7674419 0.9937249 0.04291755 0.170547 0.1829531
0.5833333 0.9429425 0.1320957 0.3328199 0.5138918
0.8863636 0.9736326 0.05174782 0.1463183 0.2086929
0.7272727 0.9841631 0.05264486 0.1690169 0.2203922
0.8636364 0.9986867 0.04867827 0.106222 0.1217954
0.7 1 0.08848108 0.2110573 0.2273405
0.9230769 0.9457627 0.08528098 0.161455 0.2760461
0.8636364 1 0.02498024 0.09043353 0.09818241
0.8275862 0.9540465 0.06751947 0.1567491 0.2110608
0.7777778 0.9730031 0.07013311 0.2071098 0.2972991
0.8421053 0.9655866 0.07249432 0.1903896 0.244547
0.875 0.8675264 0.1764706 0.3121769 0.3846269
0.9130435 0.9183463 0.0932107 0.1635229 0.2333249
0.8125 0.9678025 0.0501806 0.1538194 0.1497561
0.5813953 0.9571986 0.1594846 0.4137901 0.5516378
0.9130435 0.9713109 0.02966122 0.1135883 0.151605
0.6976744 0.9551684 0.0931642 0.2669645 0.387574
0.9473684 0.9357656 0.07710185 0.1003451 0.1703898
0.8571429 0.8817734 0.1309524 0.2139897 0.2402659
0.9375 0.8771654 0.129257 0.233597 0.3287982
0.8043478 0.9899508 0.04299921 0.1566843 0.1731188
0.7916667 0.9528403 0.06666667 0.1963187 0.2935019
0.7741935 0.9875305 0.04390202 0.1450522 0.1792858
0.8461538 0.9634084 0.04250347 0.1391174 0.1626898
0.975 0.9898873 0.01325662 0.08554986 0.1691783
0.7037037 0.9976618 0.09615034 0.1951394 0.2110312
0.8529412 0.9676229 0.05104096 0.1718228 0.2631326
0.8571429 0.9855828 0.05557813 0.1631131 0.1994809
0.8518519 0.9573582 0.09923372 0.1737847 0.2108461
0.7948718 0.9925721 0.01714911 0.1402175 0.1806247
0.804878 0.9658116 0.05939183 0.2078344 0.2813119
0.6756757 0.9915249 0.1395448 0.2902788 0.3378965
0.7567568 0.9974308 0.05723274 0.2069165 0.2188679
1 0.9345717 0.06542828 0.1454294 0.2222505
0.8913043 0.991865 0.05140271 0.1145808 0.1667235
0.95 0.9830221 0.01806889 0.05569068 0.08239914
