reso  sja  d_qt  d_ci  d_rf
0.9069767 0.9816332 0.0471612 0.1593412 0.2038666
0.5833333 0.9635721 0.1220228 0.3396542 0.4766074
0.9318182 0.9747974 0.02987694 0.1071317 0.1613611
0.7727273 0.9800954 0.05456227 0.1757305 0.2309488
0.9090909 0.9527875 0.05307656 0.08561518 0.1226485
0.75 0.9758794 0.07221909 0.1791953 0.2628218
0.8717949 0.9593606 0.07868757 0.1678255 0.2399425
0.9090909 1 0.01667984 0.0520157 0.05365244
0.862069 0.9441234 0.07252503 0.1613835 0.2351521
0.7777778 0.9750488 0.07514647 0.2293945 0.2964126
0.8421053 0.9655866 0.07249432 0.1903896 0.244547
0.875 0.8675264 0.1764706 0.3121769 0.3846269
0.9130435 0.9183463 0.0932107 0.1635229 0.2333249
0.875 0.9687825 0.03508772 0.1200915 0.1170568
0.6744186 0.9247104 0.1723964 0.3938448 0.597445
0.9347826 0.9713171 0.02955266 0.1072876 0.1473014
0.6744186 0.959801 0.09100714 0.2839305 0.3706805
0.9473684 0.9357656 0.07710185 0.1003451 0.1703898
0.7142857 0.8636364 0.1952381 0.2995119 0.3790918
0.9375 0.8771654 0.129257 0.233597 0.3287982
0.826087 0.9895001 0.0432116 0.1569786 0.1790393
0.9166667 0.9213522 0.08239316 0.1884253 0.3257024
0.8064516 0.9871901 0.04157323 0.1383187 0.1852498
0.8846154 0.9635251 0.04092459 0.1275119 0.1458801
0.975 0.9934297 0.008297545 0.06024015 0.1288692
0.7407407 0.9933736 0.09790184 0.1924692 0.2312996
0.8823529 0.9600094 0.05308502 0.164481 0.2813819
0.8857143 0.9892825 0.04789677 0.130277 0.1477424
0.8518519 0.9573582 0.09923372 0.1737847 0.2108461
0.8205128 0.9894316 0.01715358 0.1032823 0.1698542
0.8292683 0.9618041 0.05771228 0.2132279 0.2926552
0.8108108 0.8773432 0.1407539 0.2537221 0.3336693
0.8108108 0.9976013 0.02558814 0.1623772 0.1708403
1 0.9345717 0.06542828 0.1454294 0.2222505
0.8913043 0.991865 0.05140271 0.1145808 0.1667235
0.95 0.9830221 0.01806889 0.05569068 0.08239914
0.8888889 0.955416 0.06613757 0.1312707 0.1804068
0.7727273 0.8702763 0.1832016 0.3364322 0.4051085
0.8947368 0.9879368 0.0189337 0.1056808 0.123484
0.8 0.9868962 0.0426862 0.1203435 0.1461298
0.7021277 0.9838093 0.06338472 0.2659715 0.3125233
0.7931034 0.9214297 0.1196468 0.2781785 0.5061517
0.9148936 0.941692 0.06407512 0.1132167 0.1908184
0.7446809 0.9948316 0.03479809 0.1745406 0.2315395
0.9189189 0.9201979 0.0883357 0.1371984 0.198609
0.8518519 0.9467357 0.06205072 0.1478396 0.1655567
0.825 0.9916056 0.02830403 0.1196564 0.1411968
0.9166667 0.981877 0.07578348 0.1447911 0.2024341
0.969697 0.9399598 0.06198964 0.1945914 0.3105377
0.9333333 0.9819252 0.01930825 0.07906586 0.1136275
0.826087 1 0.02274247 0.107132 0.1120509
0.8888889 0.9895233 0.03157895 0.09837918 0.125493
0.8421053 0.9532297 0.09330144 0.190841 0.2171209
0.9333333 0.9984962 0.03013196 0.05485973 0.0540606
0.90625 0.865883 0.1575821 0.1496281 0.2071313
0.9142857 0.9482368 0.06535934 0.1662366 0.2688341
0.8333333 0.991608 0.02937347 0.1336091 0.1533473
0.9545455 0.9347482 0.06600791 0.1675521 0.2724586
0.85 0.9975778 0.03602484 0.1081012 0.1228121
0.8648649 0.905245 0.1096674 0.253284 0.3679759
1 0.9598997 0.04010025 0.09177141 0.1457081
0.85 0.9929396 0.03496475 0.116413 0.1350813
0.96 0.9693923 0.03262515 0.06634512 0.08728404
0.9111111 0.977831 0.0258968 0.1212393 0.1761702
0.8837209 0.9721718 0.03439348 0.176205 0.2330103
0.775 0.9965649 0.04317316 0.1510036 0.1904527
0.8235294 0.9963613 0.02136223 0.1317703 0.1467776
0.6818182 1 0.07181818 0.200493 0.2066437
0.9615385 0.9780632 0.02837775 0.07158852 0.1617016
0.8076923 0.972168 0.04142983 0.1230308 0.2279188
0.8 0.9548105 0.05373957 0.1675223 0.2366484
0.7407407 0.9744824 0.1152892 0.2272857 0.2924769
0.85 0.98291 0.06679361 0.1793383 0.2523046
0.6956522 0.9514 0.06759197 0.2279072 0.2689847
1 0.9477917 0.05220833 0.09358022 0.1558228
0.5 1 0.1785714 0.3333333 0.3333333
0.7435897 0.9844915 0.05119718 0.1982064 0.2493883
0.9333333 0.734194 0.2687908 0.3583933 0.5492096
0.8536585 0.8736176 0.1451223 0.129032 0.1854894
0.7894737 0.9852012 0.06971975 0.1425575 0.23152
0.7105263 0.977959 0.07345216 0.2759908 0.3244353
0.9318182 0.9756578 0.03593194 0.09696073 0.1650932
0.8717949 0.9751159 0.02953632 0.1094453 0.1635297
0.7428571 0.9904082 0.06640249 0.2057734 0.2107142
0.8421053 0.9068332 0.1125769 0.1524657 0.2066469
0.8684211 0.9746029 0.03387973 0.1028702 0.1283617
0.8333333 0.9751963 0.053348 0.1937228 0.2357773
0.75 0.9621993 0.07470356 0.2471999 0.2591812
0.8076923 1 0.02197802 0.08850904 0.08137044
