reso  sja  d_qt  d_ci  d_rf
0.7906977 0.989021 0.07774305 0.1842594 0.2245482
0.8611111 0.990645 0.01474754 0.1120963 0.1395488
0.8863636 0.9810902 0.04270737 0.1087785 0.1764592
0.9090909 0.9854833 0.01887983 0.06967778 0.09354639
0.9090909 0.9284809 0.07368598 0.1491279 0.1971238
0.9 0.9489381 0.06312818 0.1288687 0.2561774
0.8974359 0.9610245 0.06080139 0.1175298 0.1680227
1 0.9833992 0.01660079 0.07610875 0.08902185
0.8275862 0.9637957 0.07607063 0.2040136 0.246913
0.9333333 0.9386179 0.06570562 0.1550057 0.3051652
0.8684211 0.9218409 0.08936013 0.2313982 0.3347158
0.8125 0.9265567 0.08642931 0.2085984 0.2890407
0.9130435 0.9662508 0.04257525 0.1471321 0.2161298
0.875 0.9957219 0.02167183 0.1084148 0.1068853
0.8837209 0.9826528 0.02771394 0.1528261 0.2097726
0.9347826 0.98937 0.01763767 0.0876181 0.1132972
0.9534884 0.946085 0.06223611 0.1635474 0.2202607
1 0.9425837 0.05741627 0.06890799 0.07974069
1 0.8857143 0.1142857 0.1463032 0.1918432
1 0.9169247 0.08307534 0.1543379 0.2067771
0.7826087 0.9897644 0.07001029 0.1756464 0.2782138
0.8333333 0.9672947 0.05059829 0.1919545 0.2374848
0.9677419 0.9686482 0.03166509 0.1067317 0.1533926
0.7692308 0.9944953 0.08395436 0.189232 0.2141951
0.9 0.9962226 0.01034762 0.088701 0.1309256
0.8888889 0.9848154 0.07825214 0.1654374 0.2385491
0.9705882 0.9866821 0.02304489 0.1243766 0.1561277
0.8 0.9070608 0.1278466 0.2039233 0.2675483
0.9259259 0.9941625 0.02430213 0.124606 0.1421977
0.9487179 0.9807036 0.02415796 0.1337854 0.173405
0.9268293 0.9497501 0.05858889 0.1826969 0.2686032
0.8108108 0.8757313 0.1366725 0.269423 0.3458309
0.972973 0.9748327 0.02641427 0.1333033 0.1599452
0.9411765 0.9563682 0.04664603 0.1647059 0.2126771
0.8695652 0.9322879 0.08195124 0.1357168 0.1919631
1 0.9787691 0.02123094 0.07090673 0.09957133
0.962963 0.9689319 0.03846014 0.1440994 0.1812519
0.8636364 0.9902391 0.02355731 0.09772385 0.1544333
0.8947368 0.9815668 0.02857143 0.09501754 0.1329091
0.88 0.9798096 0.07172161 0.1467417 0.1862174
0.9148936 0.9820288 0.02434868 0.1186756 0.1828357
0.9310345 0.94592 0.07327586 0.142508 0.3430464
0.787234 0.9948253 0.02166956 0.1630417 0.1897553
0.8723404 0.9590446 0.06013244 0.1584039 0.2381697
0.9459459 0.9984834 0.01088193 0.04309837 0.05939
0.9259259 0.973281 0.05143222 0.1376613 0.2079656
0.775 0.9792445 0.04347703 0.1613861 0.2041531
0.9583333 0.8759592 0.1259259 0.1188191 0.1754622
0.7575758 0.9908724 0.02068585 0.1383468 0.1532665
0.9333333 0.9897389 0.01923887 0.1005341 0.1279179
0.8695652 0.9896359 0.01966555 0.0963223 0.09685259
1 0.9969925 0.003007519 0.03165483 0.02942867
0.8947368 0.9973651 0.009706083 0.08067594 0.0762523
1 0.9888074 0.01119257 0.06258011 0.1044044
0.90625 0.8581465 0.1631398 0.1445465 0.1972353
0.9714286 0.969955 0.03126736 0.1236076 0.161339
0.9761905 0.9960877 0.004691433 0.03536501 0.04633639
0.9090909 0.9360818 0.06853755 0.1282749 0.1519063
0.95 0.9938755 0.00824393 0.03291878 0.06152349
0.9459459 0.9681028 0.0348014 0.08689509 0.1752599
1 0.8940685 0.1059315 0.1787369 0.2117688
0.875 0.9786214 0.0453853 0.158731 0.2575805
0.96 0.9107452 0.09431013 0.1657714 0.2089469
0.8222222 0.9793727 0.03396289 0.1735527 0.2714407
0.8604651 0.9747336 0.0377118 0.1376749 0.2538006
0.9 0.9801218 0.02323961 0.06792738 0.0705814
1 1 0 0 0
0.8636364 0.9596398 0.06426877 0.2312089 0.2765132
0.9615385 0.9759262 0.02888299 0.1100392 0.1442744
0.9230769 0.9774815 0.02951455 0.1186693 0.1322539
0.875 0.9298653 0.1146504 0.2022508 0.3007801
0.8888889 0.9417329 0.07398285 0.2101746 0.2620997
0.925 0.9105848 0.09729357 0.2116685 0.3250911
0.9565217 0.9842541 0.02274247 0.1346704 0.1397995
0.9615385 0.992868 0.02282009 0.06646414 0.07958957
1 1 0 0 0
0.8717949 0.9578848 0.05085321 0.1622387 0.2110427
0.8666667 0.9308051 0.07679739 0.1252889 0.1860594
0.804878 0.9927336 0.1018851 0.1818805 0.2173812
0.9473684 0.9372461 0.07327409 0.1183899 0.2396141
0.8684211 0.9837573 0.03709391 0.1234687 0.1681947
0.9318182 0.9001868 0.1120231 0.136815 0.2539414
0.8461538 0.9864453 0.0232288 0.1395949 0.1875262
0.8285714 0.9588264 0.08030888 0.1839143 0.2494977
0.9473684 1 0.002460697 0.02239311 0.02033312
0.8684211 0.9907314 0.04096969 0.1362292 0.1701641
0.8666667 0.9663891 0.05645161 0.1733832 0.2749239
0.8 0.9762076 0.05019763 0.1602282 0.1907012
0.7692308 0.9923494 0.04479811 0.1612042 0.2108165
0.9583333 0.9802426 0.02632479 0.1441421 0.1901586
0.8837209 0.9107111 0.09880504 0.2138883 0.3273067
0.8857143 0.9990449 0.0186412 0.08189079 0.08804495
0.8913043 0.9335133 0.1020904 0.1626052 0.3467029
0.9375 1 0.04334365 0.04366711 0.05074029
0.9 0.9159079 0.08913378 0.1799565 0.3205616
0.8478261 0.9863302 0.05586758 0.1667518 0.191337
0.9 0.9531371 0.05646383 0.155803 0.2837566
1 0.9922454 0.007754648 0.03494359 0.05212251
0.8947368 0.9402765 0.07742668 0.2355504 0.3296762
0.7741935 0.9621382 0.07441349 0.2108316 0.3426187
