reso  sja  d_qt  d_ci  d_rf
0.8604651 0.9890832 0.02174832 0.1550781 0.1966803
0.6666667 0.9989774 0.07286234 0.2230217 0.2319574
0.9090909 0.9809152 0.04282791 0.1214753 0.1408148
0.7954545 0.9782863 0.03430606 0.153126 0.1606112
0.8863636 0.959365 0.05159084 0.158903 0.2070256
0.95 0.970667 0.04336533 0.1221053 0.155857
0.8461538 0.9806042 0.05370321 0.1461305 0.2127692
0.8636364 0.9860255 0.0326087 0.1041371 0.1228965
0.862069 0.9991413 0.03124305 0.1072231 0.1179109
0.8888889 0.9805659 0.02635934 0.1044914 0.1685578
0.8684211 0.9895588 0.02404463 0.1050512 0.1702103
0.9375 0.9842767 0.02321981 0.1156321 0.1267652
0.8695652 0.9969978 0.01277592 0.09766257 0.09610676
1 0.9829721 0.01702786 0.06257463 0.06320325
0.7209302 0.9802676 0.06030579 0.2261095 0.2950221
0.9130435 0.9975273 0.006182862 0.06587281 0.06603941
0.744186 0.9994317 0.03685388 0.1576703 0.1549573
0.9473684 0.934247 0.07115516 0.1335451 0.1540639
0.8571429 0.7487685 0.2595238 0.3304607 0.4415954
0.9375 0.9956356 0.03121775 0.07777652 0.07944057
0.8913043 0.9792737 0.02873851 0.118858 0.1419243
0.9583333 0.9895616 0.01897436 0.09443872 0.1230129
0.9354839 0.9949611 0.01284069 0.08423924 0.07861839
0.8076923 0.9887681 0.03829312 0.1479657 0.1737371
0.875 0.9717335 0.04616725 0.176047 0.265006
0.7407407 0.9735856 0.1264368 0.248912 0.3367329
0.7058824 0.9735435 0.06692407 0.242474 0.3088969
0.8 0.996851 0.04043216 0.1274677 0.1308261
0.9259259 0.9980289 0.02058019 0.08432996 0.1044011
0.9230769 0.9683404 0.03650496 0.1369438 0.211711
0.7317073 0.9795904 0.03384505 0.1932298 0.2789042
0.8918919 0.988582 0.05893971 0.1309487 0.1979845
0.8648649 0.9634296 0.04962797 0.1576834 0.1908493
0.7647059 1 0.02703818 0.1234757 0.1180668
0.826087 0.9965767 0.0413001 0.1532056 0.182464
1 0.9421796 0.05782044 0.1280242 0.2029318
0.8888889 0.9355661 0.09472724 0.1999907 0.2570643
0.9090909 0.9982264 0.01146245 0.08041749 0.08435752
1 0.9602187 0.03978127 0.1171959 0.1394685
0.92 0.9857355 0.02102564 0.0927123 0.1047713
0.8085106 0.9921101 0.02523231 0.1741322 0.2368552
0.8965517 1 0.006785317 0.04866163 0.04675198
0.9148936 0.8965563 0.1065415 0.1572774 0.2783963
0.8510638 0.9707094 0.04468519 0.1719759 0.2565344
0.8378378 0.9643398 0.05375315 0.1711221 0.2175534
0.8518519 0.9444673 0.0668856 0.1402484 0.2207036
0.825 0.9745742 0.03688923 0.1814091 0.2326347
0.9166667 0.8682656 0.1447863 0.1676581 0.2371589
0.7878788 0.9540043 0.06499448 0.2372518 0.3202222
0.8222222 0.9845624 0.01912324 0.1605248 0.1791833
0.826087 0.9722301 0.05638796 0.2057152 0.2747455
0.8888889 1 0.006516291 0.04103314 0.03032098
0.9473684 0.987598 0.03239918 0.08883195 0.1315704
0.8 0.9939056 0.06428397 0.1507834 0.215428
0.9375 0.8709249 0.1375477 0.1537165 0.2004506
0.9142857 0.9738168 0.03763463 0.08357957 0.1135565
0.8095238 0.9944915 0.02101748 0.1347113 0.1460858
0.9090909 0.9357223 0.07130435 0.1159759 0.1639978
0.8 1 0.0458498 0.1156418 0.1190276
0.8648649 0.972576 0.0391673 0.1101734 0.154889
0.7777778 1 0.05296575 0.1275374 0.1280097
0.85 0.9846526 0.01995786 0.1203728 0.2066015
1 0.9941392 0.005860806 0.03672531 0.03669206
0.8666667 0.9934616 0.04076215 0.113337 0.1871946
0.8837209 0.9863001 0.03188712 0.1531345 0.2008459
0.9 0.9630541 0.05192448 0.1220724 0.1648469
0.9411765 0.9752381 0.03653251 0.1297447 0.1476568
0.8636364 0.9525578 0.06640316 0.2010182 0.2673046
0.8846154 0.963831 0.04753484 0.1526935 0.2147566
0.7307692 0.9115705 0.1378679 0.313098 0.4284582
0.85 0.9873295 0.03313751 0.1282613 0.1548643
0.8518519 0.9784248 0.06710454 0.1533404 0.2169364
0.9 0.9914163 0.05279961 0.1168059 0.1602028
0.8695652 0.9575168 0.06274247 0.222187 0.2746961
0.8461538 0.9515506 0.09660646 0.1590732 0.2173811
1 1 0 0 0
0.8974359 0.9979503 0.009488073 0.0797779 0.09630675
0.9333333 0.9870216 0.02173203 0.08635667 0.09860638
0.8780488 0.950786 0.06634205 0.15146 0.2716638
0.9473684 0.9879914 0.03335612 0.06666082 0.1057809
0.7894737 0.9926134 0.07326948 0.2245854 0.3057914
0.9318182 0.9932225 0.01692597 0.06766564 0.1069928
0.9230769 0.9693995 0.03431609 0.1264311 0.1703339
0.7142857 0.9674628 0.08133848 0.2244362 0.3275083
0.8947368 0.9885169 0.01729323 0.1055819 0.1037281
0.9736842 0.9867038 0.01347882 0.08334033 0.1308375
0.7666667 0.9257919 0.09728739 0.2242575 0.3470681
0.9 0.9328688 0.07910785 0.2099468 0.2212061
0.8846154 0.9978218 0.01886236 0.07632218 0.0817933
0.9583333 0.9962212 0.006153846 0.03697234 0.05185648
0.9302326 0.9827686 0.02974845 0.1151983 0.1726606
0.8857143 0.9598881 0.05453499 0.1231409 0.2094955
0.8695652 0.9162507 0.09581784 0.1439324 0.2185247
0.9375 0.992228 0.009803922 0.06391946 0.0747605
0.8 0.9793028 0.03387894 0.1571817 0.1911181
0.8695652 0.9249344 0.1393645 0.222195 0.36636
0.9 0.9872567 0.02157869 0.1045598 0.1187943
1 0.95611 0.04389004 0.0924581 0.1190922
0.7631579 0.9292566 0.08860966 0.2314882 0.3205662
0.8709677 0.9656916 0.06506598 0.1487808 0.25083
