reso  sja  d_qt  d_ci  d_rf
0.7906977 0.9331393 0.08776848 0.2046538 0.3003009
0.7222222 0.9879657 0.05779869 0.230088 0.3459014
0.8636364 0.9927694 0.04302974 0.1286002 0.1635919
0.8409091 0.9572605 0.05187116 0.1268138 0.2170192
0.8181818 0.9223376 0.1030976 0.2041276 0.2729762
0.8 0.8769013 0.1390175 0.2338397 0.3105728
0.9230769 0.9936257 0.03922094 0.1016818 0.1360217
0.8181818 0.9387989 0.07604743 0.1705731 0.2530373
0.7586207 0.9781869 0.07021691 0.1877167 0.2681137
0.8888889 0.9802684 0.02853582 0.1098754 0.1485955
0.8684211 0.965063 0.04256937 0.1282034 0.1578718
0.875 0.9201954 0.1006192 0.2084939 0.2577252
0.8695652 1 0.03809365 0.06651921 0.06508197
0.9375 0.9912996 0.03379773 0.1061116 0.1154446
0.8139535 0.9927103 0.03196372 0.1711252 0.2009233
0.9565217 0.9988382 0.001481999 0.02268962 0.03751519
0.7906977 0.9318245 0.08258418 0.1815291 0.2565572
0.9473684 0.9227916 0.07928913 0.2114097 0.2774121
0.8571429 0.8306011 0.2119048 0.286576 0.4148324
0.75 1 0.0629515 0.1506576 0.1550564
0.7826087 0.9743228 0.05849176 0.1765063 0.2718859
0.7916667 0.9917588 0.05119658 0.1554822 0.1802938
0.8387097 0.9941297 0.05168622 0.1414685 0.161316
0.8846154 0.9065035 0.101301 0.1426537 0.1734609
0.85 0.9978398 0.03314966 0.1433376 0.1545988
0.6296296 0.8717846 0.1624704 0.259048 0.3417035
0.8823529 0.9659538 0.04411386 0.1515534 0.296223
0.8285714 0.9940569 0.04275554 0.1668624 0.1869079
0.7777778 0.9611414 0.1332239 0.2614766 0.3263354
0.8717949 0.9812687 0.04824891 0.1649969 0.2017798
0.7560976 0.9607817 0.04804016 0.1938433 0.2843672
0.8918919 0.9545189 0.05789474 0.1798025 0.3238865
0.8918919 0.9963299 0.01464055 0.1045527 0.1193234
0.8235294 0.9634944 0.04664603 0.1526737 0.1823445
0.9347826 0.9361754 0.08017425 0.1254159 0.1702169
0.95 0.9825885 0.03049125 0.06532974 0.09762386
0.9259259 0.9775611 0.03170954 0.1046873 0.1430385
0.8181818 0.9693904 0.06359684 0.1647329 0.173262
0.8421053 0.9901134 0.0391661 0.148582 0.1697137
0.84 0.9987011 0.03120879 0.09522813 0.08957983
0.6595745 0.9928638 0.07864959 0.3564307 0.4089032
0.9310345 0.9836204 0.02295606 0.08410672 0.1160388
0.7446809 0.8891886 0.1842097 0.275331 0.3963705
0.7446809 0.9791264 0.0613591 0.2422246 0.3581444
0.7297297 0.9977327 0.0892439 0.2337867 0.263437
0.7037037 1 0.02563401 0.1542963 0.1474551
0.825 0.972585 0.04645085 0.1810732 0.2247181
0.8333333 0.9914525 0.02168091 0.1352792 0.1885965
0.7272727 0.9374189 0.0880146 0.2542223 0.3685696
0.8666667 0.9793186 0.02844588 0.1301897 0.1880429
1 0.975786 0.02421405 0.07275977 0.159958
0.8333333 1 0.01052632 0.07518621 0.06592061
0.7894737 1 0.05263158 0.1005613 0.09209647
0.8 0.9945423 0.03940616 0.1526951 0.1815218
0.75 1 0.08624905 0.1565819 0.1622274
0.8285714 0.9935264 0.02903881 0.1370241 0.172779
0.7380952 0.9844339 0.03546428 0.1663895 0.187511
0.8636364 0.9719763 0.06596838 0.1733125 0.2822844
0.8 0.9628406 0.1202146 0.1890059 0.2294968
0.8108108 0.9929268 0.03484517 0.1532841 0.2368229
0.8888889 1 0.03091061 0.06575303 0.06942869
0.825 0.9851517 0.04249656 0.1459262 0.231073
0.96 0.9434892 0.06918193 0.1265055 0.253309
0.7777778 0.981947 0.03434577 0.1915355 0.2062382
0.7906977 0.9898605 0.04318412 0.1614868 0.19843
0.8 0.9651471 0.06072036 0.1466316 0.2571967
0.7058824 1 0.09442724 0.2035705 0.2196555
0.7272727 0.901997 0.1387747 0.2948583 0.4247847
0.8846154 1 0.01823081 0.06157091 0.06185814
0.8461538 0.944275 0.08913309 0.1609527 0.2456571
0.825 0.9662063 0.0555344 0.141563 0.207909
0.8888889 0.9800143 0.03375296 0.09062695 0.09921149
0.8 0.9927365 0.04265457 0.1576429 0.2229265
0.826087 0.8619382 0.1487625 0.2540048 0.3839888
0.8076923 0.9953408 0.08818576 0.1304932 0.1559854
1 0.9047619 0.0952381 0.2510929 0.235723
0.8717949 0.9775533 0.0278567 0.1403834 0.1886138
0.8666667 0.99501 0.01372549 0.08527345 0.06671261
0.8780488 0.9883018 0.09504166 0.1770582 0.2209493
0.8421053 0.9876161 0.04784689 0.1072064 0.1361842
0.7894737 0.9549375 0.07810803 0.1917828 0.235926
0.9090909 1 0.01683907 0.05173019 0.0531114
0.8461538 0.973969 0.03361923 0.164146 0.2049728
