reso  sja  d_qt  d_ci  d_rf
0.8372093 0.9339007 0.08228697 0.1718123 0.2634681
0.7222222 0.9879657 0.05779869 0.230088 0.3459014
0.8409091 0.9932858 0.04278866 0.1308043 0.1578316
0.8409091 0.9572805 0.0516413 0.1301169 0.2107357
0.8863636 0.9216821 0.1019595 0.1788063 0.2491162
0.8 0.9693095 0.06482213 0.1837418 0.2259081
0.974359 0.9938018 0.02596266 0.07197169 0.09343209
0.7727273 0.9360793 0.09660079 0.200613 0.285636
0.7586207 0.9781869 0.07021691 0.1877167 0.2681137
0.8888889 0.9802684 0.02853582 0.1098754 0.1485955
0.8684211 0.9913809 0.02598993 0.116155 0.1303377
0.8125 0.9067259 0.1692466 0.261166 0.3288835
0.826087 1 0.03956522 0.08788433 0.08472882
0.9375 0.9912996 0.03379773 0.1061116 0.1154446
0.8139535 0.9927103 0.03196372 0.1711252 0.2009233
0.9565217 0.9988382 0.001481999 0.02268962 0.03751519
0.8139535 0.9319281 0.08184882 0.1742146 0.2514882
1 0.9231716 0.07682843 0.1843955 0.2503925
0.8571429 0.8306011 0.2119048 0.286576 0.4148324
0.75 1 0.0629515 0.1506576 0.1550564
0.826087 0.9605491 0.06516547 0.1794801 0.289533
0.7916667 0.9917588 0.05119658 0.1554822 0.1802938
0.8387097 0.9941297 0.05168622 0.1414685 0.161316
0.9230769 0.9022431 0.1036167 0.1425857 0.1947614
0.9 0.9911259 0.0327121 0.118859 0.1370017
0.7037037 0.8757546 0.1479657 0.2218371 0.2729303
0.9117647 0.9662359 0.04002574 0.1417951 0.2720636
0.8571429 0.9930685 0.04321615 0.1666964 0.1919424
0.8148148 0.9400942 0.1421273 0.2628649 0.3435192
0.8974359 0.9776305 0.04999553 0.169094 0.2054582
0.804878 0.9705039 0.03926306 0.1753113 0.2540606
0.9189189 0.9487555 0.06084911 0.1887203 0.3321074
0.8918919 0.9963299 0.01464055 0.1045527 0.1193234
0.8235294 0.9634944 0.04664603 0.1526737 0.1823445
0.9130435 0.9365888 0.07996186 0.1250221 0.1672776
1 0.9830604 0.01693958 0.03901922 0.07032581
0.9259259 0.9829425 0.02579821 0.07599421 0.09637877
0.9090909 0.9697403 0.05822134 0.1251017 0.1395477
0.8421053 0.9901134 0.0391661 0.148582 0.1697137
0.84 0.9987011 0.03120879 0.09522813 0.08957983
0.6808511 0.9933877 0.07394051 0.3270384 0.3812812
0.9655172 0.9836866 0.02095384 0.07402283 0.1091269
0.7659574 0.8892689 0.183198 0.2766846 0.3989502
0.7659574 0.9792474 0.05868867 0.2262435 0.3368091
0.7297297 0.9977327 0.0892439 0.2337867 0.263437
0.7407407 0.9934661 0.02875388 0.1630668 0.1545697
0.875 0.9699614 0.04652783 0.1754973 0.2228474
