reso  sja  d_qt  d_ci  d_rf
0.4186047 0.9516119 0.2359377 0.5224458 0.6605304
0.2702703 0.9741428 0.2846409 0.6700185 0.7861811
0.4318182 0.9730031 0.340476 0.5910099 0.6961572
0.4772727 0.9762701 0.220601 0.5026065 0.6676265
0.4090909 0.9506053 0.344109 0.5744217 0.6655079
0.35 0.9415502 0.3037832 0.6488641 0.7424044
0.5384615 0.8485629 0.3790851 0.5543309 0.7381265
0.3636364 0.9932701 0.3725296 0.5934631 0.6669138
0.2758621 0.9149058 0.439391 0.7389185 0.8086034
0.4 0.8918754 0.3015187 0.6098451 0.7385946
0.5263158 0.9019262 0.3314506 0.4802511 0.560546
0.625 0.8844705 0.2630289 0.3925273 0.5448927
0.3913043 1 0.2747157 0.4604823 0.4707356
0.75 0.954491 0.1083591 0.287979 0.3525772
0.372093 0.9696544 0.2909673 0.5964785 0.7852199
0.3695652 0.9895802 0.4148441 0.6182744 0.6894143
0.4418605 0.8909497 0.3874958 0.6053912 0.7249451
0.5789474 0.9634977 0.2673958 0.4327769 0.5263254
0.4285714 1 0.2261905 0.3903277 0.38054
0.6470588 0.7853385 0.2901187 0.4855329 0.8198321
0.4130435 0.9447575 0.4064854 0.6343946 0.7190659
0.3333333 1 0.3911396 0.6090549 0.6630685
0.3548387 0.9609608 0.3001337 0.5925168 0.7097083
0.4230769 0.913227 0.1990443 0.494158 0.6230066
0.7317073 0.9447581 0.1839843 0.3379208 0.4677016
0.1851852 0.9814153 0.4508484 0.784248 0.8468836
0.4411765 0.9272296 0.1783859 0.4483595 0.6405175
0.4857143 0.9187856 0.2871435 0.490959 0.6957192
0.1851852 1 0.4489509 0.7655129 0.8024529
0.4102564 0.9915944 0.2700974 0.5566505 0.6446182
0.5121951 0.8546959 0.2464733 0.528719 0.7251936
0.2702703 0.9944086 0.3984079 0.6766203 0.7433122
0.5405405 0.8339252 0.2911424 0.5173622 0.6916132
0.5555556 0.9828529 0.09896801 0.3410666 0.3339431
0.4565217 0.7829691 0.359019 0.5751928 0.7716348
0.8095238 0.9708188 0.05906268 0.1381159 0.1639093
0.5714286 0.9513902 0.1374384 0.3639937 0.4702741
0.5454545 0.8296686 0.2522925 0.5433468 0.6164563
0.4210526 0.8084577 0.2796309 0.5648666 0.711128
0.48 0.8917887 0.2844444 0.5005206 0.6760692
0.2978723 0.9962699 0.3157143 0.707263 0.7754924
0.3448276 0.9908136 0.4167964 0.6602483 0.7508214
0.4255319 0.9974735 0.2024642 0.463228 0.5056305
0.4042553 0.9801754 0.2981741 0.5588157 0.6315979
0.2972973 0.8936246 0.4392658 0.690689 0.7819982
0.2222222 0.7844906 0.3745667 0.724709 0.8189351
0.5853659 0.9728262 0.06672474 0.2842376 0.3883789
0.44 0.9548566 0.3599145 0.5633341 0.7077334
0.3939394 0.9036251 0.344436 0.6136789 0.7339377
0.5333333 0.9024147 0.3570537 0.5412652 0.6603384
0.4583333 0.7734132 0.27699 0.5273093 0.5871293
0.4444444 0.9907834 0.3398496 0.4899851 0.546969
0.55 0.9896867 0.1559809 0.3934209 0.4287983
0.4 0.7520697 0.4434506 0.6424573 0.7503924
0.625 0.9274964 0.2265852 0.3786221 0.4888672
0.5555556 0.7246867 0.3244056 0.5236158 0.7260111
0.2857143 0.9408957 0.4609484 0.7819893 0.8831004
0.5 0.9017008 0.2796838 0.5102325 0.6111222
0.25 1 0.4317899 0.6945761 0.7520871
0.3684211 0.9613542 0.3745979 0.6399136 0.7153265
0.6666667 0.9292425 0.1411863 0.327694 0.4692093
0.475 0.9941755 0.1699984 0.4576286 0.5304648
0.52 0.666815 0.4084493 0.562142 0.7089061
0.3111111 0.9470576 0.4443648 0.7402877 0.8317037
0.2727273 0.9903075 0.3025339 0.6994783 0.7864618
0.4 0.9776234 0.3640548 0.5521084 0.633342
0.5294118 0.990223 0.1688338 0.4012712 0.4571391
0.1363636 0.9732484 0.4412648 0.8234306 0.8794738
0.3461538 0.8594784 0.3879837 0.6124325 0.6994355
0.4230769 0.970696 0.3701528 0.5699448 0.6540591
0.4390244 0.9791974 0.2709707 0.5742636 0.6756972
0.3333333 0.9538763 0.2637292 0.6063949 0.70189
0.45 0.9861479 0.2622559 0.4986157 0.5773794
0.3913043 0.9941683 0.250602 0.4561945 0.4773615
0.3846154 0.9935484 0.3389541 0.5564967 0.6180979
0.8333333 1 0.03968254 0.0939336 0.0974326
