reso  sja  d_qt  d_ci  d_rf
0.4651163 0.9379736 0.2201704 0.4917724 0.6577673
0.4444444 0.9263417 0.2321674 0.548501 0.767393
0.5227273 0.9540858 0.2258683 0.5188456 0.6385722
0.6363636 0.9713116 0.06368963 0.3291399 0.4299139
0.4090909 0.9026084 0.3371373 0.5469641 0.672951
0.4761905 0.7784301 0.3125353 0.5939534 0.7314725
0.5897436 0.7269224 0.3495578 0.5034523 0.7399558
0.5652174 0.8753492 0.3300395 0.5070892 0.595815
0.4137931 0.9710849 0.2331479 0.5868847 0.7110922
0.5111111 0.8736086 0.2945652 0.5567782 0.7316702
0.5263158 0.9009885 0.3293572 0.4785514 0.560546
0.8823529 0.7988604 0.2293602 0.3347419 0.4678219
0.5652174 0.9735999 0.2528094 0.3635873 0.3897716
0.8125 0.9908099 0.05908153 0.1876563 0.200364
0.5227273 0.9265717 0.2935564 0.5504874 0.7746565
0.5 0.9440196 0.2736648 0.4889709 0.5761623
0.5 0.8599313 0.4145724 0.6185812 0.7251714
0.6842105 0.8658689 0.219959 0.3540138 0.5489811
0.5714286 1 0.1190476 0.2589403 0.2446809
0.8235294 0.671875 0.3410733 0.4282611 0.8071556
0.5531915 0.8777502 0.2818535 0.4787221 0.6737577
0.4166667 0.9197593 0.2853846 0.5076613 0.608651
0.375 0.9609608 0.3001337 0.5925168 0.7097083
0.4074074 0.9358683 0.1935287 0.5264773 0.6402621
0.7317073 0.8805583 0.1860587 0.3269194 0.4814475
0.3703704 0.9912224 0.3897282 0.5995912 0.6843318
0.4117647 0.9442362 0.1895223 0.4814346 0.6248618
0.6285714 0.7511853 0.28755 0.4157066 0.7250053
0.4444444 0.9921409 0.3766101 0.543992 0.6494107
0.625 0.8823451 0.2452604 0.4984878 0.7486278
0.5714286 0.8574201 0.2381677 0.4978751 0.705287
0.5135135 0.7953663 0.3151658 0.5912698 0.7644617
0.6216216 0.8974906 0.2145366 0.4526862 0.6708115
0.6111111 0.9825328 0.08947368 0.303677 0.3115091
0.5217391 0.7850028 0.2917697 0.498133 0.6725395
0.8571429 0.9356203 0.08125353 0.1821861 0.2801148
0.6071429 0.9454431 0.1383142 0.3517632 0.4798322
0.6521739 0.8388466 0.2287352 0.4958498 0.5660556
0.7 0.8038969 0.2356118 0.498471 0.6686009
0.36 0.9906004 0.3750916 0.6112027 0.6716377
0.3617021 0.9896302 0.2919019 0.6467486 0.7286421
0.4827586 0.9638877 0.2638765 0.5560407 0.6332011
0.5531915 0.8921458 0.19863 0.4146288 0.5335119
0.5531915 0.938632 0.1502562 0.3994124 0.6891299
0.4054054 0.9336627 0.2618011 0.5692975 0.6965771
0.4074074 0.7808854 0.3629447 0.625468 0.7841282
0.7073171 0.9607741 0.07842962 0.2528309 0.388333
0.64 0.9732957 0.251567 0.3725824 0.4619661
0.4705882 0.9120483 0.3309906 0.567558 0.728281
0.6222222 0.8348292 0.2728004 0.4664826 0.6599763
0.7083333 0.8072424 0.2241806 0.4113467 0.5310995
0.6111111 0.9822602 0.2547201 0.3857417 0.4743937
0.6 0.9716514 0.1611073 0.400752 0.4384291
0.4333333 0.7615318 0.4339076 0.6281215 0.7563789
0.59375 0.9938898 0.2097785 0.3868282 0.4669258
0.6111111 0.9235975 0.1447267 0.3662067 0.6626904
0.3333333 0.8120682 0.4669553 0.7714855 0.8852692
0.5909091 0.79217 0.2935178 0.4781791 0.6390557
0.3 0.788444 0.428402 0.6751401 0.7635698
0.7631579 0.8524827 0.2144655 0.3832726 0.5325143
0.8333333 0.8697657 0.1650794 0.3404664 0.5023939
0.6 0.9352475 0.1611093 0.3583316 0.522832
0.56 0.6364315 0.4196337 0.5477832 0.7097484
0.3777778 0.8609533 0.444501 0.7179025 0.8156994
0.3181818 0.9886527 0.2994424 0.6613479 0.7779665
0.425 0.9881677 0.3355198 0.5086532 0.5694293
0.7222222 0.8617868 0.171517 0.3285734 0.4339782
0.2272727 0.7234975 0.39917 0.7455441 0.8927817
0.3461538 0.8620409 0.3875205 0.6097582 0.6948708
0.5 0.9560771 0.1939708 0.466729 0.5827889
0.5121951 0.9771496 0.2351957 0.4756285 0.620851
0.4444444 0.9043583 0.2423645 0.5028282 0.6829817
0.475 0.9579584 0.2546188 0.4967302 0.6247106
0.5 0.9679693 0.2556856 0.4626228 0.4920759
0.3846154 0.9914501 0.3789946 0.5840724 0.6605552
0.8571429 1 0.02380952 0.07695838 0.06262106
0.1538462 0.9830758 0.4706736 0.8347178 0.910719
0.4666667 0.8743386 0.3150327 0.596153 0.7686575
0.4634146 0.9669639 0.3167417 0.5571348 0.640633
0.4210526 0.7710882 0.3848941 0.5926951 0.74573
0.6578947 0.8620404 0.2193838 0.3525979 0.5563981
0.5227273 0.7354167 0.3856698 0.5152291 0.6877862
0.3846154 0.9822472 0.146882 0.4336743 0.4536271
0.6111111 0.9870018 0.07008061 0.2875584 0.3338208
0.6315789 0.8645598 0.212987 0.3452905 0.4396363
0.5384615 0.8930416 0.3293819 0.548074 0.7267658
0.5666667 0.9308934 0.1524316 0.4004019 0.6948088
0.55 0.6694215 0.3842462 0.4998405 0.5847856
0.6538462 0.897078 0.2053387 0.4530213 0.6328741
0.4166667 0.8774417 0.3634758 0.5858544 0.7768852
0.4318182 0.9644274 0.379511 0.5881823 0.6840878
0.4444444 0.9812986 0.3699519 0.5595425 0.6655721
0.5106383 0.7151554 0.3877339 0.5714182 0.8710737
0.9411765 0.710251 0.2925697 0.3075528 0.4329613
0.6097561 0.8086423 0.2429098 0.4584399 0.7330098
0.3695652 0.9705607 0.3528904 0.5967785 0.7276591
0.7096774 0.9836304 0.07690616 0.2363217 0.2732302
0.6428571 0.9086632 0.1935643 0.4307281 0.5474474
0.4736842 0.727454 0.4324084 0.5805877 0.7058331
0.40625 0.9395413 0.4181689 0.6389703 0.7324368
