reso  sja  d_qt  d_ci  d_rf
0.5813953 0.9851766 0.2057603 0.3529761 0.4231488
0.4166667 0.9122745 0.2729936 0.5786757 0.7534281
0.5227273 0.9824668 0.1572001 0.4264466 0.5135518
0.6888889 0.8417812 0.1918594 0.3501201 0.539502
0.3409091 0.9916049 0.365722 0.5841447 0.615157
0.7142857 0.9873263 0.04839074 0.1739827 0.2372026
0.5897436 0.9545358 0.308139 0.3619131 0.4193442
0.6363636 0.9472519 0.1326877 0.3214392 0.4712437
0.5517241 0.958708 0.2006535 0.4388952 0.5276034
0.5333333 0.9474596 0.1892872 0.4270341 0.5887083
0.6578947 0.9589226 0.2577367 0.3795769 0.4921947
0.75 0.9468303 0.1053922 0.1988768 0.2458445
0.6521739 0.9744728 0.1568562 0.2898031 0.3413333
0.7058824 0.9672042 0.05895253 0.2024726 0.2263052
0.4883721 0.9869668 0.3021754 0.502745 0.5755637
0.4565217 0.9854649 0.1837797 0.5019727 0.5614717
0.5454545 0.9542007 0.1231486 0.3847453 0.4743743
0.75 0.9246329 0.1125769 0.2327197 0.3236748
0.875 1 0.03809524 0.065519 0.05406458
0.6470588 0.982241 0.2057534 0.3194364 0.4111931
0.6382979 0.9963154 0.08104505 0.3086209 0.3628972
0.5833333 0.8792461 0.192735 0.3734813 0.5223009
0.483871 0.9968612 0.2030361 0.4003259 0.4582931
0.6153846 0.9006225 0.1938024 0.431624 0.5745876
0.6341463 0.9954665 0.1794182 0.3478746 0.4007791
0.4444444 0.9021418 0.3458493 0.5257196 0.6404724
0.5428571 0.9145988 0.1728973 0.3911629 0.7532757
0.4857143 0.8418804 0.2376346 0.5008577 0.6300924
0.5 0.8369967 0.3304871 0.5217493 0.6288236
0.725 0.9558105 0.07802198 0.2108159 0.3406842
0.4634146 0.9758812 0.2514604 0.5410066 0.6246978
0.4864865 0.8024575 0.2821042 0.5003923 0.6566039
0.6216216 0.9684943 0.1140497 0.3410907 0.4476945
0.6666667 0.9600545 0.08163055 0.2452815 0.3124304
0.7391304 0.9810075 0.06537786 0.2581945 0.2944923
0.7142857 0.9757145 0.06199887 0.1628831 0.1821394
0.5925926 0.9921789 0.1073344 0.32985 0.3524742
0.5 0.9723177 0.1196443 0.4305085 0.4974385
0.5263158 0.9869512 0.06637047 0.2776877 0.3034339
0.68 0.9644746 0.1226129 0.249998 0.3295185
0.5625 0.8260792 0.2459032 0.4585419 0.6740732
0.6666667 0.9744678 0.08038098 0.247059 0.3120399
0.5531915 0.9830666 0.1526661 0.3635145 0.4290708
0.4255319 0.9641084 0.232119 0.5397779 0.6639016
0.4054054 0.9144614 0.4100284 0.6174633 0.7295692
0.4444444 0.8775145 0.330852 0.5661715 0.6639022
0.6829268 0.9761756 0.06077708 0.2668175 0.2982493
0.5416667 0.9884481 0.1892023 0.3741873 0.4277953
0.6363636 0.9406442 0.09494101 0.3380414 0.4936133
0.6888889 0.9863268 0.1503161 0.3081608 0.3836153
0.5833333 0.959843 0.123913 0.3656085 0.381298
0.6315789 0.8414686 0.2311612 0.429079 0.6330497
0.6315789 0.8448971 0.2662338 0.4267995 0.663976
0.8387097 0.9075399 0.1351662 0.2912385 0.5151056
0.40625 0.9505837 0.4115355 0.5873237 0.6699973
0.5833333 0.9793736 0.1136761 0.3437499 0.4183391
0.6428571 0.9843676 0.2194637 0.383692 0.4537076
0.7391304 0.9821329 0.0883004 0.2011984 0.2471204
0.6190476 0.9863176 0.08255223 0.261218 0.2887635
0.6756757 0.9770186 0.0841394 0.289975 0.3562031
0.9473684 0.9563821 0.04895572 0.1907303 0.2222521
0.6097561 0.9669947 0.1355239 0.3994147 0.5039351
0.52 0.9755217 0.3519902 0.4854658 0.5581248
0.4444444 0.953701 0.3643257 0.5866199 0.7272005
0.4651163 0.9434629 0.2623587 0.5019554 0.6893633
0.5 0.9798076 0.3278665 0.473789 0.5642147
0.7647059 0.9924314 0.07027864 0.1706431 0.2189519
0.6363636 0.8750827 0.1862055 0.4014261 0.5207569
0.5 0.9913847 0.2694623 0.4562978 0.5140874
0.6538462 0.9226264 0.1233001 0.2989283 0.4030876
0.6341463 0.9651889 0.1638887 0.344159 0.437307
0.3703704 1 0.3990695 0.5755311 0.6373329
0.65 0.9941707 0.1002066 0.3251176 0.3776811
0.5416667 0.9467565 0.1452843 0.3510073 0.4264501
0.5384615 1 0.2215065 0.3323975 0.344802
0.8571429 1 0.02380952 0.07695838 0.06262106
0.3846154 0.8651477 0.3135799 0.5548243 0.7525159
0.6666667 0.7358398 0.3421569 0.4960416 0.6882263
0.3902439 0.9930425 0.4185641 0.6347301 0.7098704
0.4736842 0.6454822 0.4020506 0.5601845 0.7680637
0.5789474 0.8125822 0.2865261 0.4266514 0.6105115
0.4 0.89634 0.4058952 0.6239923 0.7357006
0.55 0.9949359 0.06254355 0.3420058 0.3803081
0.5142857 0.9572977 0.1747341 0.4365245 0.5805781
0.8947368 0.9017493 0.1232399 0.237309 0.4640954
0.4210526 0.996402 0.3991853 0.5841477 0.6663477
0.5 0.863723 0.2387097 0.5142337 0.6512358
0.55 0.9478618 0.1924901 0.4461823 0.5780451
0.6666667 0.9914591 0.09298556 0.273207 0.3291562
0.2083333 0.9774974 0.4201994 0.7477424 0.8454838
0.2954545 0.9958322 0.3789809 0.6502648 0.6819935
0.7222222 0.982109 0.0695929 0.2717475 0.3644543
0.4130435 0.8799135 0.3954931 0.59814 0.7089356
0.75 0.672848 0.3388803 0.3945174 0.5537149
0.5 0.789247 0.3247994 0.5619926 0.7381273
0.6086957 0.8790478 0.3471346 0.4273528 0.5177907
0.6 0.9520348 0.1444037 0.3407836 0.4110814
0.6551724 0.9112592 0.2764182 0.4555397 0.5774617
0.4102564 0.8613099 0.3508986 0.6008669 0.7287914
0.625 0.8476404 0.2963602 0.4260511 0.5805474
