reso  sja  d_qt  d_ci  d_rf
0.7209302 0.9570418 0.1405675 0.2433428 0.3336609
0.4864865 0.9301052 0.1658764 0.4429631 0.685161
0.6136364 0.9235271 0.1554986 0.4041945 0.5587737
0.6818182 0.8786251 0.1794747 0.3444846 0.4795237
0.5681818 0.981857 0.2875172 0.4262733 0.500085
0.7142857 0.9790244 0.05640881 0.1906118 0.2755232
0.5641026 1 0.2996516 0.370019 0.4078677
0.7727273 0.9504348 0.09051383 0.2501419 0.3812357
0.5862069 0.9419875 0.2040184 0.4358626 0.534618
0.5555556 0.9563513 0.1817479 0.4315633 0.5772176
0.7368421 0.8547264 0.2001481 0.3317927 0.5151947
0.5625 1 0.09352425 0.2981966 0.3082585
0.6956522 0.9400926 0.2140134 0.3166587 0.4278664
0.7058824 0.9672042 0.05895253 0.2024726 0.2263052
0.6511628 0.8352655 0.2467506 0.4303675 0.5293435
0.5869565 0.972327 0.1168702 0.3798134 0.4552426
0.6136364 0.9518106 0.1187885 0.361764 0.4545279
0.75 0.9028597 0.1263841 0.2625586 0.3823393
0.625 1 0.1880952 0.2934798 0.3145578
0.7647059 0.9856899 0.1322239 0.2279168 0.2854897
0.6170213 0.9638248 0.1478648 0.3393107 0.4614803
0.6666667 0.8608171 0.1794587 0.3399968 0.5644838
0.6451613 0.9753104 0.135113 0.2505892 0.3134113
0.6153846 0.9006225 0.1938024 0.431624 0.5745876
0.5609756 0.9906814 0.3455433 0.4659179 0.5457354
0.4074074 0.9784801 0.2160372 0.5206322 0.5784944
0.5882353 0.9087187 0.1629192 0.3616928 0.7639189
0.5555556 0.7814092 0.2612206 0.4509523 0.6363439
0.7857143 0.8195982 0.2103266 0.3388022 0.5036344
0.8 0.9809164 0.03282409 0.1603213 0.2927237
0.4634146 0.9732578 0.2562191 0.579049 0.6915615
0.6216216 0.7883012 0.2798009 0.4598744 0.6607884
0.6486486 0.9249482 0.1947478 0.3577145 0.5037196
0.5555556 0.9738956 0.1103199 0.3812454 0.4358689
0.7391304 0.9766 0.06741679 0.2761082 0.3227425
0.8095238 0.9716066 0.0554489 0.1372291 0.1778304
0.6296296 0.9886557 0.08033206 0.2870975 0.3500867
0.6521739 0.8749354 0.1558893 0.3767581 0.4628298
0.4736842 1 0.07347915 0.3116703 0.2908982
0.8461538 0.8565437 0.1553846 0.2939597 0.4569494
0.6458333 0.8234667 0.2443335 0.4279429 0.6779736
0.7586207 0.9068972 0.1361235 0.326543 0.481073
0.6595745 0.9804123 0.1326921 0.3171191 0.3930156
0.6595745 0.951446 0.2198545 0.4510664 0.5983886
0.4736842 0.9594352 0.2026918 0.5122541 0.6053689
0.5925926 0.9225241 0.1567232 0.4134544 0.6812168
0.7317073 0.9759289 0.0590957 0.2597374 0.2955851
0.7916667 0.9851105 0.097151 0.2004045 0.2491833
0.6363636 0.9406442 0.09494101 0.3380414 0.4936133
0.6956522 0.983712 0.1517139 0.3207276 0.4093764
0.6666667 0.9302612 0.1034114 0.2964673 0.3510157
0.8333333 0.8751346 0.1506266 0.23852 0.3577228
0.85 0.8914327 0.1283664 0.2670838 0.4486352
0.8387097 0.9197985 0.1293011 0.2859073 0.5151056
0.53125 0.9369218 0.2573816 0.4816029 0.6891486
0.5833333 0.9718867 0.09728375 0.3321583 0.3878754
0.6904762 0.9249383 0.1512366 0.3363787 0.4241829
0.7391304 0.9246666 0.1198814 0.2425122 0.3877369
0.75 0.9700742 0.07780915 0.2011047 0.2575129
0.6756757 0.9812772 0.0761243 0.2870205 0.3474928
0.8947368 0.9542147 0.07234754 0.2327631 0.2837612
0.5609756 0.9655118 0.2363018 0.461271 0.6043713
0.56 0.9766327 0.344591 0.4605107 0.5392028
0.5555556 0.9077133 0.3292373 0.5004979 0.7504484
