reso  sja  d_qt  d_ci  d_rf
0.6744186 0.9161806 0.146288 0.3391233 0.5141317
0.3611111 0.9823935 0.3750836 0.6213395 0.6926597
0.6666667 0.9292023 0.09407395 0.2654221 0.355749
0.5 0.9941811 0.1809828 0.3766983 0.4263902
0.4772727 0.9888506 0.2460685 0.4748239 0.5617847
0.5 0.8937915 0.1855449 0.5285286 0.5823753
0.6923077 0.9976785 0.1494952 0.2927364 0.3368753
0.6086957 0.9070105 0.3003557 0.4148454 0.5025157
0.4827586 0.9587041 0.3523498 0.5367222 0.6811438
0.4565217 0.9716068 0.3880897 0.6050684 0.7004641
0.6052632 0.7600403 0.3470623 0.4840907 0.6334049
0.7058824 0.870187 0.2395511 0.4076672 0.556325
0.4347826 0.9765299 0.2786288 0.4864764 0.6459155
0.8125 0.9330227 0.1163571 0.2594503 0.3467908
0.4186047 0.927207 0.4188651 0.6388401 0.7824381
0.5652174 0.8976367 0.1937832 0.4181729 0.5846805
0.4772727 0.9712166 0.3049729 0.5118734 0.5890561
0.6842105 0.9021104 0.1613807 0.3308814 0.4442582
1 1 0 0 0
0.6470588 0.9924918 0.2292312 0.3286829 0.3770864
0.5434783 0.9900123 0.09338245 0.3292189 0.4124329
0.8333333 0.9505468 0.0774359 0.1693718 0.2296289
0.5806452 1 0.1176794 0.2881842 0.3001007
0.4615385 0.8908314 0.2458633 0.5412609 0.6618743
0.7317073 0.9800463 0.1652824 0.2711773 0.3771478
0.3333333 0.9907934 0.2198869 0.5121243 0.5423387
0.3235294 1 0.2539329 0.5620689 0.5804959
0.5277778 0.9916331 0.1728307 0.4351111 0.4861136
0.4074074 0.9110251 0.375935 0.5691211 0.6860831
0.725 0.9329936 0.08398106 0.2398026 0.4957091
0.4634146 0.974549 0.1419253 0.4514037 0.5289926
0.4324324 0.9675035 0.2404202 0.4642984 0.5426815
0.5675676 0.9138774 0.197062 0.3577698 0.4259113
0.6666667 0.9894835 0.06769866 0.2388526 0.2813454
0.5434783 0.9962915 0.1336631 0.3563889 0.4113145
0.7619048 0.9763579 0.05629588 0.1488824 0.159452
0.6296296 0.9785708 0.08357964 0.2965064 0.372968
0.6363636 0.8584956 0.1797628 0.4277783 0.5021296
0.7 0.9849093 0.08708134 0.275204 0.3464688
0.52 0.9825581 0.1757021 0.3630689 0.4306982
