reso  sja  d_qt  d_ci  d_rf
0.5581395 0.995609 0.1182033 0.3598166 0.4149693
0.4722222 0.9322612 0.2241918 0.4590018 0.6512265
0.6590909 0.9751555 0.1161355 0.3066523 0.4527759
0.6444444 0.9673063 0.1249629 0.3141959 0.4064488
0.5 0.9815333 0.2596586 0.460513 0.5671519
0.4 0.9756216 0.1695088 0.5186751 0.5518508
0.5641026 0.9970029 0.179992 0.3596308 0.4094468
0.5454545 0.9943089 0.2116206 0.3753097 0.445103
0.5172414 0.9325785 0.1940072 0.4625724 0.5650851
0.6222222 0.9967926 0.2245811 0.4002405 0.4661986
0.6578947 0.9930768 0.1680508 0.2646992 0.3034734
0.7058824 0.914556 0.1495098 0.3602642 0.4408524
0.6521739 0.9274907 0.1541472 0.3182147 0.3779966
0.8125 0.9908099 0.05908153 0.1876563 0.200364
0.6046512 0.9014445 0.138438 0.3583548 0.4732604
0.5 0.9793485 0.1873407 0.4189758 0.5263511
0.5909091 0.9900859 0.1707173 0.3852444 0.450594
0.5789474 1 0.2103896 0.3242623 0.356836
1 1 0 0 0
0.75 0.9373183 0.1507998 0.3052526 0.5054976
0.7659574 0.9585273 0.09882431 0.2606308 0.3538431
0.5833333 0.8607034 0.217151 0.4011374 0.5534143
0.875 0.9300467 0.1031137 0.2020836 0.2704442
0.6923077 0.8628124 0.1839923 0.3434788 0.4625694
0.7804878 0.9620967 0.1194676 0.2531962 0.3537245
0.7037037 0.9245265 0.1728334 0.296697 0.4916107
0.5882353 0.995883 0.2118556 0.3562633 0.3870852
0.8055556 0.8369725 0.1838854 0.3759231 0.5730079
0.5714286 0.8246753 0.2810619 0.4634656 0.5885553
0.825 0.9808165 0.03132315 0.1879434 0.2367966
0.6097561 0.9782843 0.1049348 0.3927823 0.5122642
0.5675676 0.9987492 0.1771364 0.3383263 0.3751175
0.7105263 0.9776168 0.04984134 0.2595638 0.2923612
0.8235294 0.9963551 0.02218782 0.1300511 0.1265227
0.7234043 0.9635486 0.08627924 0.2417357 0.357354
0.65 0.9061027 0.1498024 0.3333341 0.3779237
0.8214286 0.9256642 0.1065499 0.2339564 0.5370484
0.6818182 0.8769283 0.1484585 0.3496203 0.4410083
0.85 0.9868292 0.02501709 0.1551472 0.1613991
0.68 0.9699691 0.1652259 0.2827135 0.3380199
0.4791667 0.9943947 0.08637429 0.4113738 0.4392776
0.7333333 0.9630545 0.08837597 0.2476714 0.3862766
0.7021277 0.992501 0.09162831 0.2583717 0.3420052
0.5208333 0.9629668 0.1548676 0.3952914 0.4598589
0.5135135 0.9408501 0.210488 0.507301 0.704414
0.8148148 0.9296704 0.08423645 0.2309928 0.3376095
0.6829268 0.9853592 0.0473665 0.2159505 0.2442505
0.48 0.9634119 0.2668946 0.4959575 0.620479
0.5882353 0.9358313 0.2073593 0.4373526 0.6215341
0.7173913 0.9908996 0.06336725 0.2538762 0.3025766
0.5217391 0.9884456 0.1380602 0.3855406 0.4604004
0.6666667 0.989726 0.2132832 0.316168 0.3700489
0.7 0.9486008 0.07047163 0.2503394 0.261654
0.5333333 0.8438464 0.2792644 0.532432 0.7364305
0.6666667 0.8954305 0.1527597 0.2606475 0.3630831
0.8055556 0.8948329 0.1455463 0.3078688 0.4950961
0.5714286 1 0.1941743 0.3933922 0.4353456
0.6818182 0.9706647 0.142332 0.3486645 0.4218551
0.45 0.7365499 0.3604743 0.5526986 0.7304614
0.6756757 0.9795619 0.1177043 0.3266809 0.4217655
0.6666667 1 0.07919799 0.2190317 0.2284379
0.575 0.9693376 0.154327 0.3280971 0.4037264
0.52 0.9670257 0.2924786 0.4638035 0.5263441
0.6444444 0.9824704 0.07296485 0.3348599 0.4045639
0.6818182 0.9916357 0.06776971 0.2533285 0.2923775
0.4634146 0.8478946 0.3094036 0.5047754 0.6550989
0.8235294 0.9728721 0.1078431 0.2206799 0.3085957
0.6818182 0.8145558 0.2119763 0.3810571 0.6515031
0.8148148 0.9854612 0.05012421 0.1512035 0.2188661
0.5 0.8431464 0.2830828 0.5579444 0.806217
0.6829268 0.9208333 0.1538125 0.3262834 0.4779803
0.5 1 0.228462 0.4409639 0.4889762
0.675 0.9536746 0.1308403 0.3008184 0.3822568
0.6666667 0.9545491 0.1186957 0.2914534 0.3688702
0.5384615 0.9888818 0.2408109 0.3824527 0.410544
0.8571429 1 0.02380952 0.07695838 0.06262106
0.5641026 0.9919918 0.1289601 0.3226506 0.355291
0.8 0.8755259 0.15 0.2866983 0.4084332
0.6097561 0.8808833 0.2302524 0.4613254 0.7973294
0.7368421 0.9144376 0.1801777 0.2839188 0.3868205
0.5526316 0.9366926 0.2086057 0.4397757 0.5412447
0.75 0.9679407 0.1351891 0.2132019 0.3042977
0.7692308 0.9539483 0.06873492 0.2488088 0.4178144
0.7428571 0.9573145 0.06675472 0.1776972 0.290025
0.3684211 0.9628123 0.3911141 0.6131661 0.691296
0.7692308 0.9743333 0.04578849 0.2302657 0.3144563
0.7 0.9456443 0.09307185 0.3093024 0.4394118
0.6 0.9141831 0.1484472 0.3792908 0.5080387
