reso  sja  d_qt  d_ci  d_rf
0.6744186 0.9827223 0.08995006 0.2616186 0.3394222
0.3611111 0.9786315 0.1914566 0.5347688 0.5477794
0.6888889 0.9901549 0.05255796 0.2110184 0.2904967
0.6363636 0.9696946 0.1220138 0.2674358 0.3706017
0.5 0.9732119 0.2686458 0.4221338 0.5366059
0.6 0.8586735 0.2013552 0.4452421 0.5582111
0.6666667 0.8694338 0.2542884 0.3996843 0.5832711
0.7391304 0.9873677 0.066917 0.2261751 0.2806223
0.5172414 1 0.09620412 0.3216871 0.3239997
0.673913 0.9818194 0.1036566 0.2872849 0.3702499
0.8717949 0.9309972 0.0751654 0.1917935 0.298381
0.9375 0.9498382 0.06965944 0.1850387 0.2294698
0.6086957 0.9885205 0.06732441 0.2259763 0.2716282
0.8125 0.9383886 0.09429825 0.2116172 0.2398636
0.4418605 0.8667472 0.2972209 0.5483685 0.7470587
0.6382979 0.971822 0.09679482 0.3156583 0.4828015
0.5909091 0.9846353 0.09776327 0.3519045 0.4563029
0.7368421 0.9066274 0.1410116 0.2636742 0.4395118
0.875 1 0.05714286 0.09015674 0.1037506
0.6470588 1 0.2251032 0.2954397 0.3352852
0.5869565 0.9670284 0.1717514 0.3818671 0.5579215
0.625 0.9630339 0.1417094 0.3686246 0.442033
0.5483871 0.9436288 0.1057983 0.3096608 0.4493137
0.5185185 1 0.1205844 0.3221812 0.3174204
0.6585366 0.93828 0.2011912 0.3420877 0.5082048
0.4444444 0.9842613 0.1867542 0.3915741 0.4461545
0.7142857 0.9784653 0.06468317 0.2174876 0.3008332
0.7428571 0.9044936 0.1372079 0.2791788 0.4290759
0.7857143 0.9924046 0.03634373 0.1748392 0.194731
0.7 0.9382048 0.1007415 0.2791647 0.4329367
0.4878049 0.9489303 0.1489639 0.439547 0.4946825
0.7027027 0.8388643 0.2137433 0.3475649 0.4149998
0.8108108 0.960263 0.05501696 0.2242026 0.4294198
0.7058824 0.9834655 0.05944272 0.2222116 0.2774409
0.5217391 0.9953383 0.2071211 0.4280197 0.4812232
0.7142857 0.9974693 0.05601355 0.1473435 0.1380276
0.5185185 0.9402434 0.1435322 0.3741097 0.4737528
0.5217391 0.9782258 0.07810277 0.303054 0.3386355
0.6315789 0.9412773 0.1127136 0.3328827 0.4422523
0.76 0.8895276 0.1955311 0.2928755 0.4472397
0.4255319 0.9401353 0.2047959 0.5333984 0.7171386
0.7586207 0.9202323 0.1378476 0.2819128 0.4254295
0.6170213 0.9834633 0.1197959 0.2913543 0.333615
0.4893617 0.9840593 0.140432 0.3843895 0.4666056
0.5405405 0.9949351 0.1610515 0.3769671 0.4240247
0.6428571 0.9910215 0.05099434 0.2409228 0.2469606
0.5853659 0.9592176 0.0875861 0.3773005 0.4950808
0.52 0.9470373 0.2489459 0.5038573 0.6359351
