reso  sja  d_qt  d_ci  d_rf
0.744186 0.977847 0.08904311 0.2268609 0.3426647
0.6944444 0.9408117 0.09298975 0.3257554 0.5601569
0.6818182 0.9870744 0.05443613 0.2277226 0.3091002
0.6590909 0.9890962 0.1207636 0.275425 0.3208246
0.5909091 0.9378694 0.273201 0.3887195 0.521568
0.7142857 0.8512198 0.2024845 0.4214833 0.5473318
0.7179487 0.7952121 0.3330876 0.4213943 0.5789601
0.8636364 0.9545376 0.08426877 0.2786982 0.3603261
0.4482759 1 0.1103587 0.3949748 0.4013715
0.7555556 0.9778111 0.09661579 0.2335367 0.3487486
0.8205128 0.9441483 0.06889503 0.1782881 0.2699374
0.875 0.9831744 0.05546956 0.1748032 0.2081277
0.6666667 0.9847798 0.09946488 0.2429971 0.2632683
0.8125 0.9460119 0.07585139 0.1719724 0.2398636
0.6046512 0.9356606 0.2178785 0.3768072 0.5266166
0.5531915 0.9644634 0.1421539 0.3868227 0.5399912
0.6976744 0.927766 0.1252719 0.3140085 0.4842432
0.7368421 0.8856539 0.1505126 0.2895123 0.4275923
0.8571429 1 0.05714286 0.09015674 0.1037506
0.6470588 1 0.2251032 0.2954397 0.3352852
0.7391304 0.9417914 0.1378047 0.3124701 0.5022854
0.72 0.9954833 0.06245014 0.2289825 0.2533585
0.7096774 0.9412807 0.08094704 0.2450883 0.4097435
0.6153846 0.9263202 0.1543093 0.3366837 0.4195292
0.5853659 0.9686223 0.22783 0.3970796 0.5141394
0.4814815 0.9658334 0.2218938 0.4251623 0.5163371
0.7142857 0.9784653 0.06468317 0.2174876 0.3008332
0.6666667 0.995364 0.09758179 0.2757208 0.3511963
0.7857143 0.9695836 0.08762999 0.2256646 0.268684
0.65 0.9375736 0.1018404 0.2893978 0.4631767
0.5609756 0.9226094 0.1716746 0.4493238 0.5804018
0.6486486 0.8420724 0.2119652 0.3548842 0.4523176
0.7567568 0.9653179 0.05268082 0.2409871 0.4229317
0.7647059 0.9682018 0.05933953 0.2448581 0.3069535
0.6086957 0.9441412 0.1267534 0.3405791 0.4449007
0.8095238 0.9590024 0.07391304 0.1924414 0.2120755
0.4814815 1 0.1037037 0.3692693 0.3757894
