reso  sja  d_qt  d_ci  d_rf
0.7674419 0.9859482 0.1047645 0.2269953 0.3402082
0.4722222 0.928428 0.1628248 0.4362098 0.5783208
0.6444444 0.9418523 0.1336613 0.3869055 0.7230331
0.6363636 0.969039 0.1004681 0.3182742 0.4820758
0.5909091 0.9883837 0.1238023 0.3241065 0.3841639
0.55 0.9025862 0.1835686 0.4227631 0.5587481
0.7692308 0.9873705 0.1004154 0.1972946 0.2648191
0.7391304 0.9979335 0.08094862 0.223064 0.2453111
0.4482759 0.9875308 0.1868604 0.4546505 0.5254282
0.5869565 0.9411425 0.2017062 0.4422032 0.587716
0.6052632 0.9803749 0.2406488 0.3659504 0.5203502
0.625 0.9034769 0.2994066 0.4715977 0.5775337
0.7391304 0.9221817 0.1360201 0.3024666 0.3985755
0.8125 0.9010741 0.1339009 0.2920567 0.38326
0.4651163 0.9382335 0.2361737 0.5125047 0.6692924
0.3695652 0.9962917 0.3894613 0.6405915 0.7085708
0.6511628 0.9425447 0.1061587 0.2867733 0.4670599
0.5789474 0.9640425 0.2671224 0.4112109 0.5150931
1 1 0 0 0
0.75 0.9167785 0.1795666 0.2766555 0.4093375
0.6595745 0.9934478 0.1282071 0.3180525 0.4027934
0.7083333 0.9039611 0.1496011 0.3697666 0.4478258
0.7096774 0.9724368 0.09640762 0.2004843 0.2143926
0.6666667 0.9933684 0.1053219 0.2306347 0.2942555
0.625 0.9830956 0.1827486 0.3314016 0.4304448
0.5714286 0.9812258 0.1819923 0.3611245 0.4557044
0.4705882 0.9880056 0.2320236 0.4375888 0.4891883
0.5555556 0.9993541 0.1334349 0.3502182 0.3665901
0.5185185 0.982235 0.3226966 0.4948812 0.5815318
0.7179487 0.992446 0.08648262 0.2582496 0.2880447
0.5853659 0.9649123 0.07346539 0.3058073 0.4305283
0.5789474 0.9978688 0.1319072 0.3354405 0.3610094
0.7297297 0.9954688 0.02619543 0.17356 0.2333057
0.7777778 0.9722477 0.0750258 0.1988908 0.2766476
0.7446809 0.9723623 0.09989569 0.1998776 0.2855769
0.6666667 0.9603832 0.09841897 0.2354733 0.3510383
0.8571429 0.9315705 0.08668126 0.1707093 0.274758
0.3913043 0.982172 0.1493676 0.5834343 0.6105551
0.5263158 1 0.2191388 0.3967528 0.4422589
0.32 0.9866852 0.4143101 0.6659549 0.7456535
0.5531915 0.9235849 0.1554451 0.4376048 0.5331126
0.7333333 0.9899537 0.06194383 0.2364536 0.2684591
0.5625 0.9934298 0.2012918 0.38906 0.4746956
0.5319149 0.9838753 0.1094876 0.3987148 0.4421569
0.5945946 0.9491924 0.1722453 0.3481327 0.5292217
0.5357143 0.9436923 0.1089582 0.3527238 0.4117144
0.7317073 0.9771257 0.06308646 0.2186151 0.2878192
0.84 0.7804834 0.2322222 0.2360141 0.4438258
0.5294118 0.9598384 0.3009592 0.4884833 0.5643151
0.7555556 0.9667033 0.07441926 0.2045866 0.3161758
0.75 0.9759092 0.08772575 0.2618706 0.2906666
0.5555556 0.993205 0.2817043 0.3777236 0.4399625
0.6 0.8615654 0.3307587 0.4568793 0.5366656
0.5806452 0.9868921 0.3057429 0.4129529 0.4821053
0.65625 0.9822145 0.1509931 0.2650753 0.3157366
0.6944444 0.9524784 0.1018018 0.2800955 0.4321943
0.452381 0.902566 0.3728011 0.5910463 0.7324222
0.5909091 0.9667104 0.218498 0.3807509 0.4948549
0.35 0.7783586 0.4398645 0.6521715 0.7523107
0.6756757 0.8982449 0.1591148 0.3699097 0.4873386
0.8333333 0.9495502 0.07418546 0.2149368 0.2439894
