reso  sja  d_qt  d_ci  d_rf
0.7674419 0.9870839 0.09234611 0.2099424 0.3443865
0.4722222 0.928428 0.1628248 0.4362098 0.5783208
0.6666667 0.9295794 0.1361394 0.3694212 0.72967
0.6363636 0.969039 0.1004681 0.3182742 0.4820758
0.6363636 0.9883755 0.08827124 0.2957882 0.3391361
0.5714286 0.9025862 0.1835686 0.4227631 0.5587481
0.7692308 0.9873705 0.1004154 0.1972946 0.2648191
0.7391304 0.9979335 0.08094862 0.223064 0.2453111
0.5172414 0.8946013 0.2101502 0.458489 0.5482692
0.6304348 0.916682 0.1860751 0.3814277 0.615469
0.5263158 0.999037 0.3055396 0.4364179 0.4844605
0.6875 0.9290888 0.2096233 0.4051581 0.4818433
0.9130435 0.9067596 0.1095652 0.2598564 0.3667016
0.6875 0.8973607 0.1504128 0.3429313 0.4552252
0.4883721 0.9377893 0.2368998 0.5097351 0.6589412
0.4680851 0.9113175 0.1943637 0.4919107 0.7282392
0.627907 0.9765362 0.1166743 0.3001577 0.4546243
0.7368421 0.9787508 0.09343814 0.2315862 0.2810443
1 1 0 0 0
0.625 0.9659936 0.1606037 0.2715034 0.3680354
0.6382979 0.9940081 0.1279947 0.3192273 0.3979783
0.7083333 0.9039611 0.1496011 0.3697666 0.4478258
0.7419355 0.9744973 0.06189624 0.1691843 0.1712233
0.7407407 0.9935011 0.0971538 0.1788688 0.2352222
0.65 0.9853277 0.1794344 0.3323864 0.4151377
0.6071429 0.8787146 0.2028462 0.3507104 0.4813532
0.4705882 0.9880056 0.2320236 0.4375888 0.4891883
0.5555556 0.9993541 0.1334349 0.3502182 0.3665901
0.7037037 0.9064629 0.160354 0.300651 0.4356174
0.7179487 0.992446 0.08648262 0.2582496 0.2880447
0.6097561 0.9650358 0.07184477 0.2963047 0.4237611
0.6052632 0.9978857 0.1289474 0.3230139 0.3524596
0.7297297 0.9954688 0.02619543 0.17356 0.2333057
0.7777778 0.9722477 0.0750258 0.1988908 0.2766476
0.787234 0.9728179 0.0927972 0.1817148 0.2611979
0.6666667 0.9731935 0.08735178 0.2056801 0.2536299
0.8571429 0.9315705 0.08668126 0.1707093 0.274758
0.4782609 0.9835852 0.1180632 0.4703085 0.4892203
0.5789474 0.9185013 0.2297334 0.3962603 0.4620453
0.6 0.9271593 0.3026618 0.4193798 0.5339823
0.5531915 0.9345049 0.1512961 0.4416116 0.5280584
0.7666667 0.9900185 0.05903782 0.1996151 0.2243246
0.5625 0.9934298 0.2012918 0.38906 0.4746956
0.5744681 0.9840614 0.1047764 0.3530599 0.3946471
0.6216216 0.9468496 0.173148 0.3508333 0.5321965
0.6428571 0.9473969 0.07792374 0.2672844 0.3262129
0.7804878 0.9808104 0.03810874 0.163268 0.2265228
0.84 0.7804834 0.2322222 0.2360141 0.4438258
0.6363636 0.9511616 0.28703 0.4350624 0.5565617
0.7555556 0.9677469 0.07434988 0.2236706 0.3226795
0.7826087 0.9644011 0.05759197 0.1933718 0.26317
0.6111111 0.995173 0.1914787 0.3111044 0.3578226
0.65 0.8104146 0.3321258 0.4559956 0.5539818
0.6129032 0.883094 0.2666422 0.4003323 0.5029802
0.6666667 0.9822286 0.1507066 0.2650753 0.3157366
0.6944444 0.9544408 0.101497 0.283817 0.4037989
0.4285714 0.9614889 0.3533004 0.5835945 0.6773598
0.6363636 0.9721338 0.1598024 0.3244248 0.4249266
0.45 0.8422893 0.3784303 0.5602675 0.6718637
0.7027027 0.8985095 0.1579987 0.3572722 0.4778333
0.8888889 0.9475998 0.07468672 0.2253244 0.2548993
0.5853659 0.9947987 0.1037882 0.35207 0.3979651
0.8076923 0.9985256 0.08715507 0.1667288 0.1802178
