reso  sja  d_qt  d_ci  d_rf
0.627907 0.9637748 0.1201244 0.2972526 0.4431355
0.4864865 0.9797793 0.1881618 0.4403746 0.5567521
0.5777778 1 0.06918117 0.2974126 0.3041852
0.5 0.9944466 0.1116447 0.4051728 0.4443888
0.6136364 0.9817106 0.2675749 0.4079331 0.4962483
0.4 0.9670681 0.2853755 0.5441806 0.5986957
0.5897436 0.939735 0.259841 0.3872698 0.4918434
0.6521739 0.9956549 0.1212648 0.2685863 0.3171851
0.5172414 0.9836924 0.122233 0.3828919 0.4695021
0.5869565 0.9504453 0.1683215 0.4334719 0.6051899
0.5789474 0.9457317 0.2534413 0.375566 0.5750985
0.8125 0.9583222 0.05740454 0.2187618 0.2384231
0.6521739 0.8977631 0.1705351 0.357128 0.5906444
0.8125 0.9224891 0.1006192 0.2439077 0.315953
0.5581395 0.9843761 0.2176854 0.4173128 0.4959991
0.7021277 0.9952337 0.05471597 0.2308862 0.2763235
0.7209302 0.9295178 0.13485 0.3099733 0.4487258
0.6842105 0.9521995 0.1430622 0.2752627 0.3222981
1 1 0 0 0
0.5625 0.9513005 0.2896027 0.4211495 0.6243443
0.6521739 0.9939088 0.1050497 0.2880746 0.3681936
0.5833333 0.9951671 0.09133903 0.3340523 0.3769685
0.6451613 0.9675825 0.1062511 0.2696592 0.3145
0.6153846 0.9728584 0.1288367 0.3418705 0.4035398
0.7317073 0.9739429 0.1795884 0.2853102 0.3826038
0.4074074 0.9745648 0.3338807 0.5330312 0.6073505
0.3529412 1 0.250299 0.5309871 0.5497488
0.5142857 0.9695329 0.194554 0.419157 0.4704331
0.8518519 0.9516447 0.09817552 0.1531133 0.2041609
0.8 0.9822576 0.03083177 0.1607439 0.2485474
0.6341463 0.9939177 0.08544688 0.3095379 0.3963109
0.5675676 0.7965174 0.2503173 0.435028 0.6090291
0.5405405 0.9613914 0.3323613 0.4784342 0.6582497
0.6666667 0.992596 0.06057792 0.2234526 0.237681
0.7446809 0.9467074 0.09342493 0.2088012 0.3508549
0.7619048 0.9403038 0.08102767 0.1863166 0.2558994
0.6666667 0.9719247 0.09640577 0.2724655 0.3639349
0.6363636 0.9602838 0.1051383 0.3225493 0.3571005
0.4210526 0.9886271 0.1710868 0.4886611 0.5484202
0.64 0.9251838 0.2429792 0.3982388 0.5119281
0.5531915 0.970794 0.09417065 0.3495189 0.5062088
0.6333333 0.9878677 0.1153226 0.3549926 0.4249123
0.5531915 0.9931291 0.2079939 0.3841237 0.4557096
0.3958333 0.9717226 0.2187321 0.5180045 0.7263526
0.6756757 0.9774855 0.1015538 0.25052 0.2891484
0.4814815 0.9969951 0.1861704 0.4419197 0.5062153
0.6 0.9920601 0.05105745 0.2858936 0.3095788
0.72 0.9163368 0.1943305 0.3282684 0.4086273
0.7352941 0.9576646 0.08028181 0.2519576 0.4238447
0.8888889 0.9874448 0.04188252 0.1541399 0.2054357
0.5217391 0.9758327 0.1865552 0.4545903 0.5521012
0.6842105 0.9777397 0.2203008 0.3166807 0.3755633
0.6315789 0.977552 0.1015721 0.2684869 0.3408282
0.6451613 0.9151982 0.2391618 0.3780485 0.4844278
0.6875 0.9495502 0.187882 0.2914512 0.386283
0.7714286 0.9951004 0.0742532 0.1700917 0.2293912
0.5 0.994831 0.1903084 0.434589 0.5071014
0.9130435 0.9581859 0.04956522 0.1184809 0.1657699
0.4 0.7956502 0.3526256 0.582585 0.7626437
0.7567568 0.9405965 0.1738265 0.3457707 0.4918796
0.8888889 0.9385113 0.06984127 0.257704 0.2792661
0.6 0.8813211 0.1617981 0.4105115 0.723071
0.6538462 0.9859626 0.2159463 0.3443981 0.4349136
0.6888889 0.9664904 0.06429489 0.2377091 0.3296297
0.5681818 0.9790181 0.1489843 0.3809043 0.5170772
0.45 0.9804116 0.3589012 0.5254526 0.6324888
0.7222222 0.7642802 0.2889577 0.3809685 0.5516826
0.4545455 0.9797281 0.1875889 0.4588688 0.4826689
0.6923077 0.9065411 0.161909 0.2907081 0.4371591
0.6153846 0.9621585 0.1246263 0.3097074 0.4738173
0.5365854 0.9344592 0.1320598 0.3984575 0.561008
0.4285714 0.9438313 0.2050356 0.5229929 0.7173756
0.675 0.9830061 0.09696135 0.2574803 0.3787793
0.4347826 0.9419761 0.1759532 0.4186363 0.4984489
0.7777778 0.9871179 0.1242685 0.1934697 0.2565031
0.8333333 0.9482759 0.08730159 0.156556 0.2267777
0.4871795 0.9895949 0.2048915 0.406839 0.4986807
0.6 0.9840491 0.1132353 0.290687 0.346654
0.4390244 1 0.2017628 0.4817351 0.5138505
0.4210526 0.8802372 0.3684894 0.5573116 0.6840005
0.5263158 0.945918 0.3381406 0.4507278 0.5305977
0.6136364 0.9011159 0.1817901 0.3552805 0.5422988
0.6666667 0.9944718 0.0724694 0.2806844 0.312435
0.4857143 0.9993807 0.1176522 0.3718205 0.3875882
0.4736842 0.9616919 0.3418319 0.4996404 0.5919312
0.7631579 0.9687388 0.04900267 0.1641501 0.3027192
0.5806452 0.9966507 0.07964321 0.3116908 0.3697752
0.8 0.8767978 0.1656691 0.3722776 0.5844447
0.6923077 0.9230769 0.1227738 0.2624154 0.4423593
0.625 0.9196014 0.2168946 0.3836394 0.5707061
0.6511628 0.9910943 0.08604345 0.3230003 0.37557
0.5714286 0.9747828 0.2497799 0.430791 0.5364799
0.5106383 0.9894072 0.2937142 0.4649746 0.5919459
0.8125 0.7941535 0.250774 0.2915703 0.3842697
0.425 0.9568702 0.2667004 0.5396135 0.6560211
0.5217391 0.9989078 0.3059573 0.417463 0.4564084
0.5666667 0.9876339 0.1974096 0.3917785 0.4310274
0.7857143 0.9687601 0.0865406 0.217681 0.2601377
0.6052632 0.996458 0.106932 0.3355447 0.403405
0.5806452 1 0.2281137 0.3323248 0.3615682
