reso  sja  d_qt  d_ci  d_rf
0.6744186 0.8028942 0.2197414 0.3789767 0.5457852
0.6111111 0.9053905 0.1923259 0.4147747 0.630555
0.5111111 0.9984292 0.1441931 0.3922164 0.4378689
0.6136364 0.8676658 0.1531102 0.3570422 0.4175799
0.6590909 0.9691039 0.2786757 0.4243704 0.5590002
0.6 0.89591 0.2813665 0.4783901 0.5839455
0.6666667 0.6367976 0.3873403 0.4834389 0.7192774
0.7391304 0.9816039 0.1026482 0.2314777 0.2643508
0.5862069 0.8281198 0.2269744 0.4273331 0.5259799
0.6304348 0.9392674 0.1701408 0.4467917 0.6674508
0.5526316 0.9400981 0.3342994 0.4747756 0.6004968
0.9375 0.9326573 0.07069143 0.2396332 0.2634977
0.75 0.8707629 0.1758863 0.3309256 0.5862125
0.9375 0.960251 0.04592363 0.1832845 0.196622
0.6363636 0.7713171 0.2975825 0.4234265 0.5287341
0.7446809 0.9871297 0.06090591 0.2487683 0.3172364
0.75 0.924667 0.1403193 0.3291527 0.4781342
0.5263158 1 0.2515379 0.3825681 0.4239658
0.75 1 0.102381 0.1684849 0.1699871
0.6875 0.7756806 0.3040506 0.3970852 0.6676995
0.8043478 0.9511963 0.0845117 0.2143828 0.348492
0.875 0.9655194 0.07458689 0.2352962 0.305228
0.65625 0.9827394 0.09896283 0.2591538 0.3311089
0.5769231 0.8127418 0.2447476 0.4307128 0.6249025
0.7317073 0.9721136 0.1820071 0.3273458 0.4294386
0.7037037 0.9306764 0.135249 0.3054404 0.4246321
0.5 0.9848629 0.2381028 0.4692274 0.5263747
0.7777778 0.8112568 0.2087177 0.32193 0.5657469
0.8571429 0.9372038 0.1397555 0.2336644 0.30483
0.9 0.9725912 0.03878764 0.1606627 0.281429
0.804878 0.8553062 0.1594058 0.3561146 0.5318904
0.6216216 0.9915268 0.1312124 0.3178143 0.4024798
0.7837838 0.8327474 0.2007167 0.3537635 0.7307524
0.7222222 0.9129837 0.1277606 0.3233279 0.4407311
0.8085106 0.9371873 0.0950556 0.2122427 0.4261004
0.9 0.9327221 0.07363072 0.1594411 0.2644637
0.7857143 0.9329363 0.1127349 0.286525 0.3870659
0.7391304 0.8925354 0.1520553 0.357974 0.435233
0.6842105 0.8616583 0.1637047 0.3756832 0.484486
0.4 0.9399563 0.3819048 0.6067475 0.71069
0.625 0.9116423 0.1430938 0.3536731 0.5423304
0.7666667 0.8680619 0.1640156 0.3405637 0.4952652
0.7234043 0.8478618 0.2113548 0.2965345 0.4140171
0.3617021 0.994223 0.3057208 0.6294936 0.6834392
0.6756757 0.9470858 0.1073531 0.3105633 0.4180575
0.7407407 0.9300903 0.1022076 0.3222017 0.379107
0.625 0.9835256 0.05241066 0.3163165 0.3413532
0.84 0.8007822 0.2063818 0.2866355 0.4581551
0.6764706 0.9518014 0.08911807 0.3067829 0.4502026
0.9111111 0.9399396 0.06719601 0.156085 0.2269198
0.6521739 0.9349358 0.1986288 0.4540901 0.5698508
0.7222222 0.9669291 0.2027569 0.3043489 0.4072409
0.7368421 0.933608 0.1259057 0.2965384 0.3662438
0.7 0.9060081 0.2372556 0.3612383 0.4900413
0.6363636 0.9286338 0.2282563 0.3911594 0.5241241
0.8571429 0.9769928 0.05566619 0.1281569 0.2667466
0.452381 0.9149411 0.2979865 0.5270461 0.6891397
1 0.9348617 0.06513834 0.1254636 0.2191391
0.55 0.6579757 0.3898363 0.5316326 0.7500481
0.8157895 0.8289548 0.2115932 0.3874181 0.5206525
0.8888889 0.9321126 0.08203843 0.2850272 0.3670495
0.7073171 0.8982381 0.1245442 0.3558812 0.5749397
0.68 0.9929464 0.1723321 0.3227141 0.3822284
0.6222222 0.9889255 0.1219961 0.3653943 0.4588828
0.6744186 0.9701011 0.07663388 0.2898908 0.4968754
0.5121951 0.9929135 0.3297869 0.4812964 0.5502455
0.7222222 0.7944557 0.2303406 0.3797599 0.5051701
0.5454545 0.956242 0.1356917 0.3317214 0.4102957
0.7692308 0.8214415 0.2018231 0.2896013 0.4661438
0.7307692 0.9253129 0.1451518 0.3507792 0.553006
0.6097561 0.9334839 0.140645 0.4074195 0.5659145
0.4642857 0.9356132 0.1867178 0.4931465 0.5879603
0.675 0.9823337 0.09558383 0.2822609 0.4081174
0.5217391 0.9400318 0.1672241 0.3961958 0.5643748
0.8076923 0.9746114 0.1284999 0.1997004 0.2628836
0.8571429 0.9482759 0.08730159 0.156556 0.2267777
0.6923077 0.9107228 0.1238765 0.3077012 0.4536273
0.7333333 0.9178328 0.1194444 0.2428043 0.3570593
0.5365854 0.9980956 0.1955787 0.4209152 0.4722891
0.5263158 0.9119698 0.3061517 0.4327837 0.5375558
0.6578947 0.8542832 0.199921 0.3621822 0.5742032
