reso  sja  d_qt  d_ci  d_rf
0.6744186 0.9356426 0.1311487 0.2739011 0.4474991
0.6666667 0.9843711 0.1039866 0.2411936 0.274666
0.6818182 0.9829886 0.03742326 0.1931396 0.248589
0.7777778 0.9721136 0.04154963 0.199587 0.2474227
0.7111111 0.9725496 0.09444958 0.217736 0.3064228
0.8095238 0.909327 0.1084698 0.2387626 0.4108204
0.7179487 0.9356925 0.1581256 0.3073431 0.4201172
0.6363636 0.9294445 0.1583794 0.3300235 0.4164379
0.4137931 1 0.3761402 0.561178 0.6228376
0.6444444 0.9628178 0.1418311 0.3614364 0.4675868
0.6842105 0.9902686 0.1209193 0.234648 0.3009093
0.8125 0.9560316 0.08255934 0.2441537 0.2880793
0.7826087 0.9228702 0.1420736 0.3063772 0.415985
0.75 0.9636872 0.07172343 0.1668422 0.2173578
0.6590909 0.9897236 0.04793333 0.2805247 0.3422243
0.6956522 0.9824096 0.0669047 0.2784227 0.3436655
0.6818182 0.9589526 0.09636302 0.2366117 0.3173443
0.6842105 0.9724507 0.185851 0.3335811 0.4530224
0.875 1 0.05714286 0.09015674 0.1037506
0.9375 0.9452269 0.05959752 0.1034625 0.1304663
0.787234 0.9442834 0.07893768 0.2073956 0.3229004
0.68 0.9724138 0.1135897 0.2943389 0.3292889
0.8709677 0.9482337 0.09260178 0.1665214 0.2974939
0.6296296 0.9843197 0.1254684 0.3051251 0.3214064
0.85 0.9759194 0.07080869 0.1506605 0.2384
0.3333333 0.9338694 0.3858055 0.6536689 0.7539893
0.7142857 0.997403 0.06500871 0.1989736 0.2051744
0.7428571 0.9596678 0.06737113 0.2323488 0.3062005
0.8214286 0.9596484 0.1221675 0.1723497 0.2101682
0.8 0.9668248 0.04905298 0.2066855 0.2740888
0.6829268 0.9811588 0.08162002 0.3104795 0.3380223
0.6486486 0.9911943 0.1038735 0.255805 0.3049545
0.8684211 0.9098516 0.1125178 0.1839819 0.2550209
0.8333333 0.9900177 0.04406605 0.133167 0.1265227
0.6808511 0.9873493 0.0947205 0.2602196 0.3410099
0.85 0.9511269 0.07052513 0.1685313 0.2456881
0.8571429 0.9550949 0.07546068 0.1571566 0.2828377
0.5 0.9854531 0.1095652 0.4252068 0.453145
0.8947368 0.9866686 0.03089542 0.1441192 0.1499972
0.7692308 0.9652375 0.08820513 0.1850358 0.2189942
0.6595745 0.992241 0.06447677 0.260907 0.3257474
0.7931034 0.9919444 0.03128476 0.1427979 0.160824
0.75 0.9928521 0.0763591 0.1950911 0.2651332
0.6382979 0.9791023 0.09015849 0.2783855 0.4077078
0.5675676 0.9503759 0.1794343 0.3762359 0.5611257
0.7777778 0.9395258 0.08733808 0.2247429 0.3109008
0.7073171 0.9803786 0.05602058 0.2083063 0.2758492
0.72 0.9879013 0.1553276 0.2472093 0.303188
0.8235294 0.9469327 0.07564723 0.2522455 0.3654563
0.7391304 1 0.01453901 0.1288199 0.1227883
0.8333333 0.9755704 0.06638796 0.2179842 0.2766114
0.7777778 0.942933 0.1654135 0.2361193 0.2843218
0.85 0.9870895 0.02549556 0.1427479 0.1611801
0.8387097 0.920328 0.1016129 0.1697232 0.2402452
0.6666667 0.9814163 0.1576299 0.2755354 0.3180825
0.75 0.9990188 0.03149089 0.1650494 0.1669309
0.7142857 0.9799807 0.07228095 0.2939677 0.3947953
0.8181818 0.9898853 0.07118577 0.1822665 0.2060661
0.8095238 0.9541692 0.07250141 0.217448 0.2384195
0.7567568 0.9650356 0.09309005 0.2287101 0.3653278
0.9473684 0.9259132 0.08504595 0.1170863 0.1652693
0.65 0.9576176 0.09482619 0.2987171 0.5200715
0.5384615 0.9952633 0.1476435 0.3836178 0.4145565
0.8695652 0.9970764 0.01679515 0.134155 0.1430662
0.6136364 0.9766578 0.1130772 0.3259603 0.4416589
0.6829268 0.9531323 0.1067174 0.2360801 0.3742437
0.8235294 0.9846121 0.03199174 0.1306358 0.2057154
0.6818182 0.9687112 0.111581 0.2702471 0.2861206
0.7692308 1 0.03829312 0.1459133 0.1520098
0.7307692 0.9610866 0.08692266 0.1948029 0.3789621
0.7073171 0.9924174 0.1116522 0.2314111 0.2793589
0.5925926 0.9615141 0.1271848 0.3314632 0.4553579
0.675 0.9949145 0.0788996 0.2488577 0.3237217
0.75 0.9484694 0.08842809 0.2393961 0.3560386
0.7692308 0.8800735 0.1514673 0.191541 0.259986
0.8571429 1 0.02380952 0.07695838 0.06262106
0.75 0.9982653 0.02011525 0.1573348 0.162192
0.9333333 0.98203 0.02663399 0.1142882 0.1317658
0.7619048 0.9947047 0.09534368 0.2030878 0.2247114
0.8 0.940049 0.08257006 0.1632854 0.2478426
0.7179487 0.9789764 0.09550212 0.2186829 0.2844787
0.6136364 0.9804983 0.1535531 0.330873 0.4053988
0.7 0.9928992 0.0292951 0.1799342 0.2174546
0.8285714 0.9773263 0.04196979 0.150532 0.1604513
0.6315789 0.9827756 0.231784 0.371337 0.4307339
0.7692308 0.9925622 0.03308976 0.194405 0.2324671
0.6333333 0.9866767 0.07508553 0.2845817 0.344607
0.65 0.9434912 0.1118012 0.2924918 0.4736561
0.9230769 0.9735965 0.03932466 0.1356946 0.1945743
0.68 0.9944317 0.04464387 0.2187485 0.2263306
0.7209302 0.9834063 0.1515274 0.2679882 0.3323947
0.8571429 0.9453155 0.07173339 0.1894237 0.2710886
0.6521739 0.972297 0.2532141 0.3555627 0.4584314
0.6875 0.7796713 0.2628999 0.3416356 0.442816
0.7 0.9894442 0.1227777 0.3086606 0.3702467
0.5434783 0.9980549 0.2921355 0.3903362 0.4217865
0.7741935 0.978022 0.04820381 0.1646583 0.2586024
0.8214286 0.9962719 0.06001907 0.1351772 0.1505117
0.6923077 0.9238392 0.1532487 0.296585 0.3952569
0.625 0.9614131 0.255822 0.3605805 0.5884895
