reso  sja  d_qt  d_ci  d_rf
0.6511628 0.9617474 0.1212673 0.3278352 0.4396942
0.7222222 0.9765204 0.05807832 0.2508125 0.3257443
0.8181818 0.976641 0.03793625 0.1807799 0.2602141
0.6818182 0.9924571 0.03074594 0.2549767 0.2885518
0.7111111 0.9716763 0.0949822 0.2262298 0.321866
0.8095238 0.940875 0.08232637 0.2196772 0.4027294
0.6923077 0.92989 0.1569061 0.3204965 0.425937
0.7727273 0.9724713 0.08347826 0.2566613 0.3252283
0.5862069 0.9496499 0.142881 0.3642634 0.5338122
0.6521739 0.9775305 0.1877351 0.4286909 0.5046022
0.8157895 0.9830345 0.1232645 0.2081884 0.2972371
0.9375 0.9409326 0.06088751 0.19534 0.2171897
0.7826087 0.9262372 0.1030435 0.2279172 0.2939527
0.9375 0.954323 0.06888545 0.1966375 0.237275
0.6744186 0.8395526 0.1887398 0.3758338 0.5650377
0.673913 0.987188 0.06854717 0.2982377 0.3931445
0.7674419 0.9457179 0.08925453 0.3216174 0.4068489
0.7368421 0.9872445 0.06657553 0.2108969 0.2837728
0.875 1 0.05714286 0.09015674 0.1037506
0.875 0.9443561 0.06733746 0.1012889 0.1849804
0.787234 0.9483336 0.08389341 0.2411641 0.3539827
0.75 0.8880175 0.1363248 0.2545635 0.3547337
0.875 0.9501496 0.07513585 0.1671076 0.2826389
0.6296296 0.9819647 0.1197002 0.3196162 0.3653885
0.85 0.9673933 0.07744105 0.1886138 0.3246294
0.6428571 0.9676884 0.1603904 0.3784132 0.4901183
0.7058824 0.997407 0.06432735 0.1890283 0.1910133
0.75 0.9686339 0.06947775 0.2307453 0.2907131
0.8518519 0.8807626 0.1531107 0.1548702 0.192777
0.7692308 0.9867257 0.04072188 0.2347607 0.2544325
0.804878 0.9194173 0.09002144 0.2598152 0.3107148
0.6756757 0.9875372 0.07366233 0.270112 0.291664
0.8648649 0.9102195 0.108781 0.1944213 0.2737014
0.9444444 0.9869226 0.02352941 0.1137119 0.112436
0.7234043 0.9850617 0.09433348 0.2616581 0.3487361
0.85 0.9516942 0.06493506 0.1512488 0.2456881
0.75 0.9674326 0.08206532 0.2341385 0.2778424
0.6363636 0.9570379 0.07699605 0.3147841 0.4364601
0.9473684 0.9495229 0.0556391 0.1970008 0.2348791
0.8846154 0.9143075 0.1025885 0.1478501 0.2127278
0.6666667 0.9309882 0.09524533 0.2710974 0.4116628
0.8 0.9622979 0.05467186 0.2037831 0.3091383
0.7083333 0.9927864 0.08026921 0.2288812 0.3024686
0.6595745 0.9614388 0.09159357 0.2948207 0.4330958
0.7297297 0.8889467 0.16475 0.32261 0.5359079
0.8518519 0.9233776 0.08888889 0.2384952 0.3042265
0.7073171 0.9896261 0.04718013 0.2239145 0.2380133
0.76 0.9872415 0.1213675 0.2523924 0.3115039
0.9117647 0.9454619 0.06806723 0.2312293 0.334271
0.8913043 0.9975165 0.00580995 0.06646511 0.06363273
0.75 0.9683375 0.07752508 0.2573493 0.2865037
0.9444444 0.8391151 0.1619048 0.1568517 0.2158464
0.9 0.9701029 0.04429255 0.2080091 0.245137
0.9032258 0.9530424 0.06004399 0.1036625 0.1507621
0.7878788 0.979889 0.1417972 0.2330507 0.2853664
0.6944444 0.9900939 0.04959697 0.2236283 0.2439088
0.5714286 0.8054815 0.2899426 0.4615843 0.5889506
0.8181818 0.9569009 0.06924901 0.1508871 0.2326237
0.7619048 0.9791726 0.1206663 0.2483762 0.3274168
0.7837838 0.8783023 0.1476146 0.3096211 0.4029446
1 0.9067669 0.09323308 0.1276653 0.1833002
0.725 0.9585418 0.08486751 0.3044271 0.4623158
0.6538462 0.9544156 0.1504274 0.3217971 0.3940961
0.8222222 0.9763736 0.03121338 0.1733553 0.2697235
0.6590909 0.9817308 0.1020131 0.2744931 0.4166207
0.725 0.945015 0.09483834 0.2020125 0.3473216
0.7222222 0.9873589 0.05438596 0.2396747 0.2482394
0.7391304 0.9423704 0.1140711 0.2642264 0.3093383
0.7307692 0.9945166 0.03675635 0.2144793 0.2376842
0.6923077 0.9487281 0.1182477 0.2719933 0.4431195
0.7073171 0.9311072 0.1455636 0.3161707 0.4145198
0.9285714 0.8892714 0.120416 0.2072616 0.4396279
0.725 0.9508927 0.08499311 0.2401731 0.3724882
0.8333333 0.9625241 0.08227425 0.2203383 0.3453589
0.7307692 0.8701426 0.1807713 0.2375964 0.2937739
1 1 0 0 0
0.725 0.9982557 0.0227821 0.1706167 0.1781266
0.6666667 0.9786054 0.1052288 0.2827957 0.3367222
0.8333333 0.9809261 0.09788142 0.1689066 0.2665134
0.7 1 0.1019139 0.2117327 0.2250415
0.6842105 0.9995463 0.08681248 0.2356682 0.2613487
0.6888889 0.9345031 0.1369579 0.3033142 0.4542757
0.775 0.9873206 0.04639954 0.2041214 0.2674737
0.8611111 0.9662544 0.05769153 0.1792773 0.1993816
0.6842105 0.9713775 0.1397813 0.2971511 0.3315192
0.7631579 0.9858271 0.04439617 0.2496365 0.3299533
0.6333333 0.964961 0.09075024 0.348222 0.4067607
0.8 0.8667763 0.1474308 0.3403195 0.4974015
0.9230769 0.9880561 0.01827291 0.08384971 0.1306837
0.64 1 0.05336182 0.2273163 0.2266054
0.6590909 0.9170761 0.19727 0.3333075 0.3933558
0.8571429 0.9287823 0.09274538 0.2479494 0.3469649
0.826087 0.8297673 0.2027743 0.2550819 0.4240818
0.75 0.8010076 0.253354 0.3152709 0.3892107
0.775 0.9288067 0.1508913 0.3259475 0.4644593
0.6521739 0.8616599 0.2573958 0.4017123 0.5122096
0.8387097 0.9786887 0.03341887 0.1286312 0.2142712
0.8928571 0.9642676 0.06477038 0.1190014 0.1647758
0.7435897 0.8213906 0.1952009 0.3529605 0.6280104
0.625 0.9647374 0.2567384 0.34651 0.5510987
