reso  sja  d_qt  d_ci  d_rf
0.7209302 0.9540538 0.09764684 0.2136784 0.3639249
0.6944444 0.9566118 0.06561622 0.2471443 0.3562109
0.8181818 0.9843884 0.05676282 0.1895274 0.2619403
0.5454545 1 0.0463684 0.2680897 0.261201
0.7954545 0.9734217 0.09075491 0.2162423 0.3089977
0.65 0.9234186 0.1447205 0.3632258 0.5188578
0.8461538 0.9579612 0.0858751 0.1860766 0.2565111
0.9130435 0.9501623 0.06158103 0.1699004 0.2266262
0.7241379 0.9526438 0.0826891 0.2067466 0.3288811
0.7826087 0.9450098 0.07882105 0.2182969 0.3985792
0.7179487 0.9971726 0.128424 0.2249994 0.2596484
0.875 0.8959227 0.119195 0.2377316 0.4487535
0.7826087 0.9543789 0.09361204 0.195715 0.4166624
0.8823529 0.9776079 0.04876161 0.1438787 0.1640901
0.5116279 0.9792771 0.2145602 0.4729352 0.5437207
0.8723404 0.9933146 0.01799874 0.1264289 0.1749991
0.7045455 0.9591865 0.07839875 0.2574629 0.3115773
0.7894737 0.9331104 0.1282297 0.2036918 0.2970135
1 1 0 0 0
0.8823529 0.9953569 0.05959752 0.1207166 0.1266322
0.8723404 0.9477576 0.06473834 0.1666203 0.2576187
0.8333333 0.9344811 0.08586895 0.224777 0.4513361
0.8387097 0.9553398 0.06514145 0.1655682 0.3147204
0.8148148 1 0.06521831 0.1207834 0.1273613
0.825 0.9887598 0.04265457 0.1790561 0.2860115
0.75 0.9643534 0.160135 0.2761665 0.3959664
0.7352941 0.9318474 0.09339844 0.2245379 0.4588187
0.75 0.9839125 0.1030888 0.230382 0.2687019
0.8928571 0.8760202 0.1469622 0.1932468 0.3071977
0.9 0.9712125 0.03568748 0.1357242 0.2472352
0.7560976 0.9598178 0.05761284 0.2064571 0.3286018
0.7297297 0.9854149 0.1314586 0.2278914 0.3332805
0.7894737 1 0.02225079 0.1350167 0.1401881
0.8823529 0.9692898 0.04582043 0.1022205 0.1433048
0.893617 0.9878829 0.03479394 0.14921 0.1924956
0.7619048 0.9950434 0.04884246 0.1709277 0.171505
0.7037037 0.9917184 0.08401752 0.2004508 0.2615058
0.6521739 0.838427 0.2435178 0.456183 0.5731955
0.8947368 0.926479 0.09002051 0.2163291 0.2997196
0.7692308 0.9801798 0.09296703 0.1971978 0.2438919
0.6875 0.9583112 0.08397959 0.2978274 0.4371926
0.7666667 0.9442229 0.09735818 0.2996659 0.4242799
0.8333333 0.9837188 0.0702779 0.1703908 0.2125563
0.625 0.9807104 0.08003691 0.2898223 0.4605375
0.7297297 0.9513263 0.1459022 0.2940475 0.431219
0.7407407 0.9821131 0.05643131 0.2098459 0.2523832
0.7317073 0.9826792 0.03980229 0.184868 0.2131407
0.875 0.9678382 0.08888889 0.227092 0.3745108
0.7878788 0.9875931 0.03297683 0.2054336 0.2552784
0.9130435 0.980576 0.02597389 0.1026844 0.1583172
