reso  sja  d_qt  d_ci  d_rf
0.7209302 0.9822754 0.1086619 0.2428386 0.3820565
0.5675676 1 0.1359923 0.2871424 0.2872032
0.7777778 0.9778318 0.050691 0.1703465 0.2418568
0.8222222 0.972145 0.03701118 0.1548446 0.2790501
0.6363636 0.9960997 0.1905082 0.3017259 0.3479703
0.6666667 0.9399293 0.1625635 0.3806561 0.5409914
0.725 0.9609159 0.1329268 0.2466853 0.397049
0.8695652 0.9822965 0.03913043 0.1364153 0.1655667
0.6206897 0.922431 0.1292686 0.3297502 0.3554042
0.8695652 0.9119117 0.1013593 0.1907157 0.4004403
0.7179487 0.9893838 0.1831836 0.2541373 0.3160737
0.6875 1 0.06449948 0.228388 0.2527836
0.8695652 0.9545259 0.0761204 0.2207772 0.358868
0.9375 0.9742512 0.03431373 0.1173072 0.1844239
0.6590909 0.9954031 0.05224132 0.2204417 0.2615631
0.8297872 0.9880436 0.04688119 0.1441507 0.2297717
0.6976744 0.947158 0.1517848 0.294658 0.4105645
0.7368421 0.9388115 0.1941217 0.2924392 0.3624899
0.4285714 1 0.2261905 0.3903277 0.38054
0.8125 0.8990719 0.1449948 0.1993217 0.3186536
0.7659574 0.9758244 0.0592186 0.1988757 0.2596085
0.9166667 0.9239244 0.0834188 0.173406 0.3389025
0.84375 0.9688367 0.06984216 0.1566598 0.2136321
0.7037037 1 0.07913351 0.1769123 0.1749925
0.8292683 0.9784058 0.05156389 0.2142683 0.3117531
0.5925926 0.9815444 0.1382047 0.3249272 0.3881096
0.7142857 0.981597 0.05700659 0.1874506 0.2235378
0.6571429 0.989361 0.09620673 0.2270688 0.2878508
0.9285714 0.906725 0.1065134 0.1322131 0.1913292
0.825 0.9983054 0.0192263 0.1351333 0.1451383
0.7804878 0.9627764 0.06764223 0.2016717 0.2631134
0.5945946 1 0.1315899 0.2868302 0.2984639
0.8157895 0.9229874 0.1220976 0.188681 0.2579628
0.7647059 0.983889 0.05366357 0.1401328 0.1727974
0.826087 0.9927914 0.03538626 0.1313654 0.1712468
0.7619048 0.9756906 0.06245059 0.1540303 0.1854377
0.7857143 0.9566161 0.08522167 0.1973654 0.2951554
0.6363636 0.9806371 0.07418972 0.263897 0.310974
0.7368421 0.9739105 0.06295284 0.1762532 0.2256021
0.72 0.9833314 0.09213675 0.2165566 0.2547298
0.6808511 0.977989 0.08237082 0.2887001 0.3956934
0.862069 0.9894366 0.03615128 0.1244179 0.1392384
0.8085106 0.9076911 0.1288949 0.2422647 0.3784489
0.6666667 0.9886092 0.07086409 0.2298759 0.2598514
0.7567568 0.9556047 0.1121403 0.2442931 0.3949084
0.7407407 1 0.04004744 0.1285551 0.1209448
0.7073171 0.990323 0.04303136 0.2170518 0.2355892
0.8 0.9886131 0.1332479 0.1945857 0.2681056
0.8181818 0.9418392 0.07659791 0.2521681 0.3783204
0.8913043 0.9958001 0.008577449 0.06287166 0.1173798
0.75 0.9596255 0.07966555 0.2608476 0.2949688
0.8333333 0.993808 0.02030075 0.1270124 0.1286579
0.7368421 0.9573682 0.06001367 0.1757183 0.1848306
0.8387097 0.9807774 0.03241691 0.1807904 0.2525965
