reso  sja  d_qt  d_ci  d_rf
0.8139535 0.9666031 0.1083862 0.2494723 0.3672568
0.5135135 0.9963132 0.1170138 0.3709824 0.3861313
0.9111111 0.9510885 0.06670311 0.1296328 0.279513
0.7777778 0.9897074 0.03532363 0.1825539 0.2110418
0.6666667 0.9829439 0.07138172 0.2482491 0.3027956
0.5 0.9361566 0.1929418 0.4644982 0.5565148
0.8717949 0.9603977 0.07103994 0.202431 0.3124956
0.826087 0.9784143 0.0444664 0.1543735 0.1776625
0.7586207 0.996447 0.0570356 0.2153633 0.2530963
0.6304348 0.9504179 0.1836982 0.4360905 0.509225
0.7368421 0.9775554 0.1356818 0.2589237 0.3444538
1 0.9520124 0.04798762 0.13831 0.1560107
0.75 1 0.04862876 0.1521735 0.1529995
1 0.9829721 0.01702786 0.06257463 0.06320325
0.6136364 0.9482138 0.0935135 0.3129471 0.3828141
0.826087 0.9701502 0.03709481 0.144492 0.2260961
0.6744186 0.9499407 0.1209976 0.3207865 0.4700295
0.85 0.9284217 0.1088859 0.2288275 0.3196125
1 1 0 0 0
0.8823529 0.9877587 0.06824045 0.1413573 0.1555367
0.8695652 0.9661813 0.0698215 0.1958052 0.3294773
0.84 0.9550066 0.06552707 0.1569368 0.3044075
0.8064516 0.9967894 0.02287821 0.1366943 0.1365969
0.8518519 0.8616953 0.1458886 0.230279 0.3845791
0.8292683 0.9854753 0.1110769 0.1985928 0.261614
0.7777778 0.8761644 0.1640394 0.2514498 0.4036043
0.5882353 0.947583 0.1126505 0.3005979 0.4473955
0.7222222 0.9936217 0.1005419 0.243273 0.2762695
0.9259259 0.9717908 0.04106915 0.1116021 0.1759987
0.875 0.9821137 0.0325784 0.1574935 0.214353
0.7317073 0.9888286 0.05485779 0.2286659 0.2577201
0.8684211 0.8683648 0.1358956 0.187159 0.2523623
0.7297297 0.9906375 0.05445344 0.2208113 0.253633
0.7777778 0.9835804 0.0623323 0.1814874 0.1798231
0.7608696 0.9444589 0.09776001 0.2015878 0.2476459
0.952381 0.8791586 0.1254658 0.2575177 0.4035289
0.8214286 0.987049 0.03891626 0.1397549 0.2098331
0.7727273 0.9227206 0.1103953 0.3075617 0.4453982
0.8947368 0.9805939 0.05311005 0.1399978 0.1712472
0.76 0.9683166 0.1173871 0.2260486 0.2825007
0.7708333 0.9636906 0.07507382 0.2255298 0.376767
