reso  sja  d_qt  d_ci  d_rf
0.8372093 0.9472282 0.1130956 0.2332981 0.3333615
0.6216216 0.9721474 0.09069191 0.2756758 0.3390853
0.8666667 0.9729032 0.06145264 0.1611992 0.2813103
0.8666667 0.9677854 0.04426036 0.1486988 0.2525621
0.75 0.9864332 0.08469711 0.2404038 0.29871
0.55 0.9348586 0.1909091 0.4733421 0.5630557
0.8205128 0.9610318 0.1344903 0.2446902 0.337918
0.9130435 0.9493924 0.05565217 0.1307801 0.1767848
0.7586207 0.996447 0.0570356 0.2153633 0.2530963
0.5217391 0.9922885 0.1774951 0.4607913 0.5310342
0.7105263 0.9907321 0.1313864 0.271428 0.3245134
0.8823529 0.9450991 0.07120743 0.1601243 0.213633
0.7916667 0.9967504 0.05010033 0.1607422 0.1692875
1 0.9829721 0.01702786 0.06257463 0.06320325
0.7045455 0.9331194 0.09132273 0.3077225 0.3772824
0.7826087 0.9695731 0.054808 0.2102398 0.3086122
0.7727273 0.9374072 0.09005117 0.2674771 0.4684625
0.85 0.9284217 0.1088859 0.2288275 0.3196125
0.875 1 0.03809524 0.065519 0.05406458
0.8125 0.9877013 0.07030444 0.1689803 0.1761643
0.8510638 0.9820608 0.0697979 0.2020332 0.3122424
0.8333333 0.9570626 0.06450142 0.1606497 0.292288
0.875 0.9916481 0.02907754 0.1280767 0.1837867
0.8888889 0.8544199 0.1500568 0.2416677 0.4006207
0.825 0.9838223 0.1098371 0.2024866 0.26526
0.8518519 0.8185822 0.191206 0.2778119 0.4423225
0.6470588 0.9728576 0.08058899 0.2902851 0.4216287
0.7222222 0.9942117 0.09862494 0.2436724 0.2708225
1 0.9650064 0.03499361 0.09590392 0.1420722
0.825 0.9930075 0.02820513 0.1707387 0.2043483
0.7560976 0.9841608 0.06159071 0.252325 0.2961503
0.8918919 0.8764344 0.125621 0.1800707 0.2492188
0.8378378 0.9678613 0.04363169 0.1651748 0.281755
0.7777778 0.9835804 0.0623323 0.1814874 0.1798231
0.8043478 0.9272452 0.1057647 0.223528 0.2820959
0.7619048 0.9710108 0.07797854 0.2250644 0.2350817
0.8214286 0.987049 0.03891626 0.1397549 0.2098331
0.7391304 0.9079115 0.1197233 0.3478059 0.5146033
0.9473684 0.9641434 0.03814081 0.1105556 0.1249254
0.76 0.9683166 0.1173871 0.2260486 0.2825007
0.7916667 0.9676173 0.07487842 0.2366871 0.3627734
0.9 0.9449858 0.06318131 0.1737289 0.2829589
0.625 0.9858757 0.03471125 0.2637092 0.3282048
0.6808511 0.9827569 0.07755102 0.3173925 0.410421
0.7297297 0.939825 0.1156308 0.2866946 0.3540979
0.7777778 0.9396401 0.07927386 0.2366068 0.3223562
0.825 0.9743371 0.04978527 0.1936086 0.2807143
0.88 0.9874436 0.02 0.1292588 0.1634913
0.7352941 0.9616431 0.07072405 0.2525497 0.3517021
0.8478261 0.9939793 0.01508891 0.09733211 0.1690024
0.75 0.848852 0.1707023 0.3292763 0.4370658
0.9444444 0.974359 0.02706767 0.08924416 0.1106007
0.9 0.9875072 0.03588517 0.1064024 0.1508448
0.8 0.9891103 0.02911779 0.1310961 0.193485
0.8181818 0.9141876 0.1128342 0.1524431 0.1725373
0.8611111 0.9583746 0.05439274 0.1269101 0.2663537
0.5952381 0.9880771 0.09172455 0.3212908 0.378328
0.8695652 0.916197 0.09719368 0.1700655 0.285584
0.9047619 0.9937449 0.01863354 0.09758638 0.1070935
0.8648649 0.9604799 0.05147171 0.1671849 0.2871884
0.8888889 0.9968011 0.03291562 0.104793 0.1189613
0.7317073 0.9529752 0.08677984 0.2241323 0.3354989
0.92 0.8990181 0.122906 0.1808229 0.2991926
0.8 0.9785001 0.1117972 0.277772 0.3646365
0.8139535 0.9952594 0.01920826 0.1409301 0.1646495
0.8536585 0.9545623 0.0630662 0.1932978 0.3060463
0.8823529 0.9616525 0.050258 0.1686934 0.3122769
0.7727273 0.9272285 0.09762846 0.2472699 0.3640772
0.7307692 1 0.06043956 0.1818359 0.1920504
0.6153846 0.9457095 0.1654036 0.3944151 0.5192662
0.8780488 0.9556386 0.04924236 0.1231112 0.1878516
0.7777778 0.9802163 0.1111658 0.2253725 0.2828786
0.902439 0.9435329 0.08030954 0.1367871 0.2241747
0.6666667 0.9528388 0.09986622 0.2716511 0.3583189
0.7307692 0.9165885 0.163551 0.2339031 0.3333805
1 1 0 0 0
0.7435897 0.9858128 0.03375771 0.2093214 0.2999258
0.8666667 0.9866117 0.03676471 0.1305833 0.1465569
0.7619048 0.9924057 0.03669955 0.1998796 0.252746
0.7368421 0.8755959 0.1660971 0.2970737 0.5080793
0.7692308 0.9987959 0.05821072 0.1863773 0.2144341
0.9090909 0.9784212 0.04928658 0.1721945 0.2458645
0.8205128 0.9749416 0.04974538 0.1841605 0.25131
0.7142857 0.9664426 0.06859039 0.2384988 0.3099102
0.8 0.9764055 0.05283664 0.1974223 0.2835044
0.8974359 0.9925784 0.01239261 0.08501751 0.1176949
0.6333333 0.9983958 0.05962854 0.2289605 0.2511004
0.8 0.9277406 0.08887634 0.2071885 0.3239356
0.9259259 0.979393 0.02985137 0.1009994 0.1238441
0.8333333 0.9894137 0.08905983 0.1528979 0.1886341
0.7209302 0.9966838 0.1273585 0.2697144 0.315757
0.9166667 0.9360318 0.07503218 0.1895824 0.3028548
0.5957447 0.9557292 0.1753998 0.3180931 0.4527348
0.9375 0.9129534 0.08875129 0.1028646 0.1217829
0.775 0.9562201 0.13868 0.2776924 0.3754454
0.7608696 0.932425 0.2293252 0.3081286 0.4276942
0.7741935 0.9736741 0.04886364 0.170666 0.2645839
0.8214286 0.9810427 0.05483871 0.1455573 0.182153
0.7179487 0.9909062 0.05649748 0.2208744 0.2542086
0.875 0.9803607 0.03482405 0.1421611 0.1820112
