reso  sja  d_qt  d_ci  d_rf
0.744186 0.9909536 0.07996446 0.1897118 0.2714187
0.5945946 0.9908425 0.09531799 0.2883538 0.3542745
0.7272727 0.9599468 0.0886665 0.2470849 0.4969096
0.8 0.9638214 0.04271858 0.1574659 0.2511133
0.6888889 0.9455399 0.1026098 0.2597463 0.3232756
0.6 0.973069 0.138961 0.3405147 0.4066131
0.8461538 0.8762934 0.1728268 0.1814974 0.2722131
0.9545455 0.9676849 0.04007905 0.1551848 0.1941902
0.7666667 0.9643055 0.08111791 0.2099112 0.3370011
0.7333333 0.9716375 0.08141381 0.264941 0.3760697
0.7894737 0.999524 0.1062161 0.1582854 0.1672471
0.6875 1 0.0621775 0.2121509 0.2278224
0.9130435 0.936134 0.07153846 0.2225701 0.3337664
0.7647059 1 0.03818369 0.1183058 0.1038397
0.6590909 0.9277422 0.1398903 0.343041 0.4598481
0.8510638 0.9974317 0.03197153 0.1078867 0.1212572
0.7674419 0.9607994 0.07312559 0.1804134 0.2687182
0.85 0.9336667 0.09692413 0.2085186 0.3485943
1 1 0 0 0
0.8235294 0.986838 0.09920021 0.189499 0.2097837
0.8043478 0.9857988 0.05244813 0.1620273 0.2143768
0.75 0.9348274 0.1031054 0.2393608 0.3698552
0.8064516 1 0.04267293 0.1228704 0.1295838
0.8148148 0.8999275 0.1284788 0.2210755 0.2853807
0.825 0.9915024 0.03975367 0.1687072 0.2098934
0.7142857 0.9075118 0.1413063 0.2318921 0.3874872
0.5588235 0.9696266 0.09592702 0.3218338 0.4198284
0.75 0.9834373 0.06107837 0.2255048 0.282605
0.7857143 0.972788 0.08410874 0.2210297 0.3351662
0.8 0.9866504 0.03296257 0.1811122 0.2612766
0.6585366 0.978969 0.06145811 0.2265133 0.3038513
0.7297297 0.8557536 0.205389 0.2761695 0.351024
0.8378378 0.9228401 0.1227104 0.1971335 0.2750397
0.7647059 0.9924005 0.04530444 0.1981171 0.1978587
0.8297872 0.9741039 0.1007924 0.2202651 0.2762888
0.7142857 0.9810199 0.07069452 0.1773157 0.191981
0.75 0.9812684 0.06967707 0.2152913 0.2588547
0.7272727 0.9512006 0.08557312 0.2238843 0.2743764
0.6842105 1 0.05365687 0.2231635 0.2410306
0.6923077 0.9471569 0.168547 0.287991 0.3618692
0.7446809 0.9520452 0.0958033 0.2997395 0.4579922
0.8666667 1 0.01750556 0.05882555 0.05384892
0.8541667 0.9358454 0.08715805 0.181765 0.2956144
0.7021277 0.9635272 0.07089014 0.2189905 0.3921994
0.7027027 0.9572568 0.1117245 0.2535595 0.3573155
0.8148148 0.9861525 0.02984857 0.1653054 0.198675
0.6585366 0.9876886 0.05126408 0.2395943 0.2587296
0.5833333 0.8677382 0.2496866 0.4054911 0.5264731
0.5882353 0.9854589 0.1389695 0.3561962 0.4189749
0.7333333 0.9895084 0.042011 0.1688128 0.2937067
0.9583333 0.9690499 0.03571906 0.09567282 0.1648406
0.7777778 0.8978434 0.1486216 0.2462665 0.3302559
0.8421053 0.9881351 0.02194122 0.1120272 0.1322457
0.7741935 0.991396 0.04639541 0.1808674 0.226921
0.8181818 0.9644474 0.1317418 0.177204 0.2467599
0.6944444 0.9950488 0.1044706 0.2513966 0.3135118
0.7142857 0.9899524 0.0735528 0.2929968 0.3831163
0.9130435 0.9104167 0.09509881 0.2069881 0.3088925
0.5 0.918482 0.2223038 0.4619818 0.5333556
0.8108108 0.9736125 0.09110953 0.2279155 0.3195544
0.9444444 0.9530752 0.04828739 0.07375442 0.1014592
0.6829268 0.9973544 0.06127542 0.2292482 0.2547347
0.7692308 0.9946374 0.1035653 0.2081503 0.2791044
0.8444444 0.9977034 0.02887501 0.1289278 0.1440178
0.6818182 0.982636 0.1036431 0.2534901 0.3616934
0.6585366 0.9887305 0.1232882 0.258673 0.3196902
0.7647059 0.9147187 0.1667699 0.256946 0.324419
0.6818182 0.9511115 0.09735178 0.2665654 0.3123453
0.7307692 1 0.06262894 0.1970456 0.2140134
0.8461538 0.9140797 0.1035114 0.2012819 0.448277
0.8536585 0.9557985 0.06215866 0.1833232 0.2696409
0.7142857 0.9988054 0.08863346 0.2193263 0.2328972
0.85 0.9640428 0.06497448 0.1346112 0.2209865
0.6666667 0.998116 0.09324415 0.2424352 0.2419922
0.7692308 0.9780748 0.1024799 0.1954964 0.2810576
1 0.8730159 0.1269841 0.2021888 0.2737463
0.725 0.992111 0.03130528 0.2267428 0.2669629
0.9333333 0.9814815 0.04117647 0.1137608 0.1380919
0.6904762 0.8682394 0.2010298 0.3475802 0.4957366
0.7368421 0.9840532 0.1016405 0.1912064 0.2144216
0.8205128 0.9557158 0.0632517 0.1575616 0.1931625
0.8444444 0.9997086 0.0769882 0.1487052 0.1733183
0.875 0.9647266 0.03988207 0.157129 0.2786242
0.8055556 0.9953009 0.04306035 0.1422943 0.1489363
1 0.993028 0.006971975 0.03950376 0.03748894
0.7435897 0.986817 0.08138639 0.2084722 0.2645038
0.6774194 0.9904987 0.06348974 0.2312818 0.2980672
0.7619048 0.9834361 0.07481649 0.2235209 0.2549384
0.7777778 1 0.04627174 0.1221084 0.1180118
0.7916667 0.9249792 0.1210541 0.2262974 0.3629901
0.6136364 1 0.1341759 0.2698948 0.2766142
0.8571429 0.9659545 0.1082233 0.1519573 0.2008328
0.5106383 0.9989229 0.3010605 0.4374762 0.4857399
0.4375 1 0.2710268 0.4245236 0.4444574
0.8 0.9875972 0.09033304 0.2086259 0.2557246
0.8297872 0.9826828 0.06692594 0.161409 0.2265603
0.8709677 0.969902 0.03834311 0.1352025 0.1734173
0.8214286 0.976675 0.05185126 0.1581952 0.2511894
0.6923077 0.971349 0.1187272 0.2545179 0.3420079
0.84375 0.9240345 0.1334958 0.2036596 0.4511862
