reso  sja  d_qt  d_ci  d_rf
0.75 0.9504986 0.1038147 0.188241 0.3326918
0.6216216 0.9667777 0.1048923 0.2965147 0.3734953
0.7272727 0.9941553 0.05584896 0.2156353 0.2591219
0.8444444 0.9596334 0.04445099 0.1645609 0.2621581
0.6666667 0.9962586 0.08058476 0.2622286 0.302401
0.6 0.973069 0.138961 0.3405147 0.4066131
0.8461538 0.8762934 0.1728268 0.1814974 0.2722131
0.9545455 0.9751592 0.02822134 0.1065272 0.1256502
0.7586207 0.9643055 0.08111791 0.2099112 0.3370011
0.7608696 0.971752 0.07961507 0.2538991 0.3657242
0.7894737 0.999524 0.1062161 0.1582854 0.1672471
0.6875 1 0.0621775 0.2121509 0.2278224
0.9130435 0.936134 0.07153846 0.2225701 0.3337664
0.7647059 1 0.03818369 0.1183058 0.1038397
0.6818182 0.9269319 0.1308086 0.3157228 0.4757099
0.8510638 0.9974317 0.03197153 0.1078867 0.1212572
0.7906977 0.9614225 0.06564329 0.1766901 0.24854
0.9 0.9361461 0.07887902 0.2067435 0.301547
1 1 0 0 0
0.8235294 0.986838 0.09920021 0.189499 0.2097837
0.8043478 0.9857988 0.05244813 0.1620273 0.2143768
0.75 0.9348274 0.1031054 0.2393608 0.3698552
0.8387097 0.9825525 0.0491418 0.124226 0.1583865
0.8148148 0.8999275 0.1284788 0.2210755 0.2853807
0.85 0.9848363 0.04038571 0.1657676 0.2165052
0.7142857 0.8515943 0.1660463 0.2479454 0.3968836
0.6176471 0.969902 0.09199031 0.2957836 0.4009998
0.7714286 0.982924 0.06131545 0.2221349 0.2871293
0.7857143 0.972788 0.08410874 0.2210297 0.3351662
0.775 0.9870088 0.03278835 0.1787911 0.2578579
0.6829268 0.9470856 0.07340277 0.2222741 0.3078653
0.7631579 0.8704135 0.1416566 0.2451187 0.3127475
0.8378378 0.9237405 0.1189025 0.1877866 0.2787607
0.7058824 0.9961858 0.04355005 0.1890672 0.1856629
0.8297872 0.9755306 0.08835121 0.2055619 0.250786
0.7142857 0.9810199 0.07069452 0.1773157 0.191981
0.8214286 0.9815277 0.06340084 0.1722581 0.2167057
0.7272727 0.9512006 0.08557312 0.2238843 0.2743764
0.6842105 1 0.05365687 0.2231635 0.2410306
0.6538462 0.9514827 0.166862 0.281949 0.3470265
0.7234043 0.9706929 0.08770734 0.3048922 0.4541829
0.8666667 1 0.01750556 0.05882555 0.05384892
0.8541667 0.9358454 0.08715805 0.181765 0.2956144
0.7234043 0.9811181 0.0772449 0.2486956 0.374782
0.7027027 0.9584796 0.1111828 0.267775 0.3498817
0.7857143 0.9878979 0.03072432 0.1725306 0.1801218
0.6829268 0.9848784 0.05257678 0.2370009 0.2665316
0.76 0.9896796 0.1377208 0.2294114 0.2936766
0.5882353 0.9854973 0.1379849 0.3561962 0.4189749
0.7555556 0.9863432 0.04062339 0.1565218 0.3041498
0.9565217 0.9690499 0.03571906 0.09567282 0.1648406
0.7777778 0.9216799 0.1275689 0.2049476 0.250034
0.8421053 0.9881351 0.02194122 0.1120272 0.1322457
0.8064516 0.9914999 0.04075024 0.1605367 0.206146
0.8484848 0.9630093 0.1323338 0.1699207 0.2564024
0.7222222 0.9950789 0.1020321 0.2297635 0.2901536
0.7380952 0.9899705 0.07276754 0.2754771 0.3641968
0.9130435 0.9104167 0.09509881 0.2069881 0.3088925
0.65 0.9318771 0.1427442 0.3350724 0.3809939
0.8378378 0.9736366 0.09071561 0.2176945 0.3120262
0.9444444 0.9530752 0.04828739 0.07375442 0.1014592
0.6829268 0.9973544 0.06127542 0.2292482 0.2547347
0.7692308 0.9946374 0.1035653 0.2081503 0.2791044
0.8444444 0.9977034 0.02887501 0.1289278 0.1440178
0.6590909 0.9825574 0.1054938 0.2670912 0.3809885
0.6829268 0.9899759 0.07540718 0.2208052 0.2728434
0.7647059 0.9118747 0.1363261 0.2464888 0.3128208
0.6818182 0.9511115 0.09735178 0.2665654 0.3123453
0.8076923 1 0.04709275 0.1332659 0.1439511
0.8461538 0.9253283 0.1004589 0.1856324 0.3738843
0.8292683 0.957252 0.06142938 0.1873555 0.2586133
0.7142857 0.9988054 0.08863346 0.2193263 0.2328972
0.85 0.9640428 0.06497448 0.1346112 0.2209865
0.6666667 1 0.08688963 0.2154489 0.2172975
0.6923077 0.9984458 0.14892 0.2249582 0.235316
1 0.8730159 0.1269841 0.2021888 0.2737463
0.7435897 0.9917511 0.03130975 0.2273033 0.2712138
0.9333333 0.9814815 0.04117647 0.1137608 0.1380919
0.7380952 0.8666942 0.1926652 0.3153921 0.4589498
0.7368421 0.9840532 0.1016405 0.1912064 0.2144216
0.8717949 0.9425257 0.06678187 0.1404268 0.1959859
0.8222222 0.9997068 0.07956157 0.1594271 0.1829939
0.825 0.9671084 0.03956044 0.1564017 0.2749215
0.8055556 0.9953009 0.04306035 0.1422943 0.1489363
1 0.993028 0.006971975 0.03950376 0.03748894
0.7435897 0.986817 0.08138639 0.2084722 0.2645038
0.6774194 0.9904987 0.06348974 0.2312818 0.2980672
0.7619048 0.9834361 0.07481649 0.2235209 0.2549384
0.7777778 1 0.04627174 0.1221084 0.1180118
0.7916667 0.971817 0.06692308 0.2023372 0.2756257
0.6590909 0.9224879 0.1622116 0.2551669 0.3036036
0.8571429 0.9659545 0.1082233 0.1519573 0.2008328
0.5531915 1 0.2821462 0.3843135 0.4206259
0.625 0.9938343 0.1693756 0.286676 0.3157075
0.8 0.9875972 0.09033304 0.2086259 0.2557246
0.8085106 0.9826668 0.06734128 0.1737311 0.2391512
0.8709677 0.969902 0.03834311 0.1352025 0.1734173
0.7857143 0.9783731 0.08172573 0.1825582 0.2234364
0.6923077 0.971349 0.1187272 0.2545179 0.3420079
0.8125 0.9414142 0.1255175 0.205014 0.4368704
