reso  sja  d_qt  d_ci  d_rf
0.7209302 0.9855625 0.07811686 0.1845571 0.259753
0.6216216 0.9940499 0.1032693 0.3170839 0.3643031
0.8444444 0.9288698 0.09415524 0.1957857 0.4817368
0.6666667 0.9973807 0.05499117 0.2067311 0.2200624
0.8181818 0.9754842 0.04286715 0.1588715 0.2250727
0.952381 0.9345655 0.07250141 0.1824774 0.2608348
0.85 0.9683203 0.1366658 0.1552492 0.2183375
0.6363636 0.9834098 0.108419 0.2502115 0.299704
0.6896552 0.9876052 0.09085095 0.2692038 0.316468
0.7608696 0.9997135 0.09661065 0.2384475 0.2718415
0.7894737 0.999091 0.09878049 0.1720664 0.2059786
0.875 0.9478407 0.0879773 0.2449925 0.3085
0.8695652 0.9601631 0.07735786 0.2301745 0.311388
0.8125 0.9625138 0.06707946 0.1786175 0.2175319
0.6046512 0.9894136 0.2101848 0.3497078 0.411665
0.8297872 0.990292 0.03137212 0.1168034 0.1392953
0.8181818 0.9477296 0.0770322 0.1815982 0.2962852
0.8947368 0.9905521 0.04572796 0.09281876 0.09575329
1 1 0 0 0
0.75 1 0.09042828 0.1599444 0.1693965
0.8510638 0.9593082 0.07380732 0.1410681 0.2184499
0.7916667 0.997203 0.03407407 0.1434927 0.1543917
0.8064516 0.929465 0.09510307 0.176728 0.2440528
0.9259259 0.9793823 0.030104 0.07748727 0.08581859
0.9756098 0.9789681 0.02205656 0.05982692 0.1311394
0.5925926 0.9931779 0.1201423 0.2755043 0.2997501
0.6470588 0.9848763 0.07281399 0.2576801 0.2779888
0.6857143 0.9870132 0.1179571 0.2491619 0.2921917
0.8214286 1 0.1032293 0.1239492 0.1339606
0.85 0.9770624 0.03434736 0.1807323 0.252338
0.6829268 0.9795391 0.05181177 0.215055 0.342383
0.5675676 0.9994408 0.1384014 0.3289708 0.3463302
0.8648649 0.9555114 0.05578291 0.1944146 0.4871087
0.9444444 0.9352683 0.06976264 0.1867879 0.2761206
0.9148936 0.9851308 0.03433612 0.0796476 0.2122289
0.952381 0.9529145 0.04810841 0.108151 0.1529046
0.7777778 0.9824582 0.03935413 0.1391474 0.1379264
0.8636364 0.9346574 0.08826087 0.1854333 0.2478356
0.6315789 1 0.07272727 0.2583617 0.2737942
0.8461538 0.9867725 0.06864469 0.1256696 0.1687931
0.7659574 0.9604888 0.07521059 0.2147115 0.3088412
0.7 1 0.03692992 0.1921964 0.1956645
0.8333333 0.919663 0.1392575 0.2109543 0.3429644
0.7021277 0.9847166 0.09498697 0.286798 0.4059006
0.6486486 0.9995001 0.09548638 0.2551711 0.2660234
0.8518519 0.9831275 0.02459405 0.1180111 0.1666381
0.7804878 0.9893966 0.03101045 0.1681942 0.2144486
0.875 0.8678147 0.1470655 0.1983969 0.2633664
0.6969697 0.9910108 0.05953654 0.2171414 0.2730004
0.9347826 0.9886781 0.0197528 0.09628023 0.1195334
0.5652174 0.9850805 0.1694314 0.376309 0.4496834
0.9444444 0.996962 0.00802005 0.05239532 0.04480224
0.8421053 0.9878763 0.0213944 0.1066669 0.1243708
0.8387097 0.9738648 0.06798631 0.1972504 0.3093408
0.7878788 0.9991873 0.1246276 0.1906477 0.217821
0.9444444 0.9913547 0.01415024 0.07212372 0.1068786
0.7619048 0.935531 0.1156851 0.2471665 0.5082363
1 0.9588933 0.04110672 0.08044309 0.1139686
0.85 0.891148 0.1437041 0.2655914 0.3926178
0.8157895 0.9644261 0.05258781 0.176037 0.2737496
1 0.9431913 0.05680869 0.1981854 0.2507768
0.775 0.9918417 0.04372822 0.195697 0.2669337
0.8846154 0.9937704 0.03545788 0.110798 0.1576642
0.8666667 0.951201 0.05494398 0.1819834 0.2490578
0.7727273 0.9902887 0.02478782 0.1467726 0.2009753
0.6 0.9929523 0.1293331 0.2954994 0.3425207
0.8235294 0.9840532 0.04891641 0.1467135 0.2027151
0.6363636 0.9608683 0.1089723 0.2813661 0.3239829
0.6153846 0.9915568 0.1421203 0.3196051 0.3665013
0.6153846 0.9455156 0.1312787 0.3184431 0.4662032
0.804878 0.9675123 0.05946034 0.1747007 0.2937106
0.7142857 0.9761863 0.1074439 0.2886779 0.386577
0.85 0.9961273 0.05570861 0.1381309 0.1673464
0.8695652 0.9465865 0.0777592 0.1606206 0.2294567
0.8888889 0.980324 0.0868174 0.1086695 0.1749722
1 1 0 0 0
0.75 0.996883 0.02574377 0.1759538 0.2199795
1 0.9382353 0.06176471 0.1227793 0.1741372
0.8333333 0.9676139 0.08784834 0.182205 0.2319977
0.7 0.9614148 0.08803828 0.2036869 0.2126492
0.7368421 0.9183477 0.1307742 0.2665804 0.3895743
0.7727273 0.9453991 0.1268102 0.2123108 0.37714
0.8974359 0.9698948 0.03368623 0.1311805 0.1977514
0.8611111 0.9777858 0.03437648 0.1250332 0.1584984
0.75 0.9831372 0.1239918 0.2204585 0.2677902
0.8974359 0.9930334 0.01500938 0.0889864 0.1223514
0.9032258 0.9604787 0.05239492 0.1661041 0.2940128
0.8 0.9647524 0.06222473 0.1703727 0.1918259
0.8148148 0.935269 0.08721738 0.1457935 0.2111013
0.7916667 0.9950483 0.02148148 0.1441385 0.1431032
0.9302326 0.9774265 0.02836045 0.09976757 0.1208308
0.8055556 0.9633175 0.1124365 0.2326538 0.2957656
0.7446809 0.926672 0.2269936 0.30997 0.5364846
0.8125 0.7783191 0.2641899 0.3253297 0.4388978
0.775 0.9558673 0.07028199 0.1877161 0.3774315
0.8043478 0.9905128 0.1080986 0.1841228 0.238682
0.8333333 0.9813149 0.02913001 0.1387913 0.1602958
0.8571429 0.9771969 0.04109328 0.1147581 0.1952988
0.7179487 0.9907005 0.07169942 0.2382796 0.3253181
0.7741935 0.9691254 0.1395981 0.1877569 0.2764027
