reso  sja  d_qt  d_ci  d_rf
0.8181818 0.8342759 0.1899347 0.3044293 0.4906311
0.8108108 0.933663 0.09799273 0.2564251 0.4416742
0.9111111 0.9628087 0.05404928 0.1728708 0.2513416
0.7777778 0.9905514 0.0348611 0.1757032 0.2019745
0.8863636 0.9610942 0.1313599 0.1868902 0.2591492
0.9047619 0.9454653 0.07566347 0.1840485 0.2850094
0.9 0.9677727 0.07906727 0.1182223 0.1752149
0.8695652 0.9415574 0.07952569 0.1161207 0.1889059
0.6896552 0.9865204 0.0955089 0.2988927 0.3723222
0.8695652 0.9448783 0.08430466 0.2023498 0.3001415
0.8947368 0.9512592 0.09975314 0.1628793 0.2321221
0.9411765 0.9511041 0.05727554 0.1958204 0.2389413
0.9565217 0.9266417 0.08063545 0.2120866 0.277306
0.9411765 0.9088083 0.09287926 0.1858773 0.2257364
0.8409091 0.8288554 0.2149033 0.2962428 0.4176879
0.8723404 0.9689565 0.04582869 0.1408105 0.2189323
0.9090909 0.9245438 0.07939762 0.1746406 0.3498547
0.9473684 0.9014888 0.1055366 0.173106 0.2409443
0.75 0.9542484 0.1690476 0.2798249 0.3578549
1 0.7616099 0.2383901 0.313913 0.6608865
0.8723404 0.9568308 0.08504975 0.1715971 0.2625641
0.96 0.9398869 0.06552707 0.1522983 0.2872709
0.9032258 0.9457649 0.08670433 0.1894247 0.3515634
0.8461538 0.9074265 0.1008589 0.1813566 0.2609329
0.9268293 0.9351556 0.1111984 0.1357254 0.2380635
0.8148148 0.977989 0.05228973 0.2115289 0.3480604
0.8235294 0.9685891 0.04237262 0.1383412 0.2444185
0.8611111 0.8318277 0.1815281 0.2927133 0.4884377
0.7857143 0.969733 0.1109469 0.197335 0.2501669
0.95 0.9634801 0.03852408 0.1298278 0.2482155
0.8571429 0.9137042 0.08946527 0.2489097 0.3326991
0.7297297 0.8891097 0.1571671 0.2716943 0.2991618
0.9736842 0.9529713 0.05345224 0.1799819 0.4575997
0.9444444 0.9653372 0.04004128 0.1777595 0.1906543
0.9361702 0.9808933 0.03434084 0.08565357 0.1969762
0.952381 0.9459152 0.05680407 0.1409428 0.2435174
