reso  sja  d_qt  d_ci  d_rf
0.8604651 0.9656812 0.03800288 0.1525646 0.2348131
0.7837838 0.9885735 0.03213943 0.1882681 0.2273903
0.9555556 0.991398 0.01061868 0.06903846 0.08960754
0.8222222 0.9973045 0.01592241 0.09850678 0.1012951
0.7777778 0.9938739 0.05705435 0.1926293 0.2192671
0.952381 0.9878943 0.02665161 0.0675823 0.1208253
0.8974359 0.9577054 0.05931386 0.1150426 0.1354128
0.7727273 1 0.04735178 0.1325434 0.1338589
0.862069 0.9443044 0.08826474 0.192694 0.3054086
0.8695652 0.9106569 0.1217854 0.2552652 0.3448343
0.7894737 0.9969011 0.1073269 0.1439632 0.1892429
0.8125 1 0.04772962 0.1410111 0.1615905
0.8695652 0.9604236 0.04632107 0.1678056 0.2103644
0.875 0.9911406 0.04231166 0.1318208 0.1345687
0.8409091 0.9822583 0.0272666 0.1508992 0.2284346
0.9347826 0.9993536 0.004110895 0.05015854 0.05318727
0.9318182 0.9337105 0.07576983 0.1345729 0.2267339
0.95 0.9705266 0.03950786 0.1445387 0.1846374
0.75 1 0.07380952 0.1684849 0.1699871
0.9375 1 0.02708978 0.04146077 0.04667437
0.8085106 0.9644814 0.0778309 0.2124658 0.2775715
0.88 0.9550779 0.07054131 0.1395346 0.3189643
0.96875 0.9980974 0.008862343 0.05000741 0.05811464
0.8888889 1 0.04955581 0.06546129 0.06771249
0.9756098 0.9910445 0.01659509 0.04880118 0.1066045
0.75 0.9084823 0.1348477 0.2344503 0.3984918
0.8529412 0.989108 0.03085775 0.0817158 0.1167994
0.9166667 0.9545757 0.05626905 0.1544536 0.2415214
0.8928571 0.9153583 0.09262908 0.09084665 0.1178347
0.925 0.9967922 0.01295453 0.0622629 0.09028038
0.7317073 0.9864411 0.0401544 0.2056943 0.2236057
0.8108108 0.9765062 0.03638801 0.154424 0.1818864
0.9736842 0.9726669 0.02770544 0.116431 0.165491
0.8235294 1 0.03147575 0.08736881 0.08266834
0.9787234 0.9974142 0.004276086 0.01698283 0.05171981
1 0.9595709 0.04042914 0.1039491 0.1207109
0.8571429 0.9742545 0.06241562 0.1643016 0.203088
0.8181818 0.9798925 0.03399209 0.1384041 0.1780088
0.9 0.9723561 0.04449761 0.1370054 0.1826039
0.9615385 0.9148462 0.09098901 0.143863 0.2448518
0.7708333 0.9778916 0.05060139 0.19361 0.3030409
0.9333333 0.9804004 0.02559789 0.05943642 0.117053
0.8297872 0.9863266 0.05907512 0.1694126 0.2258752
0.75 0.9790898 0.06584021 0.1913561 0.250686
0.9473684 0.9627516 0.03862567 0.1049345 0.152569
0.8571429 0.9457081 0.06383872 0.1313762 0.1909022
0.8536585 0.9932987 0.0228142 0.08566827 0.104528
0.875 0.8593079 0.1568661 0.1685255 0.2322386
0.8181818 0.9872367 0.04051439 0.1815076 0.2128558
0.9565217 0.9953769 0.005488745 0.05949878 0.06377955
0.875 0.8659051 0.1400669 0.2127715 0.5183853
0.8333333 0.9935622 0.03884712 0.1558456 0.175598
0.9 0.9832846 0.02570062 0.1215559 0.1448576
0.9677419 0.9816762 0.02077224 0.1137647 0.1355751
0.7575758 0.9985325 0.09774637 0.1841457 0.1915781
0.9428571 0.9990493 0.01644652 0.05061218 0.05413627
0.9302326 0.9909818 0.01985637 0.1222786 0.1459315
1 0.9062451 0.09375494 0.1424526 0.2999269
0.95 0.9464182 0.06719368 0.1854937 0.2674239
0.9473684 0.9693894 0.03287559 0.09744408 0.1399521
0.9473684 0.9488236 0.06332498 0.0994977 0.164627
0.825 0.9904139 0.04649137 0.1632331 0.2390042
0.8846154 0.986685 0.05013431 0.1108159 0.1648187
0.8478261 0.9983802 0.01929798 0.09263392 0.09297458
0.7906977 0.9906092 0.02874039 0.1239723 0.159773
0.902439 0.9690678 0.05370716 0.1138648 0.1967473
0.8823529 1 0.02033024 0.0787225 0.08686791
0.7826087 0.9878528 0.06822134 0.1859899 0.2197072
0.8888889 1 0.01136794 0.04826174 0.04378437
0.8846154 0.9905707 0.03999832 0.1068802 0.1629737
0.8780488 0.9937798 0.03299976 0.1073958 0.1467279
0.8928571 0.9742484 0.05446086 0.1333799 0.1598202
0.85 0.9561963 0.06100397 0.1536533 0.2387078
0.875 0.95898 0.05093645 0.1305164 0.1930112
0.8518519 0.980495 0.08719633 0.1137631 0.1846198
1 1 0 0 0
0.75 0.9986243 0.02073171 0.1503479 0.1507417
1 0.9872549 0.0127451 0.05279863 0.04994019
0.9285714 1 0.02295379 0.050367 0.05387777
1 0.9246753 0.07532468 0.163647 0.237202
0.8974359 0.995125 0.02362003 0.08441149 0.1219373
0.8636364 0.9488046 0.07028845 0.15952 0.2853016
0.8205128 0.9922787 0.02438131 0.1219751 0.1511566
0.9142857 0.9768988 0.03826458 0.1137207 0.1377925
1 0.993028 0.006971975 0.03950376 0.03748894
0.9487179 0.9919695 0.01362694 0.07320797 0.1037493
0.6666667 0.9884636 0.06748534 0.246838 0.3003272
0.8095238 0.9497505 0.07244495 0.1701343 0.2090784
0.9259259 0.9751775 0.02930403 0.1191981 0.1669566
0.9583333 0.965304 0.03692308 0.09455716 0.1206714
0.9069767 0.9867004 0.04184515 0.101212 0.1130714
0.9428571 0.9701081 0.04234912 0.09637071 0.1572559
0.8478261 0.993881 0.05277143 0.146815 0.1836215
0.8125 0.7614892 0.2680599 0.3065013 0.4024266
0.8780488 0.974778 0.04423466 0.1789314 0.2362208
0.9130435 0.9937667 0.04836319 0.1109727 0.128085
1 0.9662757 0.03372434 0.1352047 0.1637282
0.7857143 1 0.03020817 0.1147285 0.1127561
0.8461538 0.9727275 0.05703565 0.1558728 0.2077715
0.84375 0.9909011 0.06723305 0.1257497 0.1853896
