reso  sja  d_qt  d_ci  d_rf
0.8837209 0.963838 0.03970647 0.1601815 0.2372771
0.8888889 0.9811216 0.02593282 0.1377699 0.220518
0.9333333 0.9713136 0.03187845 0.1437752 0.1788284
0.8888889 0.9840531 0.02247638 0.09675186 0.1260142
0.8888889 0.9155704 0.09920108 0.1911277 0.2748239
0.952381 0.957491 0.05273857 0.0932495 0.1751065
0.9487179 0.9397556 0.06814527 0.1113386 0.1546707
1 0.9829249 0.0170751 0.08375664 0.09597157
0.9310345 0.910628 0.1028921 0.209755 0.3828948
0.826087 0.9067366 0.1411425 0.3054207 0.4199704
0.8974359 0.9441953 0.09599585 0.1348338 0.2087101
0.8823529 0.8826064 0.1333849 0.2623091 0.3257919
0.9166667 0.9869437 0.03598662 0.1497433 0.1593004
1 0.995872 0.004127967 0.03538535 0.032167
0.8409091 0.980625 0.04106995 0.2315368 0.2955144
0.9565217 0.9788145 0.02403292 0.09431856 0.1178453
0.9318182 0.9456803 0.06709869 0.1276359 0.1719677
0.85 0.99062 0.04237867 0.1310762 0.1828739
0.875 0.9623656 0.09047619 0.16444 0.2169767
0.9375 0.9353963 0.08617131 0.1154331 0.1394761
0.826087 0.9823773 0.06591827 0.1947882 0.2389308
0.875 0.9664321 0.05820513 0.11062 0.1650926
0.90625 1 0.009735639 0.05421762 0.05553382
0.8888889 0.9892123 0.01884131 0.1064583 0.1168461
1 0.9911839 0.008816141 0.0553444 0.07743053
0.8214286 0.9637112 0.1013319 0.2117577 0.2721289
0.9428571 0.9806734 0.02551291 0.07305753 0.1232216
0.9166667 0.9480888 0.05960848 0.1518739 0.2599943
0.8571429 0.913608 0.09784711 0.1347249 0.1717093
0.9230769 0.9881944 0.01712678 0.07377035 0.1060859
0.9512195 0.9070683 0.09404719 0.2590564 0.356704
0.8684211 0.9703637 0.07400153 0.21591 0.2915593
0.9736842 0.9715828 0.02860816 0.1458358 0.1942889
0.9444444 0.9696267 0.04045408 0.06303693 0.1063352
0.9787234 1 0.001288489 0.02074527 0.02340621
0.9047619 0.9375358 0.06888763 0.1555902 0.1794932
0.9285714 0.9507034 0.05462507 0.1438352 0.1993565
0.7727273 1 0.01980237 0.1109822 0.1044857
0.95 0.94491 0.05727956 0.112506 0.1803565
1 0.9151648 0.08483516 0.1579313 0.2697947
0.875 0.9795121 0.04887972 0.1572868 0.212103
0.9666667 0.9804164 0.02519466 0.06021601 0.1099751
0.8958333 0.9415067 0.06422927 0.1037584 0.1867373
0.8723404 0.948657 0.07165436 0.1647597 0.2535213
0.9473684 0.9775908 0.03033155 0.08351591 0.1107947
0.8928571 0.990656 0.04013866 0.1149079 0.11871
0.8780488 0.993319 0.02133944 0.07894957 0.100126
0.92 0.8473696 0.1568661 0.1736953 0.2666374
0.9090909 0.9783611 0.03688991 0.1424358 0.1825235
0.9347826 0.9941311 0.007585569 0.08313791 0.09170179
0.875 1 0.008160535 0.05358608 0.0477722
0.9444444 0.9416792 0.05964912 0.1707964 0.1991244
0.95 0.9740582 0.0303486 0.1330309 0.1628499
0.9677419 0.9656186 0.03533724 0.09092599 0.153575
0.9090909 0.8762706 0.1465241 0.1754942 0.2426265
0.9722222 0.9990581 0.0118946 0.0396424 0.0445441
0.9047619 0.9821198 0.02440686 0.1259482 0.1585307
0.9090909 0.9346036 0.0744664 0.09816734 0.1908297
0.952381 0.987187 0.02766798 0.08459252 0.1173894
0.9736842 0.9695021 0.03103731 0.08925533 0.1342009
1 0.9231412 0.07685881 0.1184541 0.2018394
0.9268293 0.9592563 0.0502593 0.1148429 0.2295617
0.9230769 0.9868927 0.0428083 0.08286164 0.1221397
0.8888889 0.9681846 0.0354944 0.1233746 0.1358243
0.8837209 0.9713023 0.03473971 0.1306738 0.2248347
0.8780488 0.9513986 0.05958188 0.1266345 0.241579
1 0.9488132 0.05118679 0.1594853 0.1744351
0.9130435 0.9498743 0.07573123 0.164046 0.2065912
1 0.9961265 0.003873521 0.02858156 0.02730001
0.8846154 0.9678095 0.05822913 0.1343448 0.1990563
0.8536585 0.9846372 0.03937282 0.1794406 0.2142035
0.8928571 0.9696019 0.07383689 0.1336682 0.1790716
0.9 0.9557307 0.06322826 0.1164314 0.1794199
0.9166667 0.9121466 0.09237458 0.1858422 0.2810962
0.8888889 0.9748667 0.06883921 0.1339487 0.1542618
1 1 0 0 0
0.8 0.9986072 0.02025373 0.1465515 0.1543829
0.9375 1 0.004575163 0.02982069 0.0275408
0.9761905 0.9784238 0.0222282 0.04016305 0.05189174
1 0.9361586 0.06384142 0.1348573 0.1898346
0.9487179 0.993657 0.02352128 0.08500599 0.1309501
0.9090909 0.9416553 0.06503518 0.1533427 0.2596801
0.85 0.9922212 0.0279505 0.1085919 0.143622
0.9166667 0.9758211 0.03664567 0.113264 0.1430888
1 0.9912509 0.008749146 0.04481032 0.04388244
0.9230769 0.9919664 0.01381456 0.08130921 0.1094067
0.8333333 0.9397764 0.07420577 0.2093794 0.3323566
0.7142857 0.9616541 0.08396386 0.275654 0.2872507
0.962963 0.9752049 0.02875668 0.1065378 0.1579208
1 0.9654701 0.03452991 0.0801237 0.1101892
0.9090909 0.9997162 0.03600821 0.08567116 0.09278987
0.9714286 0.9580158 0.04317551 0.1244969 0.1846828
0.9148936 0.9850291 0.05717023 0.1057886 0.1390259
1 0.9050568 0.09494324 0.1422587 0.1692826
0.875 0.982803 0.06821976 0.1875587 0.254264
0.9130435 0.8221223 0.1828522 0.2159414 0.3756857
0.9677419 0.9765857 0.02844575 0.1275044 0.1549805
0.9642857 0.977375 0.03127284 0.05642245 0.08959111
0.8974359 0.9335682 0.07710082 0.1792616 0.2257838
0.90625 0.9937016 0.06054856 0.0835273 0.1301351
