reso  sja  d_qt  d_ci  d_rf
0.8139535 0.9874541 0.05761865 0.1553879 0.1995997
0.8378378 0.9535428 0.0615494 0.2205004 0.3738385
0.9333333 0.9920597 0.01706613 0.07589312 0.09134049
0.8 0.9696274 0.04609929 0.2084695 0.2642781
0.8888889 0.9468731 0.07406442 0.1369931 0.1924666
0.75 0.9874138 0.04517222 0.1665002 0.2419879
0.9230769 0.9661386 0.03867149 0.1186184 0.1733976
0.8695652 0.9648157 0.05928854 0.1446676 0.2082506
0.8333333 0.935122 0.09546719 0.2040243 0.3303766
0.8478261 0.9639823 0.09019426 0.2081008 0.272385
0.7368421 0.9718373 0.1049324 0.2047013 0.2876591
1 0.9814241 0.01857585 0.06470632 0.06545832
0.9166667 0.9781731 0.04866221 0.1205401 0.1631516
1 0.9514964 0.04850361 0.1517938 0.176371
0.8372093 0.9262453 0.1120262 0.2684218 0.3700231
0.893617 0.9804737 0.02744058 0.1035034 0.1989937
0.7906977 0.9649805 0.05370592 0.2233177 0.3304722
0.9 1 0.01879699 0.05440549 0.05371389
1 0.9238095 0.07619048 0.1432719 0.1432501
1 0.8534572 0.1465428 0.1854828 0.3355222
0.9361702 0.9412341 0.08311465 0.1478482 0.2134798
0.75 0.9702539 0.0757265 0.2239764 0.2664013
0.8709677 0.9883757 0.01804813 0.1317624 0.1470873
0.8518519 0.9578395 0.08850154 0.1294445 0.1608953
0.9512195 0.9842517 0.01761608 0.07836428 0.1689248
0.9642857 0.9330252 0.08972815 0.1821247 0.3084078
0.8529412 0.9733701 0.03948823 0.1538955 0.1783831
0.8611111 0.8793013 0.1484725 0.2470761 0.3615341
0.9285714 0.9952635 0.01543514 0.083321 0.08716236
0.925 0.9753152 0.03448584 0.1416605 0.1874949
0.8571429 0.9786286 0.03608445 0.1963551 0.2686007
0.9189189 0.8733806 0.1291279 0.2003202 0.2819286
0.9736842 0.9853675 0.01654448 0.0460206 0.09155309
0.8888889 0.9626269 0.05799794 0.1365835 0.176937
0.8510638 0.9746237 0.03779097 0.1283854 0.1586202
0.95 0.9310505 0.08063241 0.1398782 0.1731016
0.9285714 0.9083343 0.09720854 0.1673315 0.2859884
0.7727273 0.9755556 0.0601581 0.230073 0.2556751
1 0.9615858 0.03841422 0.182013 0.2029851
0.8461538 0.8586256 0.1709402 0.2379634 0.3988861
0.8085106 0.9659773 0.101904 0.2287134 0.4197095
1 0.964822 0.03517798 0.08993701 0.1325632
0.9166667 0.9705085 0.03280938 0.1582421 0.2384212
0.9791667 0.9165691 0.08603561 0.2214667 0.4532677
0.8108108 0.9143215 0.1204508 0.2439143 0.3317896
0.8148148 0.985575 0.04920635 0.1464792 0.2019394
0.9268293 0.9700903 0.03871647 0.1215864 0.2115522
0.96 0.8750858 0.1263248 0.1181521 0.1881563
0.9117647 0.9612917 0.04844241 0.1757297 0.2713417
0.9347826 0.9872062 0.01483195 0.09895355 0.1480057
0.9583333 0.9847712 0.01665552 0.0837022 0.08430564
0.9473684 0.9838969 0.0481203 0.09094825 0.1057754
1 0.9855092 0.01449077 0.07922756 0.1072274
0.8709677 0.993581 0.01518817 0.1051519 0.1573866
0.9393939 0.8879923 0.1326967 0.1353773 0.1716636
0.9444444 0.9861965 0.0170968 0.0441881 0.06374434
0.7857143 0.9782858 0.07157958 0.256075 0.3513005
0.9130435 0.9776132 0.04126482 0.1309164 0.1711836
1 0.9749294 0.02507058 0.08020321 0.1060952
0.8947368 0.9763764 0.0386202 0.1337906 0.2012014
1 0.9532164 0.04678363 0.06649215 0.07265911
0.8780488 0.9427155 0.07948302 0.1947881 0.2705039
0.9615385 0.9070136 0.09894994 0.1712736 0.2859633
0.9111111 0.9755596 0.02540086 0.1044648 0.1716979
0.9302326 0.9819679 0.02533321 0.1256502 0.2091429
0.9756098 0.9661115 0.04416174 0.139797 0.211113
0.7647059 1 0.02146543 0.1301633 0.129433
0.826087 0.8892426 0.1327273 0.2809917 0.3967771
0.962963 0.8947815 0.1079112 0.1950603 0.3306793
0.7407407 0.9738434 0.09422761 0.2776715 0.3103667
0.8780488 0.9488144 0.05508063 0.09170731 0.1591657
0.8214286 0.9167775 0.1228243 0.2378895 0.334673
0.95 0.9953049 0.01958512 0.084979 0.1043023
0.9166667 0.9566854 0.0535786 0.1585987 0.2355524
0.8518519 0.8691233 0.1575302 0.1836499 0.2209861
1 1 0 0 0
0.925 0.9748197 0.03300277 0.1752938 0.244523
0.9375 0.96262 0.05915033 0.1761714 0.2075896
