reso  sja  d_qt  d_ci  d_rf
0.9069767 0.9874603 0.02666299 0.1181086 0.1517334
0.6486486 0.9928625 0.08275279 0.2723196 0.3014904
0.8666667 0.9934711 0.03387156 0.09979462 0.1734501
0.8666667 0.9559097 0.06641998 0.1573103 0.2435239
0.9090909 0.9519273 0.05189359 0.1303039 0.1861811
0.7619048 0.9758611 0.1037267 0.2706826 0.335917
0.9487179 0.9350651 0.06919503 0.1282979 0.1649368
0.8695652 0.929993 0.1105929 0.2109906 0.2842818
0.862069 0.9659972 0.06706062 0.144569 0.1727921
0.8913043 0.9756333 0.04736612 0.1291808 0.2615859
0.7894737 0.9950263 0.02825615 0.1200318 0.1554902
0.75 0.9792028 0.07198142 0.2367513 0.2664159
0.9166667 0.9392334 0.07307692 0.1579554 0.1793557
0.9375 1 0.002063983 0.02228292 0.01634641
0.7045455 0.9278747 0.1029813 0.2809477 0.408889
0.893617 0.996968 0.007990523 0.08676232 0.1158144
0.8372093 0.9815831 0.06125869 0.1879813 0.2414119
0.85 0.9826781 0.06192755 0.1377664 0.2319435
1 1 0 0 0
0.9411765 0.9455959 0.05624355 0.09021933 0.1094928
0.8510638 0.9405702 0.08580254 0.1705119 0.2325907
0.9166667 0.9685121 0.03709402 0.1383122 0.1651328
0.875 0.9732402 0.04697473 0.09566778 0.09929932
0.9259259 0.9243529 0.08100712 0.119805 0.1991249
0.8292683 0.9705231 0.1093793 0.1969496 0.2479084
0.8928571 0.8925951 0.1134647 0.1925914 0.3148907
0.8857143 0.9595195 0.0569006 0.1651208 0.241631
0.9444444 0.9576099 0.05687191 0.1666319 0.2506749
0.8571429 0.9858408 0.1156176 0.1815842 0.2369803
0.9 0.9778618 0.02829447 0.1300998 0.2448339
0.8536585 0.9469765 0.06004007 0.1720943 0.2692575
0.8684211 0.8723999 0.1561932 0.1912477 0.3734037
0.9459459 0.9959091 0.00656527 0.03990742 0.05916629
1 0.9079463 0.09205366 0.2051215 0.2911761
0.9148936 0.9964393 0.04595141 0.07360425 0.09975022
0.7619048 0.9732843 0.06386222 0.1702894 0.1919294
0.8928571 0.9613303 0.05205255 0.151167 0.1968103
0.9545455 0.9711752 0.02964427 0.08615987 0.1668601
0.7 1 0.04921394 0.1978188 0.2025348
0.9615385 0.9471707 0.05807082 0.1050957 0.1440937
0.7291667 0.9755433 0.05150673 0.2365262 0.3214334
0.9333333 0.9653995 0.04516129 0.126345 0.2160198
0.7916667 0.9800562 0.09593356 0.2020525 0.3067861
0.7446809 0.9869591 0.0437386 0.2002814 0.254144
0.7837838 0.9905896 0.06646241 0.1599201 0.1834813
0.9285714 0.9855598 0.02147418 0.1033673 0.114125
0.8292683 0.9577812 0.06191962 0.1749691 0.329718
0.875 0.871557 0.1325926 0.1689143 0.2180348
0.8484848 0.9534257 0.05474917 0.2032552 0.3759234
0.8913043 0.9973233 0.01015521 0.07275872 0.07839774
0.7916667 1 0.04769231 0.1659294 0.1833088
1 0.993985 0.006015038 0.06330965 0.05885734
0.9 0.9790634 0.02453862 0.1206791 0.1348154
0.9032258 0.9331675 0.07440127 0.1784505 0.2510971
0.969697 0.8736943 0.1269481 0.1119001 0.161034
0.8888889 0.9468072 0.06860394 0.1741843 0.3226827
0.8333333 0.9893119 0.03879325 0.1661207 0.1957067
0.826087 1 0.06146245 0.1194069 0.1281828
0.85 0.9906554 0.06120836 0.1441774 0.1874986
0.8684211 0.9289797 0.09101652 0.1484464 0.2212863
1 0.9401838 0.05981621 0.1064436 0.1297583
0.925 0.9286299 0.07583664 0.1901678 0.3052167
0.8846154 0.9665587 0.0639072 0.1596251 0.221711
0.8444444 0.9599029 0.04623291 0.1344449 0.1964861
0.8372093 0.980502 0.05042436 0.1446353 0.216786
0.804878 0.9768036 0.07927234 0.1819236 0.3050783
0.8823529 0.9634867 0.04674923 0.202213 0.2397968
0.6363636 0.954942 0.1248617 0.2564556 0.2894371
0.9230769 0.9744387 0.03111448 0.08399204 0.1096862
0.7777778 0.9710552 0.09024883 0.2571656 0.3380582
0.9268293 0.9406677 0.09292602 0.1038691 0.1864818
0.7857143 0.9644269 0.1055464 0.175689 0.265856
0.775 0.9831353 0.06312292 0.1732476 0.2112211
0.875 0.9490068 0.06003344 0.187025 0.2543766
0.9259259 0.9029835 0.1002063 0.1833196 0.2648175
1 0.952381 0.04761905 0.1276216 0.1178615
0.8205128 0.9950893 0.03702761 0.1561326 0.1732258
1 0.995098 0.004901961 0.03661169 0.03227958
0.8809524 0.9960917 0.0885813 0.1326776 0.1542842
0.7368421 1 0.04866712 0.1333726 0.1231267
0.8974359 0.9745924 0.04072282 0.1585958 0.2176097
0.9545455 0.9850717 0.04165055 0.09754446 0.1470921
0.875 0.9443849 0.06275351 0.2023192 0.3236198
0.75 0.9864845 0.04991533 0.2137982 0.2876574
0.95 0.9619363 0.04210526 0.1346194 0.2196485
0.9230769 1 0.005401402 0.02868715 0.02418148
0.8 0.9887085 0.05788123 0.1815618 0.2328515
0.8095238 0.9293715 0.08876341 0.2255954 0.3018715
0.8148148 0.9646696 0.081365 0.2115378 0.3054926
0.9166667 0.9951174 0.01464387 0.07996582 0.08361107
0.8863636 0.9893464 0.03669149 0.1299391 0.1920627
0.8285714 0.9575495 0.06836686 0.2153126 0.2722814
0.8695652 0.9761165 0.1064302 0.1678861 0.219083
0.8823529 1 0.0624355 0.07149739 0.07390156
0.825 0.9589186 0.1455271 0.2478012 0.400517
0.826087 0.999278 0.05613661 0.1566035 0.1693763
0.8666667 0.9813126 0.02793255 0.1348997 0.172033
0.75 0.9989783 0.06539012 0.1656485 0.1832224
0.8205128 0.9748914 0.09192258 0.2193325 0.330608
0.8064516 0.9274678 0.1038899 0.203681 0.3096996
