reso  sja  d_qt  d_ci  d_rf
0.9090909 0.9625577 0.0399424 0.1698745 0.2082946
0.6756757 0.9983567 0.109178 0.2367435 0.2723711
0.9555556 0.962756 0.05194405 0.1242718 0.188943
0.8666667 0.9955267 0.02055056 0.1173651 0.1358022
0.9555556 0.9536669 0.05166933 0.1466189 0.2106559
1 0.9417278 0.05827216 0.1372777 0.1765418
0.825 0.9996211 0.0405968 0.1240926 0.1352367
0.7826087 0.9661734 0.06422925 0.1547189 0.1821361
0.8275862 0.9991405 0.03164627 0.1186554 0.1256786
0.9130435 0.9840523 0.02360726 0.08750093 0.140704
0.8684211 0.9929715 0.03527205 0.1065447 0.1765375
0.875 1 0.01702786 0.08812952 0.09972944
0.875 0.9969978 0.01277592 0.09766257 0.09610676
1 0.9829721 0.01702786 0.06257463 0.06320325
0.75 0.9554312 0.0716181 0.2082749 0.3026902
1 0.9976213 0.00237875 0.02944203 0.03636926
0.7727273 0.9822024 0.04656984 0.1474831 0.1786492
0.8421053 0.9918033 0.04887218 0.129489 0.1282687
1 1 0 0 0
0.9411765 0.9455959 0.05624355 0.09021933 0.1094928
0.9361702 0.9746007 0.03302875 0.1092618 0.1726354
1 0.979943 0.02005698 0.05877403 0.09567025
0.96875 0.9974197 0.009487666 0.04793781 0.05222977
0.962963 0.9742117 0.03081975 0.08314988 0.1283658
0.9512195 0.973324 0.02755044 0.1125683 0.189593
0.8888889 0.8490058 0.1547893 0.2048386 0.2979903
0.9142857 0.9741611 0.03765614 0.1393866 0.1977825
0.8888889 0.9963492 0.03953126 0.1108689 0.1222007
1 0.97183 0.02817004 0.06998231 0.08945118
0.95 0.9689177 0.03621013 0.1356663 0.2086862
0.7804878 0.9920091 0.02285803 0.1486903 0.196245
0.8918919 0.989401 0.06043878 0.1133868 0.1795282
0.8684211 0.9978415 0.01545027 0.1059909 0.1220365
0.9444444 1 0.001754386 0.01907799 0.01333631
0.893617 0.9586631 0.0639761 0.1139773 0.1559392
1 0.9421796 0.05782044 0.1392621 0.1911624
0.8928571 0.9742957 0.03676336 0.1167612 0.1857725
0.9090909 0.9982264 0.01146245 0.08041749 0.08435752
0.9473684 0.9844429 0.02747779 0.1113818 0.1120951
0.96 0.9881901 0.01545788 0.04863063 0.05629324
0.787234 0.9810572 0.04315024 0.2283186 0.3264703
0.9333333 1 0.006006674 0.0385877 0.04002104
