reso  sja  d_qt  d_ci  d_rf
0.9545455 0.9784792 0.03172167 0.1681888 0.210275
0.7837838 0.9879174 0.06795662 0.202265 0.2604421
0.9555556 0.95024 0.05774676 0.1325639 0.2242441
0.9333333 0.9803665 0.02305385 0.1000382 0.1666745
0.9111111 0.9563427 0.05379138 0.1569849 0.2235583
1 0.9417278 0.05827216 0.1372777 0.1765418
0.925 0.9899148 0.01435272 0.06851939 0.09982729
0.9130435 0.9660717 0.04173913 0.09599005 0.1287391
0.8333333 0.9991405 0.03164627 0.1186554 0.1256786
0.9347826 0.9784998 0.0374576 0.1025933 0.1767183
0.9210526 0.9896693 0.03616076 0.1063365 0.1552441
0.9375 0.9811321 0.02631579 0.102632 0.1141796
0.9166667 1 0.005451505 0.04793835 0.04895226
0.9411765 1 0.008513932 0.02228292 0.01634641
0.75 0.9514388 0.0771854 0.2379033 0.3013658
0.9574468 0.997604 0.005977553 0.04269393 0.04662498
0.8181818 0.9707139 0.04820296 0.1407175 0.1776374
0.7894737 0.9401112 0.07805878 0.1494516 0.1858021
0.875 1 0.05714286 0.09015674 0.1037506
0.8823529 1 0.02915377 0.06529171 0.06410776
1 0.9745889 0.02541109 0.08871744 0.149145
0.9583333 0.9726607 0.02911681 0.09286112 0.1569576
0.96875 0.9974197 0.009487666 0.04793781 0.05222977
0.8888889 0.971481 0.07818618 0.1191 0.1879127
0.9756098 0.94102 0.05938741 0.1525548 0.2487873
0.8518519 0.8853236 0.1380587 0.1895568 0.2554552
0.9714286 0.9531959 0.04814899 0.1358842 0.2318504
0.8611111 0.9963161 0.04370385 0.1242927 0.1343962
1 0.97183 0.02817004 0.06998231 0.08945118
0.95 0.9762434 0.02896453 0.1031297 0.1576196
0.8780488 0.9885158 0.02088382 0.128292 0.2054532
0.8648649 0.9935912 0.05756647 0.1110079 0.1554097
0.9210526 0.9831449 0.02199365 0.08831802 0.1434137
0.9444444 0.9848133 0.0255934 0.09173766 0.09898268
0.8510638 0.9579095 0.07248579 0.1634431 0.2147332
1 0.9421796 0.05782044 0.1392621 0.1911624
0.8571429 0.9730893 0.05865718 0.1416968 0.2157903
1 0.9883004 0.0116996 0.04359711 0.08018943
0.9473684 0.9844429 0.02747779 0.1113818 0.1120951
1 0.9808059 0.01919414 0.06814304 0.08799917
0.9166667 0.9617581 0.05098784 0.1743731 0.3428877
0.9333333 1 0.006006674 0.0385877 0.04002104
0.9375 0.9726999 0.03303083 0.1545362 0.2342865
0.8510638 0.9681206 0.05150673 0.1588915 0.2682602
0.8947368 0.9991602 0.03175402 0.08281612 0.09340202
0.9642857 0.9419443 0.06139391 0.1258993 0.1925573
0.902439 0.9801967 0.03000567 0.1326913 0.155678
0.96 0.9949726 0.006324786 0.04915439 0.05727042
0.8235294 0.9568768 0.05934131 0.2082945 0.2921801
0.8913043 0.9932209 0.01465721 0.09735866 0.129311
0.875 0.9781166 0.04695652 0.1593331 0.2399275
0.8333333 1 0.01428571 0.07518621 0.06592061
0.85 1 0.01073137 0.07114165 0.06416289
0.9354839 0.9946082 0.006805963 0.04189611 0.08179017
1 0.8634836 0.1365164 0.1312411 0.1769207
0.9722222 0.9836919 0.02023979 0.06697287 0.08243635
0.8809524 0.9810382 0.03364207 0.1461908 0.1783098
1 0.9296443 0.07035573 0.1078944 0.1528742
1 1 0 0 0
0.8947368 0.9703787 0.03988948 0.113378 0.1558476
0.8888889 1 0.02489557 0.0596574 0.05974168
0.8536585 0.9625143 0.06249088 0.1719899 0.2525556
0.9615385 0.9883919 0.03765568 0.09394905 0.1066044
0.8888889 0.995681 0.0375758 0.08265218 0.1454632
0.8636364 0.9447026 0.06316757 0.1537201 0.2591758
0.9 0.9861148 0.02851471 0.08345588 0.1232192
0.9411765 0.9752381 0.03653251 0.1297447 0.1476568
1 0.8934387 0.1065613 0.2233364 0.3131641
0.9230769 0.9744409 0.03107238 0.08375683 0.1093635
0.8148148 0.9657732 0.05881858 0.1702326 0.2677733
0.8780488 0.9866873 0.03313751 0.1227711 0.1531376
0.9285714 0.9604511 0.07389163 0.1520489 0.2180882
0.9 0.9578468 0.06856819 0.1100543 0.1381899
0.8695652 0.9719828 0.04588629 0.1750225 0.2281732
0.8888889 0.9078829 0.09805903 0.1531868 0.2163312
1 1 0 0 0
0.95 0.9969516 0.009175377 0.07745612 0.08792341
1 0.9872549 0.0127451 0.05279863 0.04994019
0.9047619 0.9486948 0.06507503 0.1600877 0.2590566
0.7894737 0.9848785 0.131784 0.1716366 0.2402905
0.9230769 0.9932997 0.02890293 0.1175528 0.1745651
0.9090909 0.9852717 0.05111989 0.1129196 0.185583
1 0.9709283 0.02907174 0.09299118 0.1338276
0.8055556 1 0.03330624 0.1269721 0.1343972
0.95 1 0.002460697 0.02239311 0.02033312
1 0.9912906 0.008709391 0.03705608 0.07915655
0.9666667 0.964746 0.03995601 0.1095918 0.1620535
0.952381 0.9473927 0.06109543 0.1687067 0.203497
0.962963 0.9715068 0.0290093 0.09262152 0.1114027
0.9583333 0.9962212 0.006153846 0.03697234 0.05185648
0.9302326 0.9843099 0.02824708 0.1119312 0.1445395
0.9444444 0.9418935 0.06976224 0.1478577 0.2648418
0.8510638 0.8617648 0.1478412 0.2029153 0.323623
1 0.995872 0.004127967 0.03664799 0.03390043
0.825 0.9235309 0.1039827 0.2105081 0.286198
0.8913043 0.9568072 0.08030641 0.1687142 0.2382548
0.9354839 0.9786825 0.02587977 0.09647358 0.1410283
1 0.9576355 0.04236453 0.09730516 0.1198417
0.8205128 0.9575115 0.05703565 0.1530205 0.1785057
0.875 0.9923459 0.02563826 0.09755652 0.1590467
