reso  sja  d_qt  d_ci  d_rf
0.7954545 0.9343068 0.0827956 0.1813128 0.2575188
0.8378378 0.9851907 0.05188387 0.1811357 0.2775045
0.8444444 1 0.03009839 0.107806 0.1141873
0.8666667 0.9732225 0.03868472 0.1280268 0.1846921
0.8444444 0.9509241 0.08046982 0.1446536 0.1811908
0.85 0.8740836 0.1369848 0.2421929 0.3328492
0.975 0.9938018 0.02596266 0.07197169 0.09343209
0.8181818 0.9843801 0.02932806 0.1573169 0.1755352
0.8275862 0.971679 0.0660317 0.1717694 0.2489741
0.9111111 0.9744341 0.03086905 0.1133492 0.1718664
0.8684211 0.9955309 0.02481485 0.09471875 0.09534373
0.875 0.9647436 0.05108359 0.1110719 0.1824082
0.9130435 0.9782801 0.03013378 0.104842 0.1346652
0.875 1 0.004127967 0.04558153 0.0332361
0.8636364 0.9939044 0.02134387 0.1249506 0.127814
0.9574468 1 0.0006890823 0.01863893 0.01754912
0.9069767 0.9941501 0.02894568 0.1052282 0.1609218
0.8 0.9637071 0.1087491 0.1894697 0.2366371
0.875 1 0.05714286 0.09015674 0.1037506
0.8235294 1 0.06088751 0.1229041 0.1345443
0.8085106 1 0.04547943 0.1053515 0.1039961
0.76 0.9812878 0.05153846 0.1753157 0.2529169
0.9677419 0.9927887 0.007848887 0.0698308 0.07741614
0.8888889 0.9232034 0.09906951 0.1051239 0.129443
0.9 0.9959565 0.03088891 0.1071161 0.1301612
0.8518519 0.8566871 0.1573436 0.2182319 0.3362129
0.8857143 0.98352 0.02732985 0.1124624 0.1991662
0.8888889 0.9811841 0.02501524 0.1128757 0.1837696
0.9285714 0.9525334 0.06166758 0.1404264 0.2006634
0.925 0.9879784 0.02166086 0.102539 0.1659242
0.7560976 0.9502206 0.0745372 0.2205979 0.2853524
0.8947368 0.9914251 0.01275304 0.1168855 0.1427102
0.9473684 0.9927487 0.01223329 0.1059995 0.1205361
0.9444444 0.9565037 0.04509804 0.1373214 0.2241538
0.9361702 0.9268139 0.08442674 0.09929851 0.166745
0.9047619 1 0.01863354 0.06091727 0.06541429
0.9642857 0.9769342 0.02919175 0.06667592 0.1302126
0.9130435 0.9897428 0.02442688 0.08284506 0.08654005
0.8421053 1 0.02987013 0.1073721 0.1183466
0.8461538 1 0.0352381 0.0848519 0.08411358
0.8333333 0.9620887 0.06691272 0.2049529 0.3421048
0.9666667 1 0.005506118 0.01246267 0.01076217
0.8297872 0.9892498 0.06169127 0.1760342 0.2471915
0.7916667 0.9678344 0.04629614 0.1742639 0.2950027
0.8918919 0.9628264 0.04661342 0.1421051 0.1972622
0.8888889 0.9858135 0.0226601 0.09929562 0.1348216
0.902439 0.9839043 0.02251843 0.08130757 0.1424909
0.76 0.8771961 0.1391168 0.2247707 0.283411
0.8235294 0.9993986 0.03481878 0.1388397 0.1463293
0.9130435 0.9828381 0.02010484 0.08352524 0.1210904
0.9583333 0.981326 0.02070234 0.05947457 0.1384571
0.8333333 0.996904 0.01729323 0.09297761 0.09728924
0.85 1 0.009569378 0.06511165 0.05469728
0.8709677 0.9897441 0.01687439 0.1058166 0.12469
0.8787879 0.9102564 0.1174179 0.137199 0.1634141
0.9428571 0.9914228 0.01022827 0.0867334 0.09917914
0.8809524 0.9856818 0.03829994 0.1254134 0.1627757
0.9130435 0.9798514 0.0556917 0.1312554 0.19536
0.95 0.968833 0.04133258 0.08676249 0.1067422
0.8648649 0.9943613 0.01650071 0.1091328 0.1194377
0.9473684 1 0.02339181 0.04009254 0.04581803
0.8292683 0.9790799 0.04499635 0.1361601 0.2146973
0.8461538 0.9953326 0.04388278 0.1248814 0.1774007
0.8695652 0.9953549 0.03031915 0.1238312 0.1499585
0.8139535 0.9960514 0.03578148 0.1381209 0.1743252
0.902439 0.9741764 0.04767847 0.1159291 0.1788398
0.8235294 0.9902513 0.03292054 0.1569247 0.1637416
0.9090909 0.9792789 0.04288538 0.1473821 0.2244521
0.9615385 0.9829437 0.02075702 0.06495628 0.1054246
0.9230769 0.9427804 0.0699339 0.1367833 0.2222329
0.8536585 0.9953823 0.02884288 0.1126 0.1251303
0.9285714 1 0.02005109 0.04448038 0.04787496
0.85 0.9823821 0.05804635 0.1222357 0.1810216
1 0.9984615 0.001538462 0.02220269 0.02028656
0.8888889 0.9958456 0.03768262 0.07760958 0.09934942
1 0.952381 0.04761905 0.1276216 0.1178615
0.825 0.9953892 0.02197355 0.1403077 0.1641314
1 0.9823529 0.01764706 0.07361626 0.08163068
0.8571429 0.9947717 0.09010247 0.1594488 0.1831338
0.85 0.9876161 0.04784689 0.1072064 0.1361842
0.9230769 0.9575339 0.04975807 0.08740692 0.1157472
0.9111111 0.9798619 0.07971295 0.1092039 0.1473358
0.925 0.9740925 0.03127401 0.1306188 0.163023
0.8888889 0.9954186 0.03120639 0.1053645 0.1076118
0.95 1 0.003485988 0.01703714 0.01196278
0.974359 0.9979121 0.005480399 0.04206649 0.0560624
0.8666667 0.9794607 0.03335777 0.1269787 0.2054119
0.8095238 0.9841795 0.0541502 0.1572252 0.1701252
0.8518519 0.9958335 0.03902994 0.1057369 0.109329
0.88 0.9635812 0.04740741 0.1556132 0.1953802
0.8409091 0.9700451 0.04997396 0.1560787 0.2324561
0.9142857 0.976019 0.02805663 0.07830834 0.09844833
0.8510638 0.9973183 0.1183758 0.1557797 0.2044437
0.75 0.8760757 0.1617647 0.1973432 0.2650856
0.85 0.9813963 0.05904708 0.1268824 0.1551869
0.8913043 0.9361407 0.08469105 0.1481662 0.195402
0.9354839 0.9992567 0.00755132 0.05676962 0.05800877
0.8275862 0.9788083 0.0727475 0.1368395 0.1668536
0.8717949 0.9542826 0.0780784 0.1421556 0.2251461
0.875 0.9848724 0.03002631 0.1146927 0.1599463
