reso  sja  d_qt  d_ci  d_rf
0.8139535 0.9341564 0.08215522 0.1765011 0.2608486
0.8108108 0.9865153 0.05126381 0.1766298 0.2734487
0.8444444 1 0.03009839 0.107806 0.1141873
0.8444444 0.9759953 0.03729992 0.1225782 0.1640372
0.8444444 0.9509241 0.08046982 0.1446536 0.1811908
0.9047619 0.867571 0.1389046 0.2490565 0.3460071
0.975 0.9938018 0.02596266 0.07197169 0.09343209
0.8636364 0.9879381 0.02671937 0.1418789 0.1408299
0.8275862 0.971679 0.0660317 0.1717694 0.2489741
0.9111111 0.9744341 0.03086905 0.1133492 0.1718664
0.9210526 0.9913918 0.0231263 0.09197022 0.1078404
0.875 0.9647436 0.05108359 0.1110719 0.1824082
0.8695652 0.9812197 0.02866221 0.09187775 0.1194693
0.875 1 0.004127967 0.04558153 0.0332361
0.8636364 0.9939044 0.02134387 0.1249506 0.127814
0.9361702 1 0.001481999 0.03094234 0.03027842
0.9318182 0.9942622 0.01963109 0.0831584 0.1308648
0.7 1 0.1 0.2259961 0.2482525
0.875 1 0.05714286 0.09015674 0.1037506
0.7647059 1 0.0629515 0.1506576 0.1550564
0.8297872 1 0.04526704 0.09869023 0.09960174
0.76 0.9812878 0.05153846 0.1753157 0.2529169
0.96875 0.9927887 0.007848887 0.0698308 0.07741614
0.8888889 0.9232034 0.09906951 0.1051239 0.129443
0.9512195 0.9872626 0.03441374 0.1108343 0.1536323
0.8518519 0.8566871 0.1573436 0.2182319 0.3362129
0.9142857 0.9836642 0.02301461 0.09997547 0.1874121
0.8888889 0.9811841 0.02501524 0.1128757 0.1837696
0.8928571 0.97909 0.04853129 0.137579 0.1786912
0.925 0.9879784 0.02166086 0.102539 0.1659242
0.8333333 0.9520016 0.0570051 0.1710236 0.2318588
0.8947368 0.9914251 0.01275304 0.1168855 0.1427102
0.9473684 0.9927487 0.01223329 0.1059995 0.1205361
0.9411765 0.9565037 0.04509804 0.1373214 0.2241538
0.9361702 0.9268139 0.08442674 0.09929851 0.166745
0.952381 1 0.008469791 0.03388642 0.03799585
0.9285714 0.9839172 0.02568874 0.07435824 0.1043479
0.9130435 0.9897428 0.02442688 0.08284506 0.08654005
0.8421053 1 0.02987013 0.1073721 0.1183466
0.8461538 1 0.0352381 0.0848519 0.08411358
0.7916667 0.9758875 0.06028658 0.2035482 0.3285665
0.9666667 1 0.005506118 0.01246267 0.01076217
0.875 0.93981 0.0671624 0.1656182 0.2382583
0.7916667 0.9678344 0.04629614 0.1742639 0.2950027
0.8947368 0.9628264 0.04661342 0.1421051 0.1972622
0.8518519 0.9892292 0.0226601 0.100238 0.1157694
0.8780488 0.9926456 0.02233612 0.09955714 0.121029
0.76 0.9969262 0.07626781 0.1898465 0.2200956
0.8529412 0.9856103 0.04568373 0.1647143 0.1990834
0.9111111 0.9828381 0.02010484 0.08352524 0.1210904
0.9583333 0.981326 0.02070234 0.05947457 0.1384571
0.8888889 0.9969372 0.01203008 0.07029836 0.08034477
0.9 0.988292 0.01537936 0.0680667 0.08112002
0.8387097 0.9992497 0.01218231 0.09662673 0.1003217
0.8787879 0.9102564 0.1174179 0.137199 0.1634141
0.9428571 0.9914228 0.01022827 0.0867334 0.09917914
0.8809524 0.9856818 0.03829994 0.1254134 0.1627757
0.8695652 0.9796954 0.05924901 0.1654286 0.2349915
0.9 0.9684616 0.04709204 0.09641045 0.1312235
0.8378378 0.9942163 0.02875588 0.1387723 0.1558221
0.9473684 1 0.02339181 0.04009254 0.04581803
0.8780488 0.9573795 0.05512519 0.1334432 0.2165888
0.8461538 0.9953326 0.04388278 0.1248814 0.1774007
0.8695652 0.9795873 0.03126735 0.126705 0.1894125
0.8604651 0.9907074 0.02010601 0.1226617 0.1855676
0.9268293 0.9742652 0.04603355 0.1080247 0.1731815
0.8823529 0.9905083 0.02002064 0.112746 0.1151574
1 0.9588933 0.04110672 0.1459406 0.2043454
0.9615385 0.9829437 0.02075702 0.06495628 0.1054246
0.9230769 0.9427804 0.0699339 0.1367833 0.2222329
0.8780488 0.9939277 0.02412284 0.1015479 0.1378402
0.9285714 1 0.02005109 0.04448038 0.04787496
0.825 0.9846813 0.05697674 0.1215234 0.1636779
0.9583333 0.998457 0.003010033 0.03684375 0.03074166
0.8518519 1 0.03574586 0.0808713 0.0792874
1 0.952381 0.04761905 0.1276216 0.1178615
0.825 0.9953892 0.02197355 0.1403077 0.1641314
1 0.9823529 0.01764706 0.07361626 0.08163068
0.8571429 0.9947717 0.09010247 0.1594488 0.1831338
0.85 0.9876161 0.04784689 0.1072064 0.1361842
0.9230769 0.9575339 0.04975807 0.08740692 0.1157472
0.9111111 0.9798619 0.07971295 0.1092039 0.1473358
0.925 0.9740925 0.03127401 0.1306188 0.163023
0.9444444 0.9867123 0.01866152 0.07281276 0.103161
0.95 1 0.003485988 0.01703714 0.01196278
1 0.9911129 0.008887133 0.0349434 0.08303965
0.8333333 0.9792354 0.03863636 0.1633841 0.2513273
0.8571429 0.9844989 0.04466403 0.1317927 0.1468853
0.8888889 0.9958706 0.03486169 0.08458714 0.08840249
0.92 0.9639431 0.04250712 0.1306819 0.1693721
0.8409091 0.9700451 0.04997396 0.1560787 0.2324561
0.9142857 0.976019 0.02805663 0.07830834 0.09844833
0.893617 0.8577924 0.1768629 0.1497964 0.2204691
0.75 0.8760757 0.1617647 0.1973432 0.2650856
0.825 0.9813319 0.06062718 0.1497864 0.18764
